t,src,dst,bytes,kind,action,cos,reason
1,S4,S14,1785,head,sent,,
1,S16,S14,1790,head,sent,,
1,S8,S10,1791,head,sent,,
1,S13,S17,1789,head,sent,,
1,S10,S11,1792,head,sent,,
1,S2,S6,1789,head,sent,,
1,S9,S5,1801,head,sent,,
1,S6,S15,1794,head,sent,,
1,S7,S14,1783,head,sent,,
1,S5,S16,1798,head,sent,,
1,S5,S16,1798,head,received,,
1,S5,S16,1798,head,drop_cos,-0.007854048162698746,cos<0.0
1,S10,S11,1792,head,received,,
1,S10,S11,1792,head,drop_cos,-0.039866093546152115,cos<0.0
1,S2,S6,1789,head,received,,
1,S2,S6,1789,head,drop_cos,-0.048273079097270966,cos<0.0
1,S6,S15,1794,head,received,,
1,S6,S15,1794,head,buffered,0.09310484677553177,
1,S16,S14,1790,head,received,,
1,S16,S14,1790,head,drop_cos,-0.016287824138998985,cos<0.0
1,S7,S14,1783,head,received,,
1,S7,S14,1783,head,buffered,0.011571393348276615,
1,S9,S5,1801,head,received,,
1,S9,S5,1801,head,drop_cos,-0.032041873782873154,cos<0.0
1,S13,S17,1789,head,received,,
1,S13,S17,1789,head,drop_cos,-0.004011350218206644,cos<0.0
1,S4,S14,1785,head,received,,
1,S4,S14,1785,head,drop_cos,-0.046393562108278275,cos<0.0
1,S8,S10,1791,head,received,,
1,S8,S10,1791,head,drop_cos,-0.06121939420700073,cos<0.0
1,S17,S10,1791,head,sent,,
1,S17,S10,1791,head,received,,
1,S17,S10,1791,head,buffered,0.00834097620099783,
2,S11,S4,1793,head,sent,,
2,S14,S9,1800,head,sent,,
2,S3,S11,1792,head,sent,,
2,S14,S9,1800,head,received,,
2,S14,S9,1800,head,buffered,0.008512621745467186,
2,S11,S4,1793,head,received,,
2,S11,S4,1793,head,drop_cos,-0.008163630962371826,cos<0.0
2,S3,S11,1792,head,received,,
2,S3,S11,1792,head,drop_cos,-0.02081635594367981,cos<0.0
3,S10,S14,1788,head,sent,,
3,S13,S16,1793,head,sent,,
3,S6,S11,1800,head,sent,,
3,S16,S8,1788,head,sent,,
3,S15,S16,1790,head,sent,,
3,S5,S9,1801,head,sent,,
3,S2,S8,1789,head,sent,,
3,S7,S10,1791,head,sent,,
3,S4,S9,1788,head,sent,,
3,S8,S17,1799,head,sent,,
3,S13,S16,1793,head,received,,
3,S13,S16,1793,head,drop_cos,-0.01542059239000082,cos<0.0
3,S15,S16,1790,head,received,,
3,S15,S16,1790,head,buffered,0.06992800533771515,
3,S6,S11,1800,head,received,,
3,S6,S11,1800,head,drop_cos,-0.019437287002801895,cos<0.0
3,S10,S14,1788,head,received,,
3,S10,S14,1788,head,drop_cos,-0.03940093144774437,cos<0.0
3,S7,S10,1791,head,received,,
3,S7,S10,1791,head,drop_cos,-0.07806430011987686,cos<0.0
3,S16,S8,1788,head,received,,
3,S16,S8,1788,head,drop_cos,-0.011110015213489532,cos<0.0
3,S8,S17,1799,head,received,,
3,S8,S17,1799,head,drop_cos,-0.0005059964605607092,cos<0.0
3,S2,S8,1789,head,received,,
3,S2,S8,1789,head,drop_cos,-0.012614134699106216,cos<0.0
3,S5,S9,1801,head,received,,
3,S5,S9,1801,head,buffered,0.004408044274896383,
3,S4,S9,1788,head,received,,
3,S4,S9,1788,head,buffered,0.038665641099214554,
3,S17,S9,1794,head,sent,,
3,S17,S9,1794,head,received,,
3,S17,S9,1794,head,drop_cos,-0.0908624678850174,cos<0.0
