t,agent,neighbor,tau,score,contacts,reputation,self_p
1,S6,S16,1.0,1.2223455711051268,1,1.0,0.8
1,S6,S9,1.0,1.2223455711051268,1,0.0,0.8
1,S13,S8,1.0,1.2223455711051268,1,0.5,0.8
1,S9,S10,1.0,1.2223455711051268,1,1.0,0.857497478641749
1,S15,S14,1.0,1.2223455711051268,1,1.0,0.9697784100170237
1,S16,S4,1.0,1.2223455711051268,1,0.0,0.818203401754063
1,S16,S17,1.0,1.2223455711051268,1,0.0,0.818203401754063
1,S3,S15,1.0,1.2223455711051268,1,1.0,0.8057202195228842
1,S2,S7,1.0,1.2223455711051268,1,0.0,0.806961139487621
1,S8,S11,1.0,1.2223455711051268,1,0.0,0.8038732083841775
1,S7,S2,1.0,1.2223455711051268,1,0.0,0.8083765650476822
1,S17,S5,1.0,1.2223455711051268,1,1.0,0.8565388984330866
1,S17,S3,1.0,1.2223455711051268,1,1.0,0.8565388984330866
2,S13,S8,0.995,1.2173455711051266,1,0.5,0.6400000000000001
2,S3,S15,0.995,1.2173455711051266,1,1.0,0.6445761756183074
2,S2,S7,0.995,1.2173455711051266,1,0.0,0.6555074479979524
2,S6,S16,0.995,1.2173455711051266,1,1.0,0.6400000000000001
2,S6,S9,0.995,1.2173455711051266,1,0.0,0.6400000000000001
2,S8,S11,0.995,1.2173455711051266,1,0.0,0.6432806987534698
2,S15,S14,0.995,1.2173455711051266,1,1.0,0.775822728013619
2,S16,S4,0.995,1.2173455711051266,1,0.0,0.6545627214032504
2,S16,S17,0.995,1.2173455711051266,1,0.0,0.6545627214032504
2,S9,S10,0.995,1.2173455711051266,1,1.0,0.7544822412173314
2,S7,S2,0.995,1.2173455711051266,1,0.0,0.6492043645918363
2,S17,S5,0.995,1.2173455711051266,1,1.0,0.6985924726360655
2,S17,S3,0.995,1.2173455711051266,1,1.0,0.6985924726360655
3,S13,S8,0.990025,1.2123705711051267,1,0.5,0.5120000000000001
3,S7,S2,0.990025,1.2123705711051267,1,0.0,0.5558572560199309
3,S6,S16,0.990025,1.2123705711051267,1,1.0,0.5169405887167424
3,S6,S9,0.990025,1.2123705711051267,1,0.0,0.5169405887167424
3,S15,S14,0.990025,1.2123705711051267,1,1.0,0.627297007197954
3,S15,S11,1.0,1.2223455711051268,1,1.0,0.627297007197954
3,S15,S2,1.0,1.2223455711051268,1,1.0,0.627297007197954
3,S5,S15,1.0,1.2223455711051268,1,0.0,0.5766907527069336
3,S2,S7,0.990025,1.2123705711051267,1,0.0,0.5444008489355643
3,S2,S3,1.0,1.2223455711051268,1,0.0,0.5444008489355643
3,S9,S10,0.990025,1.1939583980337618,2,1.0,0.7666604493033202
3,S9,S8,1.0,1.2223455711051268,1,0.0,0.7666604493033202
3,S8,S11,0.990025,1.2123705711051267,1,0.0,0.519997722807046
3,S8,S14,1.0,1.2223455711051268,1,1.0,0.519997722807046
3,S8,S6,1.0285714285714285,1.2509169996765552,1,0.0,0.519997722807046
3,S3,S15,0.990025,1.2123705711051267,1,1.0,0.7156609404946459
3,S3,S17,1.0,1.2223455711051268,1,1.0,0.7156609404946459
3,S3,S7,1.0,1.2223455711051268,1,0.0,0.7156609404946459
3,S16,S4,0.990025,1.2123705711051267,1,0.0,0.5274442408476239
3,S16,S17,0.990025,1.2123705711051267,1,0.0,0.5274442408476239
3,S16,S9,1.0,1.2223455711051268,1,1.0,0.5274442408476239
3,S16,S5,1.0,1.2223455711051268,1,0.0,0.5274442408476239
3,S11,S4,1.0,1.2223455711051268,1,0.0,0.5920782744367218
3,S14,S16,1.0,1.2223455711051268,1,1.0,0.60271235306854
3,S17,S5,0.990025,1.2123705711051267,1,1.0,0.5853417845017924
3,S17,S3,0.990025,1.2123705711051267,1,1.0,0.5853417845017924
