t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.04628185127405096,0,0
1,2080,0.0,0.0,0.14094896331738438,0,0
2,3120,0.0,0.0,0.14094896331738438,0,0
3,4160,0.0,0.0,0.14094896331738438,0,0
4,5200,0.0,0.0,0.14094896331738438,0,0
5,6240,0.0,0.0,0.14094896331738438,0,0
6,7280,0.0,0.0,0.14094896331738438,0,0
7,8320,0.0,0.0,0.14094896331738438,0,0
8,9360,0.0,0.0,0.14094896331738438,0,0
9,10400,0.0,0.0,0.14094896331738438,0,0
10,11440,0.0,0.0,0.39154457052675573,0,0
11,12480,0.0,0.0,0.3667186439035931,0,0
12,13520,0.0,0.0,0.3631233338447465,0,0
13,14560,0.0,0.0,0.3525943626772631,0,0
14,15600,0.0,0.0,0.3519623616653397,0,0
15,16640,0.0,0.0,0.33668129355030313,0,0
16,17680,0.0,0.0,0.3503595374965429,0,0
17,18720,0.0,0.0,0.35273424507766726,0,0
18,19760,0.0,0.0,0.35273424507766726,0,0
19,20800,0.0,0.0,0.35247727023486836,0,0
20,21840,0.0,0.0,0.33822963378664717,0,0
21,22880,0.0,0.0,0.3307721944821912,0,0
22,23920,0.0,0.0,0.1995258926353583,0,0
23,24960,0.0,0.0,0.35695263696819374,0,0
24,26000,0.0,0.0,0.3788724409338934,0,0
25,27040,0.0,0.0,0.41336673256937384,0,0
26,28080,0.0,0.0,0.3547346979507013,0,0
27,29120,0.0,0.0,0.4077503881386026,0,0
28,30160,0.0,0.0,0.4093657037549814,0,0
29,31200,0.0,0.0,0.43454285189264097,0,0
30,32240,0.0,0.0,0.4239339432697106,0,0
31,33280,0.0,0.0,0.5396740599117913,0,0
32,34320,0.0,0.0,0.40792942027648316,0,0
33,35360,0.0,0.0,0.4146495965077165,0,0
34,36400,0.0,0.0,0.44903209936354216,0,0
35,37440,0.0,0.0,0.3703244121364948,0,0
36,38480,0.0,0.0,0.39597668745830455,0,0
37,39520,0.0,0.0,0.2910479656408594,0,0
38,40560,0.0,0.0,0.4502358268192047,0,0
39,41600,0.0,0.0,0.5253503011304677,0,0
40,42640,0.0,0.0,0.4383382667477158,0,0
41,43680,0.0,0.0,0.555804456603867,0,0
42,44720,0.0,0.0,0.5179991364617811,0,0
43,45760,0.0,0.0,0.520443613676041,0,0
44,46800,0.0,0.0,0.5686037103423097,0,0
45,47840,0.0,0.0,0.5857992589645917,0,0
46,48880,0.0,0.0,0.5872249475702342,0,0
47,49920,0.0,0.0,0.5113605494253705,0,0
48,50960,0.0,0.0,0.5118912406647069,0,0
49,52000,0.0,0.0,0.6355062490740049,0,0
