t,src,dst,bytes,kind,action,cos,reason
0,S2,ORCH,1040,model,send,,
0,S6,ORCH,1040,model,send,,
0,S10,ORCH,1040,model,send,,
0,S17,ORCH,1040,model,send,,
0,S3,ORCH,1040,model,send,,
0,S5,ORCH,1040,model,send,,
0,S9,ORCH,1040,model,send,,
0,S11,ORCH,1040,model,send,,
0,S8,ORCH,1040,model,send,,
0,S14,ORCH,1040,model,send,,
0,S7,ORCH,1040,model,send,,
0,S13,ORCH,1040,model,send,,
0,S15,ORCH,1040,model,send,,
0,S16,ORCH,1040,model,send,,
0,S4,ORCH,1040,model,send,,
0,S8,ORCH,1040,model,recv,,
0,S9,ORCH,1040,model,recv,,
0,S3,ORCH,1040,model,recv,,
0,S6,ORCH,1040,model,recv,,
0,S7,ORCH,1040,model,recv,,
0,S10,ORCH,1040,model,recv,,
0,S17,ORCH,1040,model,recv,,
0,S11,ORCH,1040,model,recv,,
0,S5,ORCH,1040,model,recv,,
0,S16,ORCH,1040,model,recv,,
0,S14,ORCH,1040,model,recv,,
0,S13,ORCH,1040,model,recv,,
0,S2,ORCH,1040,model,recv,,
0,S15,ORCH,1040,model,recv,,
0,S4,ORCH,1040,model,recv,,
0,S8,ORCH,1040,model,used,0.23145824670791626,included_in_mean
0,S9,ORCH,1040,model,used,0.3218005299568176,included_in_mean
0,S3,ORCH,1040,model,used,0.25775474309921265,included_in_mean
0,S6,ORCH,1040,model,used,0.2545543909072876,included_in_mean
0,S7,ORCH,1040,model,used,0.33285194635391235,included_in_mean
0,S10,ORCH,1040,model,used,0.34318360686302185,included_in_mean
0,S17,ORCH,1040,model,used,0.25308382511138916,included_in_mean
0,S11,ORCH,1040,model,used,0.23998787999153137,included_in_mean
0,S5,ORCH,1040,model,used,0.2768920958042145,included_in_mean
0,S16,ORCH,1040,model,used,0.21774140000343323,included_in_mean
0,S14,ORCH,1040,model,used,0.36562085151672363,included_in_mean
0,S13,ORCH,1040,model,used,0.16305674612522125,included_in_mean
0,S2,ORCH,1040,model,used,0.27246126532554626,included_in_mean
0,S15,ORCH,1040,model,used,0.26028668880462646,included_in_mean
0,S4,ORCH,1040,model,used,0.31179872155189514,included_in_mean
0,ORCH,S10,1040,model,send,,
0,ORCH,S10,1040,model,recv,,
0,ORCH,S11,1040,model,send,,
0,ORCH,S11,1040,model,recv,,
0,ORCH,S13,1040,model,send,,
0,ORCH,S13,1040,model,recv,,
0,ORCH,S14,1040,model,send,,
0,ORCH,S14,1040,model,recv,,
0,ORCH,S15,1040,model,send,,
0,ORCH,S15,1040,model,recv,,
0,ORCH,S16,1040,model,send,,
0,ORCH,S16,1040,model,recv,,
0,ORCH,S17,1040,model,send,,
0,ORCH,S17,1040,model,recv,,
0,ORCH,S2,1040,model,send,,
0,ORCH,S2,1040,model,recv,,
0,ORCH,S3,1040,model,send,,
0,ORCH,S3,1040,model,recv,,
0,ORCH,S4,1040,model,send,,
0,ORCH,S4,1040,model,recv,,
0,ORCH,S5,1040,model,send,,
0,ORCH,S5,1040,model,recv,,
0,ORCH,S6,1040,model,send,,
0,ORCH,S6,1040,model,recv,,
0,ORCH,S7,1040,model,send,,
0,ORCH,S7,1040,model,recv,,
0,ORCH,S8,1040,model,send,,
0,ORCH,S8,1040,model,recv,,
0,ORCH,S9,1040,model,send,,
0,ORCH,S9,1040,model,recv,,
1,S11,ORCH,1040,model,send,,
1,S3,ORCH,1040,model,send,,
1,S17,ORCH,1040,model,send,,
1,S7,ORCH,1040,model,send,,
1,S16,ORCH,1040,model,send,,
1,S4,ORCH,1040,model,send,,
1,S15,ORCH,1040,model,send,,
1,S14,ORCH,1040,model,send,,
1,S9,ORCH,1040,model,send,,
1,S10,ORCH,1040,model,send,,
1,S13,ORCH,1040,model,send,,
1,S6,ORCH,1040,model,send,,
1,S5,ORCH,1040,model,send,,
1,S2,ORCH,1040,model,send,,
1,S8,ORCH,1040,model,send,,
1,S17,ORCH,1040,model,recv,,
1,S4,ORCH,1040,model,recv,,
1,S5,ORCH,1040,model,recv,,
1,S8,ORCH,1040,model,recv,,
1,S13,ORCH,1040,model,recv,,
1,S2,ORCH,1040,model,recv,,
1,S7,ORCH,1040,model,recv,,
1,S14,ORCH,1040,model,recv,,
1,S9,ORCH,1040,model,recv,,
1,S6,ORCH,1040,model,recv,,
1,S15,ORCH,1040,model,recv,,
1,S11,ORCH,1040,model,recv,,
1,S16,ORCH,1040,model,recv,,
1,S3,ORCH,1040,model,recv,,
1,S10,ORCH,1040,model,recv,,
1,S17,ORCH,1040,model,used,0.9852677583694458,included_in_mean
1,S4,ORCH,1040,model,used,0.9858748912811279,included_in_mean
1,S5,ORCH,1040,model,used,0.9827814698219299,included_in_mean
1,S8,ORCH,1040,model,used,0.984634280204773,included_in_mean
1,S13,ORCH,1040,model,used,0.9875792264938354,included_in_mean
1,S2,ORCH,1040,model,used,0.9833266139030457,included_in_mean
1,S7,ORCH,1040,model,used,0.9856745004653931,included_in_mean
1,S14,ORCH,1040,model,used,0.985511302947998,included_in_mean
1,S9,ORCH,1040,model,used,0.9843311309814453,included_in_mean
1,S6,ORCH,1040,model,used,0.985729455947876,included_in_mean
1,S15,ORCH,1040,model,used,0.982389509677887,included_in_mean
1,S11,ORCH,1040,model,used,0.9824007749557495,included_in_mean
1,S16,ORCH,1040,model,used,0.9863231778144836,included_in_mean
1,S3,ORCH,1040,model,used,0.9847263097763062,included_in_mean
1,S10,ORCH,1040,model,used,0.9837703704833984,included_in_mean
1,ORCH,S10,1040,model,send,,
1,ORCH,S10,1040,model,recv,,
1,ORCH,S11,1040,model,send,,
1,ORCH,S11,1040,model,recv,,
1,ORCH,S13,1040,model,send,,
1,ORCH,S13,1040,model,recv,,
1,ORCH,S14,1040,model,send,,
1,ORCH,S14,1040,model,recv,,
1,ORCH,S15,1040,model,send,,
1,ORCH,S15,1040,model,recv,,
1,ORCH,S16,1040,model,send,,
1,ORCH,S16,1040,model,recv,,
1,ORCH,S17,1040,model,send,,
1,ORCH,S17,1040,model,recv,,
1,ORCH,S2,1040,model,send,,
1,ORCH,S2,1040,model,recv,,
1,ORCH,S3,1040,model,send,,
1,ORCH,S3,1040,model,recv,,
1,ORCH,S4,1040,model,send,,
1,ORCH,S4,1040,model,recv,,
1,ORCH,S5,1040,model,send,,
1,ORCH,S5,1040,model,recv,,
1,ORCH,S6,1040,model,send,,
1,ORCH,S6,1040,model,recv,,
1,ORCH,S7,1040,model,send,,
1,ORCH,S7,1040,model,recv,,
1,ORCH,S8,1040,model,send,,
1,ORCH,S8,1040,model,recv,,
1,ORCH,S9,1040,model,send,,
