t,agent,from,bytes,decision,cos_thresh,mode,trim_p,rolled_back
1,S8,S6,1788,accepted_in_agg,0.0,median,0.1,1
1,S11,S17,1795,accepted_in_agg,0.0,median,0.1,0
1,S16,S14,1784,accepted_in_agg,0.0,median,0.1,0
1,S17,S4,1793,accepted_in_agg,0.0,median,0.1,0
2,S9,S7,1797,accepted_in_agg,0.0,median,0.1,0
2,S7,S16,1796,accepted_in_agg,0.0,median,0.1,0
3,S2,S4,1801,accepted_in_agg,0.0,median,0.1,1
3,S7,S10,1787,accepted_in_agg,0.0,median,0.1,0
3,S8,S6,1792,accepted_in_agg,0.0,median,0.1,0
3,S10,S15,1796,accepted_in_agg,0.0,median,0.1,0
3,S15,S13,1798,accepted_in_agg,0.0,median,0.1,0
3,S15,S3,1789,accepted_in_agg,0.0,median,0.1,0
4,S10,S2,1798,accepted_in_agg,0.0,median,0.1,1
4,S10,S15,1788,accepted_in_agg,0.0,median,0.1,1
4,S15,S7,1796,accepted_in_agg,0.0,median,0.1,0
4,S15,S13,1798,accepted_in_agg,0.0,median,0.1,0
4,S2,S4,1801,accepted_in_agg,0.0,median,0.1,0
4,S7,S11,1799,accepted_in_agg,0.0,median,0.1,0
4,S7,S10,1803,accepted_in_agg,0.0,median,0.1,0
4,S8,S6,1792,accepted_in_agg,0.0,median,0.1,0
5,S7,S10,1802,accepted_in_agg,0.0,median,0.1,0
5,S7,S11,1794,accepted_in_agg,0.0,median,0.1,0
5,S2,S4,1796,accepted_in_agg,0.0,median,0.1,1
5,S8,S6,1796,accepted_in_agg,0.0,median,0.1,0
5,S10,S15,1792,accepted_in_agg,0.0,median,0.1,0
5,S15,S13,1790,accepted_in_agg,0.0,median,0.1,0
6,S7,S11,1798,accepted_in_agg,0.0,median,0.1,0
6,S7,S10,1794,accepted_in_agg,0.0,median,0.1,0
6,S2,S4,1793,accepted_in_agg,0.0,median,0.1,0
6,S8,S6,1799,accepted_in_agg,0.0,median,0.1,0
6,S10,S2,1801,accepted_in_agg,0.0,median,0.1,1
6,S15,S3,1790,accepted_in_agg,0.0,median,0.1,0
6,S15,S13,1802,accepted_in_agg,0.0,median,0.1,0
7,S2,S4,1803,accepted_in_agg,0.0,median,0.1,0
7,S8,S6,1798,accepted_in_agg,0.0,median,0.1,0
