t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,1.0,0.9953966330784393,0,0
1,1795,0.014394603225779557,0.802878920645156,0.9976511180498535,0,0
2,3592,0.002535857209367177,0.6428103079579982,0.9978195179672185,1,0
3,3592,0.0,0.5142482463663985,0.9969910436891155,0,0
4,5388,0.0018515583833092746,0.41176890876978073,0.9976483782674455,0,0
5,7182,0.003128301813010175,0.3300407873784266,0.9978910992781401,0,0
6,8977,0.006407460629720983,0.2653141220286855,0.9980847028057478,0,0
7,8977,0.0,0.2122512976229484,0.9751754894714044,0,0
8,10766,0.05326263364785707,0.18045356482793015,0.9944041372729686,0,0
9,10766,0.0,0.14436285186234413,0.9041981103325976,0,0
10,12564,0.1629149174421526,0.14807326497830584,0.9502916082275832,0,0
11,14355,0.17607706869515374,0.15367402572167543,0.99559927747941,0,0
12,14355,0.0,0.12293922057734036,0.9384482132679783,0,0
13,14355,0.0,0.0983513764618723,0.8914006149734417,0,0
14,14355,0.0,0.07868110116949784,0.878191510041141,0,0
15,16149,0.42064854117245415,0.14707458917008912,0.9736222102219684,0,0
16,16149,0.0,0.1176596713360713,0.8634873735346331,0,0
17,17934,0.2518927465788796,0.14450628638463298,0.9349022652836976,0,0
18,17934,0.0,0.11560502910770638,0.9342135009365734,0,0
19,17934,0.0,0.09248402328616512,0.9197066329642221,0,0
20,17934,0.0,0.0739872186289321,0.9074176996556449,0,0
21,17934,0.0,0.05918977490314568,0.8936768142513178,0,0
22,17934,0.0,0.047351819922516546,0.8885996394471474,0,0
23,17934,0.0,0.03788145593801324,0.884455256883354,0,0
24,17934,0.0,0.03030516475041059,0.8851908632058278,0,0
25,17934,0.0,0.024244131800328472,0.8757186585386476,0,0
26,17934,0.0,0.01939530544026278,0.8653116755658903,0,0
27,19728,0.006229980843259958,0.016762240520862216,0.8677303922888489,0,0
28,21519,0.005234708794296772,0.014456734175549128,0.8699311952766776,0,0
29,21519,0.0,0.011565387340439303,0.8501191379646059,0,0
30,23318,0.043082649410207174,0.01786883975439288,0.8609186533361419,0,0
31,23318,0.0,0.014295071803514303,0.8541743405959223,0,0
32,25108,0.010753401102208904,0.013586737663253225,0.8573575490758517,0,0
33,26904,0.003613905318614885,0.011592171194325557,0.8586738174669115,0,0
34,26904,0.0,0.009273736955460446,0.8548343125202336,0,0
35,28696,0.022231149935913852,0.011865219551551127,0.8602644205827146,0,0
36,28696,0.0,0.009492175641240903,0.8138087153390638,0,0
37,30488,0.8535689682202361,0.17830753415703995,0.9974084625491425,0,0
38,32278,0.003924681646459302,0.14343096365492383,0.9974084625491425,0,0
39,34067,0.002284832120173611,0.1152017373479738,0.9974084625491425,0,0
40,35861,0.001191236356690481,0.09239963714971715,0.9974084625491425,0,0
41,37651,0.0013161822356890752,0.07418294616691154,0.9974084625491425,0,0
42,39442,0.0006810223266396111,0.05948256139885716,0.9974084625491425,0,0
43,41238,0.0005784158425081801,0.04770173228758737,0.9974084625491425,0,0
44,43029,0.0002514258106614144,0.03821167099220218,0.997236984393676,0,0
45,44817,6.860494564329446e-05,0.030583057782890402,0.997236984393676,0,0
46,46610,0.00031131840186490213,0.024528709906685302,0.997236984393676,0,0
47,48401,0.00029692877094311676,0.019682353679536867,0.997236984393676,0,0
48,50192,0.0002617677714653443,0.01579823649792256,0.997236984393676,0,0
49,51984,0.000314116963724265,0.012701412591082902,0.997236984393676,0,0
