t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,4160,0.0,0.0,0.14035785288270378,0,0
1,8320,0.0,0.0,0.09155565590426733,0,0
2,12480,0.0,0.0,0.14035785288270378,0,0
3,16640,0.0,0.0,0.14035785288270378,0,0
4,20800,0.0,0.0,0.14035785288270378,0,0
5,24960,0.0,0.0,0.14035785288270378,0,0
6,29120,0.0,0.0,0.14035785288270378,0,0
7,33280,0.0,0.0,0.14035785288270378,0,0
8,37440,0.0,0.0,0.14035785288270378,0,0
9,41600,0.0,0.0,0.14035785288270378,0,0
10,45760,0.0,0.0,0.14035785288270378,0,0
11,49920,0.0,0.0,0.14035785288270378,0,0
12,54080,0.0,0.0,0.14035785288270378,0,0
13,58240,0.0,0.0,0.1539132330499237,0,0
14,62400,0.0,0.0,0.6913302904291841,0,0
15,66560,0.0,0.0,0.6483765838162707,0,0
16,70720,0.0,0.0,0.6234153187306809,0,0
17,74880,0.0,0.0,0.39656053564365834,0,0
18,79040,0.0,0.0,0.41913334882847875,0,0
19,83200,0.0,0.0,0.6979848159404114,0,0
20,87360,0.0,0.0,0.7022350423749467,0,0
21,91520,0.0,0.0,0.9504864319225765,0,0
22,95680,0.0,0.0,0.9304921141371321,0,0
23,99840,0.0,0.0,0.9970795140208744,0,0
24,104000,0.0,0.0,0.9884758291505243,0,0
25,108160,0.0,0.0,0.9980623665153463,0,0
26,112320,0.0,0.0,0.9881675677448523,0,0
27,116480,0.0,0.0,0.9570941184110964,0,0
28,120640,0.0,0.0,0.955906886643145,0,0
29,124800,0.0,0.0,0.9976511180498535,0,0
30,128960,0.0,0.0,0.9974310505072961,0,0
31,133120,0.0,0.0,0.996333081002392,0,0
32,137280,0.0,0.0,0.9594232463704231,0,0
33,141440,0.0,0.0,0.9974314937735356,0,0
34,145600,0.0,0.0,0.9971882020035234,0,0
35,149760,0.0,0.0,0.9971625532153504,0,0
36,153920,0.0,0.0,0.9971882020035234,0,0
37,158080,0.0,0.0,0.9971882020035234,0,0
38,162240,0.0,0.0,0.9967774409524363,0,0
39,166400,0.0,0.0,0.9961605687915402,0,0
40,170560,0.0,0.0,0.996333081002392,0,0
41,174720,0.0,0.0,0.9963375338307721,0,0
42,178880,0.0,0.0,0.9965760575063591,0,0
43,183040,0.0,0.0,0.9975765414632514,0,0
44,187200,0.0,0.0,0.9975765414632514,0,0
45,191360,0.0,0.0,0.9974082695017256,0,0
46,195520,0.0,0.0,0.9974515471354712,0,0
47,199680,0.0,0.0,0.9967805075071389,0,0
48,203840,0.0,0.0,0.9974515471354712,0,0
49,208000,0.0,0.0,0.9969452255660185,0,0
