t,agent,from,bytes,decision,cos_thresh,mode,trim_p,rolled_back
1,S2,S7,1790,accepted_in_agg,0.0,median,0.1,0
1,S11,S15,1792,accepted_in_agg,0.0,median,0.1,0
1,S3,S4,1792,accepted_in_agg,0.0,median,0.1,0
1,S17,S11,1794,accepted_in_agg,0.0,median,0.1,0
2,S4,S9,1794,accepted_in_agg,0.0,median,0.1,1
2,S15,S17,1801,accepted_in_agg,0.0,median,0.1,0
2,S2,S14,1787,accepted_in_agg,0.0,median,0.1,0
2,S2,S7,1792,accepted_in_agg,0.0,median,0.1,0
2,S10,S5,1791,accepted_in_agg,0.0,median,0.1,1
2,S10,S6,1792,accepted_in_agg,0.0,median,0.1,1
3,S4,S15,1798,accepted_in_agg,0.0,median,0.1,0
3,S16,S9,1797,accepted_in_agg,0.0,median,0.1,0
3,S15,S6,1797,accepted_in_agg,0.0,median,0.1,0
3,S15,S5,1791,accepted_in_agg,0.0,median,0.1,0
3,S17,S7,1794,accepted_in_agg,0.0,median,0.1,0
4,S15,S5,1795,accepted_in_agg,0.0,median,0.1,0
4,S5,S11,1801,accepted_in_agg,0.0,median,0.1,0
4,S8,S14,1793,accepted_in_agg,0.0,median,0.1,0
4,S16,S9,1793,accepted_in_agg,0.0,median,0.1,0
4,S16,S4,1802,accepted_in_agg,0.0,median,0.1,0
4,S17,S10,1800,accepted_in_agg,0.0,median,0.1,0
4,S17,S7,1792,accepted_in_agg,0.0,median,0.1,0
5,S16,S4,1797,accepted_in_agg,0.0,median,0.1,0
5,S16,S9,1793,accepted_in_agg,0.0,median,0.1,0
5,S14,S2,1794,accepted_in_agg,0.0,median,0.1,0
5,S8,S14,1796,accepted_in_agg,0.0,median,0.1,0
5,S17,S10,1796,accepted_in_agg,0.0,median,0.1,0
5,S17,S7,1798,accepted_in_agg,0.0,median,0.1,0
6,S8,S14,1792,accepted_in_agg,0.0,median,0.1,0
6,S14,S2,1792,accepted_in_agg,0.0,median,0.1,0
6,S4,S15,1790,accepted_in_agg,0.0,median,0.1,1
6,S5,S11,1791,accepted_in_agg,0.0,median,0.1,0
6,S15,S6,1797,accepted_in_agg,0.0,median,0.1,0
6,S15,S5,1796,accepted_in_agg,0.0,median,0.1,0
6,S16,S4,1797,accepted_in_agg,0.0,median,0.1,1
6,S16,S9,1800,accepted_in_agg,0.0,median,0.1,1
6,S17,S10,1797,accepted_in_agg,0.0,median,0.1,0
6,S17,S7,1797,accepted_in_agg,0.0,median,0.1,0
7,S4,S15,1791,accepted_in_agg,0.0,median,0.1,1
7,S15,S6,1801,accepted_in_agg,0.0,median,0.1,0
7,S15,S5,1792,accepted_in_agg,0.0,median,0.1,0
7,S16,S9,1804,accepted_in_agg,0.0,median,0.1,0
7,S14,S2,1792,accepted_in_agg,0.0,median,0.1,0
7,S8,S14,1803,accepted_in_agg,0.0,median,0.1,0
7,S5,S11,1791,accepted_in_agg,0.0,median,0.1,0
8,S15,S5,1803,accepted_in_agg,0.0,median,0.1,0
8,S14,S2,1792,accepted_in_agg,0.0,median,0.1,0
8,S4,S15,1798,accepted_in_agg,0.0,median,0.1,1
8,S8,S14,1795,accepted_in_agg,0.0,median,0.1,0
8,S5,S11,1790,accepted_in_agg,0.0,median,0.1,0
8,S16,S9,1798,accepted_in_agg,0.0,median,0.1,1
8,S16,S4,1796,accepted_in_agg,0.0,median,0.1,1
8,S17,S7,1790,accepted_in_agg,0.0,median,0.1,0
8,S17,S10,1792,accepted_in_agg,0.0,median,0.1,0
9,S4,S15,1794,accepted_in_agg,0.0,median,0.1,1
9,S5,S11,1799,accepted_in_agg,0.0,median,0.1,0
9,S8,S14,1798,accepted_in_agg,0.0,median,0.1,1
9,S15,S6,1805,accepted_in_agg,0.0,median,0.1,0
9,S14,S2,1795,accepted_in_agg,0.0,median,0.1,0
9,S16,S9,1802,accepted_in_agg,0.0,median,0.1,1
10,S5,S11,1801,accepted_in_agg,0.0,median,0.1,0
10,S15,S6,1808,accepted_in_agg,0.0,median,0.1,0
10,S15,S5,1794,accepted_in_agg,0.0,median,0.1,0
10,S14,S2,1800,accepted_in_agg,0.0,median,0.1,0
10,S16,S4,1796,accepted_in_agg,0.0,median,0.1,0
10,S16,S9,1803,accepted_in_agg,0.0,median,0.1,0
10,S4,S15,1793,accepted_in_agg,0.0,median,0.1,0
10,S8,S14,1801,accepted_in_agg,0.0,median,0.1,0
10,S17,S7,1798,accepted_in_agg,0.0,median,0.1,0
10,S17,S10,1799,accepted_in_agg,0.0,median,0.1,0
11,S8,S14,1801,accepted_in_agg,0.0,median,0.1,0
11,S16,S9,1801,accepted_in_agg,0.0,median,0.1,0
11,S16,S4,1795,accepted_in_agg,0.0,median,0.1,0
11,S15,S6,1802,accepted_in_agg,0.0,median,0.1,0
11,S15,S5,1796,accepted_in_agg,0.0,median,0.1,0
11,S5,S11,1795,accepted_in_agg,0.0,median,0.1,0
11,S4,S15,1792,accepted_in_agg,0.0,median,0.1,0
11,S17,S7,1798,accepted_in_agg,0.0,median,0.1,0
12,S15,S5,1793,accepted_in_agg,0.0,median,0.1,0
12,S16,S9,1798,accepted_in_agg,0.0,median,0.1,0
12,S16,S4,1796,accepted_in_agg,0.0,median,0.1,0
12,S5,S11,1795,accepted_in_agg,0.0,median,0.1,0
12,S8,S14,1805,accepted_in_agg,0.0,median,0.1,0
12,S14,S2,1803,accepted_in_agg,0.0,median,0.1,0
12,S4,S15,1793,accepted_in_agg,0.0,median,0.1,0
12,S17,S10,1802,accepted_in_agg,0.0,median,0.1,1
13,S4,S15,1790,accepted_in_agg,0.0,median,0.1,0
13,S5,S11,1794,accepted_in_agg,0.0,median,0.1,0
13,S15,S5,1796,accepted_in_agg,0.0,median,0.1,0
13,S15,S6,1806,accepted_in_agg,0.0,median,0.1,0
13,S8,S14,1800,accepted_in_agg,0.0,median,0.1,0
13,S17,S10,1801,accepted_in_agg,0.0,median,0.1,0
13,S17,S7,1796,accepted_in_agg,0.0,median,0.1,0
13,S16,S9,1796,accepted_in_agg,0.0,median,0.1,0
13,S14,S2,1799,accepted_in_agg,0.0,median,0.1,0
14,S4,S15,1802,accepted_in_agg,0.0,median,0.1,0
14,S5,S11,1792,accepted_in_agg,0.0,median,0.1,0
14,S8,S14,1796,accepted_in_agg,0.0,median,0.1,0
14,S15,S6,1803,accepted_in_agg,0.0,median,0.1,0
14,S15,S5,1793,accepted_in_agg,0.0,median,0.1,0
14,S16,S9,1803,accepted_in_agg,0.0,median,0.1,0
15,S5,S11,1796,accepted_in_agg,0.0,median,0.1,0
15,S4,S15,1798,accepted_in_agg,0.0,median,0.1,0
15,S8,S14,1799,accepted_in_agg,0.0,median,0.1,1
15,S14,S2,1798,accepted_in_agg,0.0,median,0.1,0
15,S16,S9,1801,accepted_in_agg,0.0,median,0.1,0
15,S16,S4,1797,accepted_in_agg,0.0,median,0.1,0
15,S17,S7,1797,accepted_in_agg,0.0,median,0.1,0
15,S17,S10,1800,accepted_in_agg,0.0,median,0.1,0
16,S4,S15,1794,accepted_in_agg,0.0,median,0.1,0
16,S16,S9,1800,accepted_in_agg,0.0,median,0.1,0
16,S5,S11,1797,accepted_in_agg,0.0,median,0.1,0
16,S15,S5,1795,accepted_in_agg,0.0,median,0.1,0
16,S8,S14,1803,accepted_in_agg,0.0,median,0.1,1
16,S17,S10,1803,accepted_in_agg,0.0,median,0.1,0
16,S17,S7,1794,accepted_in_agg,0.0,median,0.1,0
17,S7,S17,1800,accepted_in_agg,0.0,median,0.1,0
17,S14,S8,1798,accepted_in_agg,0.0,median,0.1,0
17,S4,S16,1801,accepted_in_agg,0.0,median,0.1,0
17,S15,S4,1797,accepted_in_agg,0.0,median,0.1,0
18,S2,S14,1795,accepted_in_agg,0.0,median,0.1,1
18,S11,S5,1794,accepted_in_agg,0.0,median,0.1,0
18,S7,S17,1800,accepted_in_agg,0.0,median,0.1,0
18,S14,S8,1797,accepted_in_agg,0.0,median,0.1,0
19,S7,S17,1801,accepted_in_agg,0.0,median,0.1,0
19,S15,S4,1800,accepted_in_agg,0.0,median,0.1,0
19,S14,S8,1798,accepted_in_agg,0.0,median,0.1,0
21,S11,S5,1799,accepted_in_agg,0.0,median,0.1,1
