t,agent,neighbor,tau,score,contacts,reputation,self_p
1,S13,S17,1.0,1.2223455711051268,1,1.0,0.8
1,S4,S15,1.0,1.2223455711051268,1,1.0,0.8
1,S5,S14,1.0,1.2223455711051268,1,0.0,0.8
1,S10,S7,1.0,1.2223455711051268,1,1.0,0.8162254663005883
1,S15,S11,1.0,1.2223455711051268,1,1.0,1.0
1,S15,S8,1.0,1.2223455711051268,1,0.0,1.0
1,S2,S10,1.0,1.2223455711051268,1,0.0,0.8988460742283015
1,S8,S3,1.0,1.2223455711051268,1,1.0,0.803964019605933
1,S16,S2,1.0,1.2223455711051268,1,0.5,0.8
2,S2,S10,0.995,1.2173455711051266,1,0.0,0.7190768593826413
2,S2,S17,1.0,1.2223455711051268,1,1.0,0.7190768593826413
2,S5,S14,0.995,1.2173455711051266,1,0.0,0.6400000000000001
2,S15,S11,0.995,1.2173455711051266,1,1.0,0.8
2,S15,S8,0.995,1.2173455711051266,1,0.0,0.8
2,S15,S9,1.0,1.2223455711051268,1,0.0,0.8
2,S10,S7,0.995,1.2173455711051266,1,1.0,0.6529803730404707
2,S13,S17,0.995,1.2173455711051266,1,1.0,0.6496213031865319
2,S7,S14,1.0,1.2223455711051268,1,0.0,0.6781147828187936
2,S8,S3,0.995,1.2173455711051266,1,1.0,0.6438850028924302
2,S8,S7,1.0,1.2223455711051268,1,1.0,0.6438850028924302
2,S6,S3,1.0,1.2223455711051268,1,1.0,0.7078478287190999
2,S4,S15,0.995,1.2173455711051266,1,1.0,0.6441782721337662
2,S3,S4,1.0,1.2223455711051268,1,1.0,0.6881935739837114
2,S3,S13,1.0,1.2223455711051268,1,0.0,0.6881935739837114
2,S9,S6,1.0,1.2223455711051268,1,0.0,0.6426540196798199
2,S16,S2,0.995,1.2173455711051266,1,0.5,0.6400000000000001
2,S17,S8,1.0,1.2223455711051268,1,0.0,0.6971182542804808
3,S3,S4,0.995,1.2173455711051266,1,1.0,0.5505548591869691
3,S3,S13,0.995,1.2173455711051266,1,0.0,0.5505548591869691
3,S2,S10,0.990025,1.2123705711051267,1,0.0,0.5752614875061131
3,S2,S17,0.995,1.2173455711051266,1,1.0,0.5752614875061131
3,S10,S7,0.990025,1.2123705711051267,1,1.0,0.5223842984323767
3,S10,S15,1.0,1.2223455711051268,1,1.0,0.5223842984323767
3,S10,S5,1.0,1.2223455711051268,1,0.0,0.5223842984323767
3,S7,S14,0.995,1.2173455711051266,1,0.0,0.5424918262550349
3,S9,S6,0.995,1.2173455711051266,1,0.0,0.514123215743856
3,S4,S15,0.990025,1.2123705711051267,1,1.0,0.5272790193834267
3,S4,S6,1.0285395763656633,1.25088514747079,1,0.0,0.5272790193834267
3,S5,S14,0.990025,1.2123705711051267,1,0.0,0.5159765682310333
3,S5,S17,1.0,1.2223455711051268,1,1.0,0.5159765682310333
3,S5,S13,1.0,1.2223455711051268,1,0.0,0.5159765682310333
3,S5,S4,1.0,1.2223455711051268,1,0.0,0.5159765682310333
3,S13,S17,0.990025,1.2123705711051267,1,1.0,0.5285934942883062
3,S15,S11,0.990025,1.2123705711051267,1,1.0,0.6447819136940002
3,S15,S8,0.990025,1.2123705711051267,1,0.0,0.6447819136940002
3,S15,S9,0.995,1.2173455711051266,1,0.0,0.6447819136940002
3,S6,S3,0.995,1.2173455711051266,1,1.0,0.5719998294234768
3,S8,S3,0.990025,1.2123705711051267,1,1.0,0.5197082947064842
3,S8,S7,0.995,1.2173455711051266,1,1.0,0.5197082947064842
3,S16,S2,0.990025,1.2123705711051267,1,0.5,0.5120000000000001
3,S17,S8,0.995,1.1989333980337618,2,0.0,0.5587152133452327
4,S9,S6,0.990025,1.2123705711051267,1,0.0,0.41129857259508484
4,S10,S7,0.985074875,1.2074204461051268,1,1.0,0.41790743874590136
4,S10,S15,0.995,1.1989333980337618,2,1.0,0.41790743874590136
4,S10,S5,0.995,1.1989333980337618,2,0.0,0.41790743874590136
4,S4,S15,0.985074875,1.2074204461051268,1,1.0,0.4218232155067414
4,S4,S6,1.0518413229282795,1.2557747209620413,2,0.0,0.4218232155067414
4,S16,S2,0.985074875,1.2074204461051268,1,0.5,0.40960000000000013
4,S3,S4,0.990025,1.2123705711051267,1,1.0,0.4437232354675024
4,S3,S13,0.990025,1.2123705711051267,1,0.0,0.4437232354675024
4,S7,S14,0.990025,1.2123705711051267,1,0.0,0.43560041179737236
4,S11,S2,1.0,1.2223455711051268,1,1.0,0.4145262093470585
4,S6,S3,0.990025,1.2123705711051267,1,1.0,0.46360919654714833
4,S8,S3,0.985074875,1.1890082730337619,2,1.0,0.5203663719259953
4,S8,S7,0.990025,1.2123705711051267,1,1.0,0.5203663719259953
4,S15,S11,0.985074875,1.2074204461051268,1,1.0,0.5197836419658788
4,S15,S8,0.985074875,1.2074204461051268,1,0.0,0.5197836419658788
4,S15,S9,0.990025,1.2123705711051267,1,0.0,0.5197836419658788
4,S13,S17,0.985074875,1.2074204461051268,1,1.0,0.4292089816503152
4,S13,S11,1.0,1.2223455711051268,1,1.0,0.4292089816503152
4,S5,S14,0.985074875,1.2074204461051268,1,0.0,0.4130646182144927
4,S5,S17,0.995,1.1989333980337618,2,0.0,0.4130646182144927
4,S5,S13,0.995,1.1989333980337618,2,0.0,0.4130646182144927
4,S5,S4,0.995,1.2173455711051266,1,0.0,0.4130646182144927
4,S2,S10,0.985074875,1.2074204461051268,1,0.0,0.4611414157256531
4,S2,S17,0.990025,1.2123705711051267,1,1.0,0.4611414157256531
4,S17,S8,0.990025,1.180320436176928,3,0.0,0.45474905023281803
4,S17,S7,1.0,1.2223455711051268,1,1.0,0.45474905023281803
5,S10,S7,0.9801495006250001,1.2024950717301268,1,1.0,0.33432595099672113
5,S10,S15,0.990025,1.180320436176928,3,1.0,0.33432595099672113
5,S10,S5,0.990025,1.180320436176928,3,0.0,0.33432595099672113
5,S4,S15,0.9801495006250001,1.2024950717301268,1,1.0,0.3374585724053931
5,S4,S6,1.0465821163136382,1.2368775524905662,3,0.0,0.3374585724053931
5,S4,S9,1.0,1.2223455711051268,1,0.0,0.3374585724053931
5,S11,S2,0.995,1.1989333980337618,2,1.0,0.34318153932732975
5,S16,S2,0.9801495006250001,1.2024950717301268,1,0.5,0.5058160509662651
5,S13,S17,0.9801495006250001,1.2024950717301268,1,1.0,0.5062140295200617
5,S13,S11,0.995,1.1989333980337618,2,1.0,0.5062140295200617
5,S15,S11,0.9801495006250001,1.2024950717301268,1,1.0,0.42016390664892966
5,S15,S8,0.9801495006250001,1.2024950717301268,1,0.0,0.42016390664892966
5,S15,S9,0.985074875,1.2074204461051268,1,0.0,0.42016390664892966
5,S15,S14,1.0,1.2223455711051268,1,0.0,0.42016390664892966
5,S9,S6,0.985074875,1.2074204461051268,1,0.0,0.3362221390991833
5,S7,S14,0.985074875,1.2074204461051268,1,0.0,0.34917130419498377
5,S2,S10,0.9801495006250001,1.2024950717301268,1,0.0,0.41531868485799095
5,S2,S17,0.985074875,1.2074204461051268,1,1.0,0.41531868485799095
5,S2,S16,1.0,1.2223455711051268,1,0.0,0.41531868485799095
5,S3,S4,0.985074875,1.2074204461051268,1,1.0,0.3663315356021437
5,S3,S13,0.985074875,1.2074204461051268,1,0.0,0.3663315356021437
5,S5,S14,0.9801495006250001,1.2024950717301268,1,0.0,0.3352962563947711
5,S5,S17,0.990025,1.180320436176928,3,0.0,0.3352962563947711
5,S5,S13,0.990025,1.180320436176928,3,0.0,0.3352962563947711
5,S5,S4,0.990025,1.2123705711051267,1,0.0,0.3352962563947711
5,S8,S3,0.9801495006250001,1.170444936801928,3,1.0,0.6162930975407963
5,S8,S7,0.985074875,1.2074204461051268,1,1.0,0.6162930975407963
5,S6,S3,0.985074875,1.2074204461051268,1,1.0,0.5494326044289519
5,S17,S8,0.985074875,1.164662375807002,4,0.0,0.36884974787786456
5,S17,S7,0.995,1.1989333980337618,2,1.0,0.36884974787786456
6,S13,S17,0.9752487531218751,1.1975943242270017,1,1.0,0.40497122361604937
6,S13,S11,0.990025,1.180320436176928,3,1.0,0.40497122361604937
6,S8,S3,0.9752487531218751,1.1548362539288772,4,1.0,0.49303447803263706
6,S8,S7,0.9801495006250001,1.2024950717301268,1,1.0,0.49303447803263706
6,S4,S15,0.9752487531218751,1.1975943242270017,1,1.0,0.2699668579243145
6,S4,S6,1.04134920573207,1.220936706539072,4,0.0,0.2699668579243145
6,S4,S9,0.995,1.1989333980337618,2,0.0,0.2699668579243145
6,S10,S7,0.9752487531218751,1.1975943242270017,1,1.0,0.4363423907110718
6,S10,S15,0.985074875,1.164662375807002,4,0.5,0.4363423907110718
6,S10,S5,0.985074875,1.164662375807002,4,0.5,0.4363423907110718
6,S16,S2,0.9752487531218751,1.1975943242270017,1,0.5,0.4214869398267387
6,S16,S10,1.000132843562249,1.2224784146673757,1,0.0,0.4214869398267387
6,S7,S14,0.9801495006250001,1.2024950717301268,1,0.0,0.28224784677195786
6,S11,S2,0.9944783662709522,1.1847738024478802,3,0.0,0.47454523146186384
6,S15,S11,0.9752487531218751,1.1975943242270017,1,1.0,0.3377249979246465
6,S15,S8,0.9752487531218751,1.1975943242270017,1,0.0,0.3377249979246465
6,S15,S9,0.9801495006250001,1.2024950717301268,1,0.0,0.3377249979246465
6,S15,S14,0.995,1.1989333980337618,2,0.0,0.3377249979246465
6,S6,S3,0.9801495006250001,1.2024950717301268,1,1.0,0.45809034978667257
6,S9,S6,0.9801495006250001,1.2024950717301268,1,0.0,0.28840394708333206
6,S5,S14,0.9752487531218751,1.1975943242270017,1,0.0,0.27712264920206786
6,S5,S17,0.985074875,1.164662375807002,4,0.0,0.27712264920206786
6,S5,S13,0.985074875,1.175370311176928,3,0.0,0.27712264920206786
6,S5,S4,0.985074875,1.2074204461051268,1,0.0,0.27712264920206786
6,S2,S10,0.9752487531218751,1.1975943242270017,1,0.0,0.5112737235549991
