t,src,dst,bytes,kind,action,cos,reason
1,S13,S4,1787,head,sent,,
1,S5,S11,1796,head,sent,,
1,S15,S10,1795,head,sent,,
1,S9,S6,1789,head,sent,,
1,S2,S7,1787,head,sent,,
1,S4,S10,1788,head,sent,,
1,S6,S5,1792,head,sent,,
1,S10,S8,1788,head,sent,,
1,S11,S4,1791,head,sent,,
1,S7,S5,1789,head,sent,,
1,S14,S7,1795,head,sent,,
1,S8,S10,1791,head,sent,,
1,S3,S10,1791,head,sent,,
1,S16,S7,1785,head,sent,,
1,S4,S10,1788,head,received,,
1,S4,S10,1788,head,drop_cos,-0.024397436529397964,cos<0.0
1,S8,S10,1791,head,received,,
1,S8,S10,1791,head,buffered,0.027255117893218994,
1,S2,S7,1787,head,received,,
1,S2,S7,1787,head,drop_cos,-0.018054431304335594,cos<0.0
1,S5,S11,1796,head,received,,
1,S5,S11,1796,head,buffered,0.07060261815786362,
1,S7,S5,1789,head,received,,
1,S7,S5,1789,head,drop_cos,-0.010166765190660954,cos<0.0
1,S10,S8,1788,head,received,,
1,S10,S8,1788,head,buffered,0.027255117893218994,
1,S6,S5,1792,head,received,,
1,S6,S5,1792,head,drop_cos,-0.00535759050399065,cos<0.0
1,S14,S7,1795,head,received,,
1,S14,S7,1795,head,buffered,0.05853802710771561,
1,S13,S4,1787,head,received,,
1,S13,S4,1787,head,drop_cos,-0.12787173688411713,cos<0.0
1,S3,S10,1791,head,received,,
1,S3,S10,1791,head,drop_cos,-0.07667127996683121,cos<0.0
1,S15,S10,1795,head,received,,
1,S15,S10,1795,head,drop_cos,-0.027177121490240097,cos<0.0
1,S9,S6,1789,head,received,,
1,S9,S6,1789,head,buffered,0.007408703211694956,
1,S16,S7,1785,head,received,,
1,S16,S7,1785,head,buffered,0.004473308566957712,
1,S11,S4,1791,head,received,,
1,S11,S4,1791,head,drop_cos,-0.0843120664358139,cos<0.0
1,S17,S7,1791,head,sent,,
1,S17,S7,1791,head,received,,
1,S17,S7,1791,head,drop_cos,-0.0366533026099205,cos<0.0
2,S14,S3,1792,head,sent,,
2,S11,S2,1798,head,sent,,
2,S13,S7,1785,head,sent,,
2,S8,S11,1795,head,sent,,
2,S9,S4,1783,head,sent,,
2,S6,S9,1789,head,sent,,
2,S2,S6,1794,head,sent,,
2,S14,S3,1792,head,received,,
2,S14,S3,1792,head,drop_cos,-0.03806258738040924,cos<0.0
2,S9,S4,1783,head,received,,
2,S9,S4,1783,head,buffered,0.11258397996425629,
2,S2,S6,1794,head,received,,
2,S2,S6,1794,head,buffered,0.022069351747632027,
2,S6,S9,1789,head,received,,
2,S6,S9,1789,head,buffered,0.6848159432411194,
2,S8,S11,1795,head,received,,
2,S8,S11,1795,head,buffered,0.006658930331468582,
2,S13,S7,1785,head,received,,
2,S13,S7,1785,head,drop_cos,-0.018415700644254684,cos<0.0
2,S11,S2,1798,head,received,,
2,S11,S2,1798,head,buffered,0.12359727919101715,
2,S17,S14,1797,head,sent,,
2,S17,S14,1797,head,received,,
2,S17,S14,1797,head,buffered,0.0318872444331646,
