t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,1.0,0.13973365136155833,0,0
1,1796,0.3670824828217547,0.8734164965643509,0.13973365136155833,1,1
2,3593,0.9546254511429131,0.8896582874800634,0.38892889528389984,0,0
3,3593,0.0,0.7117266299840508,0.13973365136155833,0,0
4,5388,0.026545663933511543,0.5746904367739429,0.13973365136155833,1,0
5,7189,0.000137364485670255,0.45977982231628844,0.13973365136155833,1,0
6,8986,0.005316877079272809,0.36888723326888534,0.13973365136155833,1,0
7,10785,0.013606346591785612,0.2978310559334654,0.13973365136155833,1,0
8,12579,0.025307860556597287,0.2433264168580918,0.13973365136155833,0,0
9,14373,0.5467240168295815,0.30400593685238975,0.30240183843754487,0,0
10,16170,0.43904519603826403,0.33101378868956466,0.41915155302495066,1,1
11,17967,0.09103220078787237,0.28301747110922626,0.4336057430359787,1,1
12,19766,1.0,0.42641397688738103,0.948490951673707,1,0
13,19766,0.0,0.34113118150990485,0.6976424939661235,1,0
14,21571,0.48771960305724216,0.37044886581937236,0.7025315124624018,1,0
15,21571,0.0,0.2963590926554979,0.6941680422578679,1,0
16,23374,0.1134051933808426,0.25976831280056684,0.6978417401416451,0,0
17,25178,0.3236035240560532,0.27253535505166415,0.7861094534717077,0,0
18,25178,0.0,0.21802828404133134,0.6988028231399803,1,0
19,26980,0.2332716762632618,0.22107696248571745,0.7738567776810451,0,0
20,26980,0.0,0.17686156998857397,0.697575480262692,1,0
21,28783,0.016310063333430463,0.14475126865754528,0.7008694553242885,0,0
22,30587,0.74829759148593,0.2654605332232223,0.9283301308227889,1,0
23,30587,0.0,0.21236842657857782,0.7375676813916027,0,0
24,32386,0.5508562502331026,0.2800659913094828,0.8998865144182486,1,0
25,32386,0.0,0.22405279304758624,0.7078774400056052,1,0
26,34189,0.5809203732772231,0.29542630909351364,0.8771366274335899,1,0
27,35984,0.01407348752810221,0.23915574478043136,0.8711609068752576,1,0
28,35984,0.0,0.1913245958243451,0.7145561089089719,0,0
29,37783,0.7069894461132359,0.29445756588212324,0.8635682301392684,1,0
30,39586,0.12265416589454044,0.2600968858846067,0.8953330723052756,1,0
31,41384,0.1769063918676569,0.24345878708121677,0.9498950918661497,0,0
32,41384,0.0,0.19476702966497342,0.899622779302214,0,0
33,43191,0.02231880175894733,0.1602773840837682,0.9019228025882957,0,0
34,43191,0.0,0.12822190726701457,0.7602126420973625,0,0
35,44995,0.5131059894465719,0.20519872370292608,0.901122026421372,0,0
36,44995,0.012606512745606646,0.16668028151146222,0.9029388142916208,0,0
37,44995,0.0,0.13334422520916978,0.8387905898720228,0,0
38,46792,0.02209724765134359,0.11109482969760455,0.8425995208044093,0,0
39,46792,0.5434723144824023,0.19757032665456412,0.9966196520233872,0,0
40,48591,0.004709523775522088,0.15899816607875572,0.9966196520233872,0,0
41,48591,0.0,0.1271985328630046,0.7245312773815509,0,0
42,50392,0.9811822354811586,0.2979952733866354,0.9963989292454516,0,0
43,50392,0.0,0.23839621870930833,0.8772979310684762,0,0
44,52192,0.34484865823732236,0.2596867066149111,0.9617736030217221,0,0
45,52192,0.08045773294881055,0.223840911881691,0.9852935993166927,0,0
46,52192,0.0,0.1790727295053528,0.7015231251388487,0,0
47,53990,1.0,0.3432581836042823,0.9966196520233872,0,0
48,53990,0.0,0.27460654688342584,0.9019206656482751,0,0
49,55793,0.2793547599687313,0.27555618950048694,0.9726433919212996,0,0
