t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.14094896331738438,0,0
1,2080,0.0,0.0,0.14585335913280484,0,0
2,3120,0.0,0.0,0.14094896331738438,0,0
3,4160,0.0,0.0,0.14094896331738438,0,0
4,5200,0.0,0.0,0.14094896331738438,0,0
5,6240,0.0,0.0,0.14094896331738438,0,0
6,7280,0.0,0.0,0.14094896331738438,0,0
7,8320,0.0,0.0,0.14094896331738438,0,0
8,9360,0.0,0.0,0.14094896331738438,0,0
9,10400,0.0,0.0,0.14094896331738438,0,0
10,11440,0.0,0.0,0.16673470836735418,0,0
11,12480,0.0,0.0,0.3404592167378179,0,0
12,13520,0.0,0.0,0.38826221467293554,0,0
13,14560,0.0,0.0,0.35900644247857216,0,0
14,15600,0.0,0.0,0.35149491287029944,0,0
15,16640,0.0,0.0,0.3481644996890282,0,0
16,17680,0.0,0.0,0.3385796113466867,0,0
17,18720,0.0,0.0,0.33387508427236834,0,0
18,19760,0.0,0.0,0.25120841557339085,0,0
19,20800,0.0,0.0,0.35147300731357967,0,0
20,21840,0.0,0.0,0.35939264120087466,0,0
21,22880,0.0,0.0,0.39144809803704117,0,0
22,23920,0.0,0.0,0.4101919417917441,0,0
23,24960,0.0,0.0,0.3923760592941895,0,0
24,26000,0.0,0.0,0.39163074555744226,0,0
25,27040,0.0,0.0,0.3942683757834793,0,0
26,28080,0.0,0.0,0.3920551575305425,0,0
27,29120,0.0,0.0,0.4099155762582234,0,0
28,30160,0.0,0.0,0.414447173742471,0,0
29,31200,0.0,0.0,0.39310742590398207,0,0
30,32240,0.0,0.0,0.4282025201201206,0,0
31,33280,0.0,0.0,0.3642695518576078,0,0
32,34320,0.0,0.0,0.4031819012353174,0,0
33,35360,0.0,0.0,0.4301330205521281,0,0
34,36400,0.0,0.0,0.516177373201658,0,0
35,37440,0.0,0.0,0.6453666051837919,0,0
36,38480,0.0,0.0,0.5177007730197637,0,0
37,39520,0.0,0.0,0.43995284565491183,0,0
38,40560,0.0,0.0,0.5989115591370293,0,0
39,41600,0.0,0.0,0.6581936046815753,0,0
40,42640,0.0,0.0,0.48941737127167184,0,0
41,43680,0.0,0.0,0.441005997173432,0,0
42,44720,0.0,0.0,0.616813638948148,0,0
43,45760,0.0,0.0,0.6251536043549643,0,0
44,46800,0.0,0.0,0.6121682783593141,0,0
45,47840,0.0,0.0,0.5999129161075909,0,0
46,48880,0.0,0.0,0.5725170131372737,0,0
47,49920,0.0,0.0,0.5664189323174891,0,0
48,50960,0.0,0.0,0.5930761339401635,0,0
49,52000,0.0,0.0,0.5836281003270894,0,0
