t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.3914690911274944,0,0
1,2080,0.0,0.0,0.14094896331738438,0,0
2,3120,0.0,0.0,0.14094896331738438,0,0
3,4160,0.0,0.0,0.14094896331738438,0,0
4,5200,0.0,0.0,0.14094896331738438,0,0
5,6240,0.0,0.0,0.14094896331738438,0,0
6,7280,0.0,0.0,0.14094896331738438,0,0
7,8320,0.0,0.0,0.14094896331738438,0,0
8,9360,0.0,0.0,0.2721824016988189,0,0
9,10400,0.0,0.0,0.39194328393368116,0,0
10,11440,0.0,0.0,0.3908324234206218,0,0
11,12480,0.0,0.0,0.3764389123044475,0,0
12,13520,0.0,0.0,0.3543196388484247,0,0
13,14560,0.0,0.0,0.3552339259571511,0,0
14,15600,0.0,0.0,0.333754710080595,0,0
15,16640,0.0,0.0,0.33387508427236834,0,0
16,17680,0.0,0.0,0.3421993218654027,0,0
17,18720,0.0,0.0,0.3533779620149758,0,0
18,19760,0.0,0.0,0.35348113499621747,0,0
19,20800,0.0,0.0,0.35358139409357164,0,0
20,21840,0.0,0.0,0.3537291646329559,0,0
21,22880,0.0,0.0,0.3537291646329559,0,0
22,23920,0.0,0.0,0.3537291646329559,0,0
23,24960,0.0,0.0,0.3537291646329559,0,0
24,26000,0.0,0.0,0.3533809366852178,0,0
25,27040,0.0,0.0,0.5425091444788652,0,0
26,28080,0.0,0.0,0.33025233219415373,0,0
27,29120,0.0,0.0,0.3267467143936522,0,0
28,30160,0.0,0.0,0.3581522837444371,0,0
29,31200,0.0,0.0,0.3346826423711936,0,0
30,32240,0.0,0.0,0.3677173554745832,0,0
31,33280,0.0,0.0,0.4150193441349853,0,0
32,34320,0.0,0.0,0.3755684370250506,0,0
33,35360,0.0,0.0,0.3690919674866679,0,0
34,36400,0.0,0.0,0.40111435230900094,0,0
35,37440,0.0,0.0,0.39726262761932507,0,0
36,38480,0.0,0.0,0.38260356493685704,0,0
37,39520,0.0,0.0,0.5075218001570327,0,0
38,40560,0.0,0.0,0.4052091310732801,0,0
39,41600,0.0,0.0,0.3915207933644803,0,0
40,42640,0.0,0.0,0.4093656366266524,0,0
41,43680,0.0,0.0,0.48105425645540084,0,0
42,44720,0.0,0.0,0.3658234221702137,0,0
43,45760,0.0,0.0,0.38315133185688155,0,0
44,46800,0.0,0.0,0.37451383907343627,0,0
45,47840,0.0,0.0,0.5691112891638423,0,0
46,48880,0.0,0.0,0.3165454799183488,0,0
47,49920,0.0,0.0,0.5556602755018467,0,0
48,50960,0.0,0.0,0.524538273623054,0,0
49,52000,0.0,0.0,0.631088814471272,0,0
