t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,1.0,0.7011302872403178,0,0
1,1796,0.8232081381199461,0.9646416276239893,0.9034672669907312,1,0
2,3590,0.006612007784014065,0.7730357036559944,0.9040377249221725,0,0
3,3590,0.0,0.6184285629247955,0.9040377249221725,0,0
4,3590,0.0,0.49474285033983645,0.9034672669907312,0,0
5,5384,0.0032616959531310136,0.3964466194624954,0.9040377249221725,0,0
6,5384,0.0,0.31715729556999633,0.9040377249221725,0,0
7,5384,0.0,0.25372583645599706,0.9040377249221725,0,0
8,5384,0.0,0.20298066916479765,0.9040377249221725,0,0
9,5384,0.0,0.16238453533183814,0.9040377249221725,0,0
10,5384,0.0,0.1299076282654705,0.9040377249221725,0,0
11,5384,0.0,0.1039261026123764,0.9040377249221725,0,0
12,7178,0.0007987681282025094,0.08330063571554162,0.9040377249221725,0,0
13,7178,0.0,0.0666405085724333,0.9040377249221725,0,0
14,7178,0.0,0.05331240685794664,0.9040377249221725,0,0
15,7178,0.0,0.042649925486357314,0.9040377249221725,0,0
16,7178,0.0,0.034119940389085855,0.9040377249221725,0,0
17,7178,0.0,0.027295952311268686,0.9040377249221725,0,0
18,7178,0.0,0.021836761849014952,0.9034672669907312,0,0
19,8969,0.008356420016090785,0.01914069348243012,0.9040377249221725,0,0
20,8969,0.0,0.015312554785944097,0.9040377249221725,0,0
21,10758,0.002233926723389304,0.012696829173433139,0.9040377249221725,0,0
22,10758,0.0,0.010157463338746512,0.9040377249221725,0,0
23,10758,0.0,0.00812597067099721,0.9040377249221725,0,0
24,10758,0.0,0.006500776536797769,0.9040377249221725,0,0
