t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.0,0,0
1,2080,0.0,0.0,0.0,0,0
2,3120,0.0,0.0,0.20222222222222222,0,0
3,4160,0.0,0.0,0.08184143222506395,0,0
4,5200,0.0,0.0,0.23126338329764454,0,0
5,6240,0.0,0.0,0.38632478632478634,0,0
6,7280,0.0,0.0,0.38209982788296043,0,0
7,8320,0.0,0.0,0.38945578231292516,0,0
8,9360,0.0,0.0,0.38316151202749144,0,0
9,10400,0.0,0.0,0.38421955403087477,0,0
10,11440,0.0,0.0,0.38421955403087477,0,0
11,12480,0.0,0.0,0.3956228956228956,0,0
12,13520,0.0,0.0,0.3925549915397631,0,0
13,14560,0.0,0.0,0.4153094462540717,0,0
14,15600,0.0,0.0,0.4153094462540717,0,0
15,16640,0.0,0.0,0.43285939968404424,0,0
16,17680,0.0,0.0,0.42096774193548386,0,0
17,18720,0.0,0.0,0.43375394321766564,0,0
18,19760,0.0,0.0,0.4381846635367762,0,0
19,20800,0.0,0.0,0.4633781763826607,0,0
20,21840,0.0,0.0,0.44254658385093165,0,0
21,22880,0.0,0.0,0.44598765432098764,0,0
22,23920,0.0,0.0,0.4552352048558422,0,0
23,24960,0.0,0.0,0.46577380952380953,0,0
24,26000,0.0,0.0,0.4929378531073446,0,0
25,27040,0.0,0.0,0.4979020979020979,0,0
26,28080,0.0,0.0,0.4943661971830986,0,0
27,29120,0.0,0.0,0.499302649930265,0,0
28,30160,0.0,0.0,0.4943661971830986,0,0
29,31200,0.0,0.0,0.49719887955182074,0,0
30,32240,0.0,0.0,0.499302649930265,0,0
31,33280,0.0,0.0,1.0,0,0
32,34320,0.0,0.0,1.0,0,0
33,35360,0.0,0.0,0.499302649930265,0,0
34,36400,0.0,0.0,0.4915014164305949,0,0
35,37440,0.0,0.0,0.48933143669985774,0,0
36,38480,0.0,0.0,0.4886039886039886,0,0
37,39520,0.0,0.0,0.48714285714285716,0,0
38,40560,0.0,0.0,0.499302649930265,0,0
39,41600,0.0,0.0,0.499302649930265,0,0
40,42640,0.0,0.0,0.499302649930265,0,0
41,43680,0.0,0.0,0.4964936886395512,0,0
42,44720,0.0,0.0,0.4957865168539326,0,0
43,45760,0.0,0.0,0.499302649930265,0,0
44,46800,0.0,0.0,0.4957865168539326,0,0
45,47840,0.0,0.0,0.499302649930265,0,0
46,48880,0.0,0.0,0.499302649930265,0,0
47,49920,0.0,0.0,0.499302649930265,0,0
48,50960,0.0,0.0,0.499302649930265,0,0
49,52000,0.0,0.0,0.499302649930265,0,0
