t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,0.008,0.27083333333333337,0,0
1,0,0.0,0.0064,0.27083333333333337,0,0
2,0,0.6458333333333333,0.13428666666666667,0.4,0,0
3,5379,1.5714285714285714,0.4217150476190476,0.7142857142857143,0,0
4,5379,0.0,0.3373720380952381,0.7142857142857143,0,0
5,5379,0.0,0.2698976304761905,0.7142857142857143,0,0
6,5379,0.0,0.21591810438095238,0.7142857142857143,0,0
7,5379,0.0,0.17273448350476192,0.7142857142857143,0,0
8,5379,0.0,0.13818758680380955,0.7142857142857143,0,0
9,5379,0.0,0.11055006944304764,0.7142857142857143,0,0
10,5379,0.0,0.08844005555443812,0.7142857142857143,0,0
11,5379,0.0,0.0707520444435505,0.7142857142857143,0,0
12,5379,0.0,0.05660163555484041,0.7142857142857143,0,0
13,5379,0.0,0.04528130844387233,0.7142857142857143,0,0
14,5379,0.0,0.03622504675509786,0.7142857142857143,0,0
15,5379,0.0,0.028980037404078292,0.7142857142857143,0,0
16,5379,0.0,0.023184029923262635,0.7142857142857143,0,0
17,5379,0.0,0.018547223938610108,0.7142857142857143,0,0
18,5379,0.0,0.014837779150888087,0.7142857142857143,0,0
19,5379,0.0,0.011870223320710471,0.7142857142857143,0,0
20,5379,0.0,0.009496178656568377,0.7142857142857143,0,0
21,5379,0.0,0.007596942925254702,0.7142857142857143,0,0
22,5379,0.0,0.006077554340203762,0.7142857142857143,0,0
23,5379,0.0,0.00486204347216301,0.7142857142857143,0,0
24,5379,0.0,0.003889634777730408,0.7142857142857143,0,0
25,5379,0.0,0.0031117078221843267,0.7142857142857143,0,0
26,5379,0.0,0.0024893662577474616,0.7142857142857143,0,0
27,5379,0.0,0.0019914930061979692,0.7142857142857143,0,0
28,5379,0.0,0.0015931944049583755,0.7142857142857143,0,0
29,5379,0.0,0.0012745555239667005,0.7142857142857143,0,0
30,5379,0.0,0.0010196444191733604,0.7142857142857143,0,0
31,5379,0.0,0.0008157155353386884,0.7142857142857143,0,0
32,5379,0.0,0.0006525724282709507,0.7142857142857143,0,0
33,5379,0.0,0.0005220579426167606,0.7142857142857143,0,0
34,5379,0.0,0.0004176463540934085,0.7142857142857143,0,0
35,5379,0.0,0.00033411708327472684,0.7142857142857143,0,0
36,5379,0.0,0.0002672936666197815,0.7142857142857143,0,0
37,5379,0.0,0.0002138349332958252,0.7142857142857143,0,0
38,5379,0.0,0.00017106794663666018,0.7142857142857143,0,0
39,5379,0.0,0.00013685435730932815,0.7142857142857143,0,0
40,5379,0.0,0.00010948348584746253,0.7142857142857143,0,0
41,5379,0.0,8.758678867797003e-05,0.7142857142857143,0,0
42,5379,0.0,7.006943094237603e-05,0.7142857142857143,0,0
43,5379,0.0,5.605554475390083e-05,0.7142857142857143,0,0
44,5379,0.0,4.484443580312066e-05,0.7142857142857143,0,0
45,5379,0.0,3.587554864249653e-05,0.7142857142857143,0,0
46,5379,0.0,2.8700438913997225e-05,0.7142857142857143,0,0
47,5379,0.0,2.296035113119778e-05,0.7142857142857143,0,0
48,5379,0.0,1.8368280904958227e-05,0.7142857142857143,0,0
49,5379,0.0,1.4694624723966582e-05,0.7142857142857143,0,0
50,5379,0.0,1.1755699779173266e-05,0.7142857142857143,0,0
51,5379,0.0,9.404559823338613e-06,0.7142857142857143,0,0
52,5379,0.0,7.523647858670891e-06,0.7142857142857143,0,0
53,5379,0.0,6.018918286936713e-06,0.7142857142857143,0,0
54,5379,0.0,4.815134629549371e-06,0.7142857142857143,0,0
55,5379,0.0,3.852107703639497e-06,0.7142857142857143,0,0
56,5379,0.0,3.0816861629115977e-06,0.7142857142857143,0,0
