t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,1.0,0.28549982940975777,0,0
1,0,0.0,0.8,0.27765611520339767,0,0
2,0,0.0,0.6400000000000001,0.2750279366331427,0,0
3,0,0.0,0.5120000000000001,0.27282211789254046,0,0
4,0,0.0,0.40960000000000013,0.2710195621194455,0,0
5,0,0.0,0.32768000000000014,0.2703890396794623,0,0
6,0,0.0,0.2621440000000001,0.26955289266847055,0,0
7,0,0.0,0.2097152000000001,0.26908482860634125,0,0
8,0,0.0,0.1677721600000001,0.2686701342066397,0,0
9,0,0.0,0.13421772800000006,0.2682051282051282,0,0
10,0,0.0,0.10737418240000006,0.2677417290586805,0,0
11,0,0.0,0.08589934592000005,0.2674849763457358,0,0
12,0,0.0,0.06871947673600004,0.2670240602463463,0,0
13,0,0.0,0.054975581388800036,0.2665137906873049,0,0
14,0,0.0,0.043980465111040035,0.26620856397531334,0,0
15,0,0.0,0.03518437208883203,0.26590403558945025,0,0
16,0,0.0,0.028147497671065627,0.2657520325203252,0,0
17,0,0.0,0.022517998136852502,0.26565079365079364,0,0
18,0,0.0,0.018014398509482003,0.26565079365079364,0,0
19,0,0.0,0.014411518807585602,0.2655496318862655,0,0
20,0,0.0,0.011529215046068483,0.2652970642318179,0,0
21,0,0.0,0.009223372036854787,0.26514575411913816,0,0
22,0,0.0,0.00737869762948383,0.26494427558257344,0,0
23,0,0.0,0.005902958103587064,0.26479336750838556,0,0
24,0,0.0,0.004722366482869652,0.2646426312460468,0,0
25,0,0.0,0.0037778931862957215,0.2643416729845843,0,0
26,0,0.0,0.0030223145490365774,0.2637418053454362,0,0
27,0,0.0,0.002417851639229262,0.26324399144331195,0,0
28,0,0.0,0.0019342813113834097,0.2623526460998244,0,0
29,0,0.0,0.0015474250491067279,0.2616635397123202,0,0
30,0,0.0,0.0012379400392853823,0.26117353308364544,0,0
31,0,0.0,0.0009903520314283058,0.2602961303969143,0,0
32,0,0.0,0.0007922816251426447,0.2597144630664184,0,0
33,0,0.0,0.0006338253001141158,0.2587027762319916,0,0
34,0,0.0,0.0005070602400912927,0.25808043424623733,0,0
35,0,0.0,0.00040564819207303417,0.2574610793181958,0,0
36,0,0.0,0.00032451855365842736,0.2566084023305734,0,0
37,0,0.0,0.0002596148429267419,0.2562312450241901,0,0
38,0,0.0,0.00020769187434139353,0.2555738806425997,0,0
39,0,0.0,0.00016615349947311482,0.2549664838513102,0,0
40,0,0.0,0.00013292279957849188,0.2541302235179786,0,0
41,0,0.0,0.0001063382396627935,0.2537603105288695,0,0
42,0,0.0,8.507059173023481e-05,0.2535296612737078,0,0
43,0,0.0,6.805647338418785e-05,0.2533454435361792,0,0
44,0,0.0,5.444517870735028e-05,0.25293193084270343,0,0
45,0,0.0,4.3556142965880224e-05,0.2526112419247721,0,0
46,0,0.0,3.484491437270418e-05,0.25210894191371414,0,0
47,0,0.0,2.7875931498163346e-05,0.2518358011315758,0,0
48,0,0.0,2.2300745198530677e-05,0.25151788397956115,0,0
49,0,0.0,1.784059615882454e-05,0.25120076849183476,0,0
