t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.20293224827229864,0,0
1,2080,0.0,0.0,0.3142074679736025,0,0
2,3120,0.0,0.0,0.46527223614359503,0,0
3,4160,0.0,0.0,0.7207041308729478,0,0
4,5200,0.0,0.0,0.743774250440917,0,0
5,6240,0.0,0.0,0.8370225748764459,0,0
6,7280,0.0,0.0,0.6828103038969122,0,0
7,8320,0.0,0.0,0.8513208704815652,0,0
8,9360,0.0,0.0,0.8214831519502827,0,0
9,10400,0.0,0.0,0.8913466264154136,0,0
10,11440,0.0,0.0,0.8738887331959668,0,0
11,12480,0.0,0.0,0.8585827294505634,0,0
12,13520,0.0,0.0,0.8733332942386711,0,0
13,14560,0.0,0.0,0.8761097345526061,0,0
14,15600,0.0,0.0,0.8824888926615363,0,0
15,16640,0.0,0.0,0.6598532336016766,0,0
16,17680,0.0,0.0,0.8971607726098063,0,0
17,18720,0.0,0.0,0.8990964000779864,0,0
18,19760,0.0,0.0,0.9054539769425114,0,0
19,20800,0.0,0.0,0.8990964000779864,0,0
20,21840,0.0,0.0,0.7885511183265331,0,0
21,22880,0.0,0.0,0.8905209547708905,0,0
22,23920,0.0,0.0,0.8919047344475852,0,0
23,24960,0.0,0.0,0.9154007441395071,0,0
24,26000,0.0,0.0,0.6460253736327853,0,0
25,27040,0.0,0.0,0.6419375100332548,0,0
26,28080,0.0,0.0,0.9613536310784017,0,0
27,29120,0.0,0.0,0.9644140716972394,0,0
28,30160,0.0,0.0,0.9705436588562945,0,0
29,31200,0.0,0.0,0.9713804713804715,0,0
30,32240,0.0,0.0,0.9730517406579368,0,0
31,33280,0.0,0.0,0.9758448000314579,0,0
32,34320,0.0,0.0,0.9772424161093101,0,0
33,35360,0.0,0.0,0.9755653649502324,0,0
34,36400,0.0,0.0,0.9780813431952717,0,0
35,37440,0.0,0.0,0.9808749999999999,0,0
36,38480,0.0,0.0,0.9819954763634363,0,0
37,39520,0.0,0.0,0.982555909404522,0,0
38,40560,0.0,0.0,0.9828361751213486,0,0
39,41600,0.0,0.0,0.9828361751213486,0,0
40,42640,0.0,0.0,0.9828361751213486,0,0
41,43680,0.0,0.0,0.982555909404522,0,0
42,44720,0.0,0.0,0.9822756765310967,0,0
43,45760,0.0,0.0,0.9819954763634363,0,0
44,46800,0.0,0.0,0.9814351735951912,0,0
45,47840,0.0,0.0,0.9819954763634363,0,0
46,48880,0.0,0.0,0.9811550707196599,0,0
47,49920,0.0,0.0,0.9811527028797842,0,0
48,50960,0.0,0.0,0.979752524607088,0,0
49,52000,0.0,0.0,0.9794725844570753,0,0
