t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,1.0,0.323943661971831,0,0
1,0,0.0,0.8,0.3237965485921889,0,0
2,0,0.0,0.6400000000000001,0.3237965485921889,0,0
3,0,0.0,0.5120000000000001,0.3237965485921889,0,0
4,0,0.0,0.40960000000000013,0.3236495687698593,0,0
5,0,0.0,0.32768000000000014,0.3229166666666667,0,0
6,0,0.0,0.2621440000000001,0.3222598870056497,0,0
7,0,0.0,0.2097152000000001,0.3213883254451206,0,0
8,0,0.0,0.1677721600000001,0.3197309417040359,0,0
9,0,0.0,0.13421772800000006,0.3178069979942055,0,0
10,0,0.0,0.10737418240000006,0.3156962585787027,0,0
11,0,0.0,0.08589934592000005,0.31430460656821685,0,0
12,0,0.0,0.06871947673600004,0.31169398907103824,0,0
13,0,0.0,0.054975581388800036,0.31,0,0
14,0,0.0,0.043980465111040035,0.3087248322147651,0,0
15,0,0.0,0.03518437208883203,0.3067986230636833,0,0
16,0,0.0,0.028147497671065627,0.305484147386461,0,0
17,0,0.0,0.022517998136852502,0.3040511727078891,0,0
18,0,0.0,0.018014398509482003,0.30321071656389537,0,0
19,0,0.0,0.014411518807585602,0.30200395145357045,0,0
20,0,0.0,0.011529215046068483,0.3006040174181767,0,0
21,0,0.0,0.009223372036854787,0.2992797706454094,0,0
22,0,0.0,0.00737869762948383,0.2979671400724032,0,0
23,0,0.0,0.005902958103587064,0.29734611643740444,0,0
24,0,0.0,0.004722366482869652,0.29697474326949763,0,0
25,0,0.0,0.0037778931862957215,0.296419419627398,0,0
26,0,0.0,0.0030223145490365774,0.29537612146307796,0,0
27,0,0.0,0.002417851639229262,0.2941580756013746,0,0
28,0,0.0,0.0019342813113834097,0.2935528120713306,0,0
29,0,0.0,0.0015474250491067279,0.29276968328887065,0,0
30,0,0.0,0.0012379400392853823,0.29199072179014873,0,0
31,0,0.0,0.0009903520314283058,0.29157299543565635,0,0
32,0,0.0,0.0007922816251426447,0.290859667006456,0,0
33,0,0.0,0.0006338253001141158,0.29038605061401723,0,0
34,0,0.0,0.0005070602400912927,0.28967851099830794,0,0
35,0,0.0,0.00040564819207303417,0.28903295515937333,0,0
36,0,0.0,0.00032451855365842736,0.2886820450559827,0,0
37,0,0.0,0.0002596148429267419,0.2885069093360297,0,0
38,0,0.0,0.00020769187434139353,0.2883902701974261,0,0
39,0,0.0,0.00016615349947311482,0.28815727462465496,0,0
40,0,0.0,0.00013292279957849188,0.2875764294833031,0,0
41,0,0.0,0.0001063382396627935,0.2873447465592481,0,0
42,0,0.0,8.507059173023481e-05,0.28722904503053487,0,0
43,0,0.0,6.805647338418785e-05,0.2869979212767384,0,0
44,0,0.0,5.444517870735028e-05,0.2847638057218896,0,0
45,0,0.0,4.3556142965880224e-05,0.28368794326241137,0,0
46,0,0.0,3.484491437270418e-05,0.2835751672960975,0,0
47,0,0.0,2.7875931498163346e-05,0.28329361927455654,0,0
48,0,0.0,2.2300745198530677e-05,0.2830687830687831,0,0
49,0,0.0,1.784059615882454e-05,0.2827321971198309,0,0
