t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,4160,0.0,0.0,0.29792295726964957,0,0
1,8320,0.0,0.0,0.22091412742382271,0,0
2,12480,0.0,0.0,0.2869415807560138,0,0
3,16640,0.0,0.0,0.29913512655716895,0,0
4,20800,0.0,0.0,0.29620602810951335,0,0
5,24960,0.0,0.0,0.29339598016183766,0,0
6,29120,0.0,0.0,0.2966498718288694,0,0
7,33280,0.0,0.0,0.29752360591484056,0,0
8,37440,0.0,0.0,0.2975840242489079,0,0
9,41600,0.0,0.0,0.2975457385095939,0,0
10,45760,0.0,0.0,0.2975265648718636,0,0
11,49920,0.0,0.0,0.29742493094538003,0,0
12,54080,0.0,0.0,0.2956889711716477,0,0
13,58240,0.0,0.0,0.29083699681061975,0,0
14,62400,0.0,0.0,0.29392747924858015,0,0
15,66560,0.0,0.0,0.29722742266203084,0,0
16,70720,0.0,0.0,0.29649356413670663,0,0
17,74880,0.0,0.0,0.2908150064683053,0,0
18,79040,0.0,0.0,0.28758838061163644,0,0
19,83200,0.0,0.0,0.28598004397091153,0,0
20,87360,0.0,0.0,0.2900120336943442,0,0
21,91520,0.0,0.0,0.2932566649242028,0,0
22,95680,0.0,0.0,0.2917207370879834,0,0
23,99840,0.0,0.0,0.2889174154899444,0,0
24,104000,0.0,0.0,0.28656311009252183,0,0
25,108160,0.0,0.0,0.2853548062405637,0,0
26,112320,0.0,0.0,0.2916666666666667,0,0
27,116480,0.0,0.0,0.2935142557144011,0,0
28,120640,0.0,0.0,0.29394949976179136,0,0
29,124800,0.0,0.0,0.29553264604810997,0,0
30,128960,0.0,0.0,0.2968954625991834,0,0
31,133120,0.0,0.0,0.2958895752306871,0,0
32,137280,0.0,0.0,0.2957875457875458,0,0
33,141440,0.0,0.0,0.2952315765457449,0,0
34,145600,0.0,0.0,0.2945138100643208,0,0
35,149760,0.0,0.0,0.2938517179023508,0,0
36,153920,0.0,0.0,0.29354354354354356,0,0
37,158080,0.0,0.0,0.29310602661881263,0,0
38,162240,0.0,0.0,0.2933273286797268,0,0
39,166400,0.0,0.0,0.29183340744034386,0,0
40,170560,0.0,0.0,0.2901805372082783,0,0
41,174720,0.0,0.0,0.2873688020267825,0,0
42,178880,0.0,0.0,0.2863118419154767,0,0
43,183040,0.0,0.0,0.28552943713607937,0,0
44,187200,0.0,0.0,0.28477295516401663,0,0
45,191360,0.0,0.0,0.28450925727357207,0,0
46,195520,0.0,0.0,0.28436628779755524,0,0
47,199680,0.0,0.0,0.28637380076462526,0,0
48,203840,0.0,0.0,0.28501687127575565,0,0
49,208000,0.0,0.0,0.2845284099041076,0,0
