t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,1.0,1.0,0,0
1,1795,0.009036741797430246,0.8018073483594861,1.0,1,0
2,3591,0.0013986177889420651,0.6417256022453773,1.0,0,0
3,5389,0.000594774517177292,0.5134994366997374,1.0,0,0
4,7183,0.00026588155870256906,0.41085272567153047,1.0,0,0
5,8977,0.00017351515305598993,0.3287168835678356,1.0,0,0
6,10776,0.00012774421760408395,0.2629990556977893,1.0,0,0
7,12571,9.213032913922716e-05,0.2104176706240593,1.0,0,0
8,14363,6.66652244625534e-05,0.16834746954413995,1.0,0,0
9,16153,5.1139454053319994e-05,0.13468820352612265,1.0,0,0
10,17942,3.8611162639092955e-05,0.10775828505342594,1.0,0,0
11,19740,2.9782542742211153e-05,0.0862125845512892,1.0,0,0
12,21535,2.4099988706676566e-05,0.0689748876387727,1.0,0,0
13,23327,1.8862140159419996e-05,0.05518368253905005,1.0,0,0
14,25114,1.5413386502136648e-05,0.04415002870854047,1.0,0,0
15,26907,1.2125690922036472e-05,0.035322448105016786,1.0,0,0
16,28700,1.0169441319097894e-05,0.02825999237227725,1.0,0,0
17,30493,8.231908681498694e-06,0.0226096402795581,1.0,0,0
18,32289,6.96603172546583e-06,0.01808910542999157,1.0,0,0
19,34077,5.824240338292363e-06,0.014472449192060918,1.0,0,0
20,35874,4.85085259023333e-06,0.011578929524166781,1.0,0,0
21,37664,4.047349804602585e-06,0.009263953089294345,1.0,0,0
22,39458,3.461872614893724e-06,0.007411854845958455,1.0,0,0
23,41246,2.9184146205426025e-06,0.005930067559690873,1.0,0,0
24,43041,2.5132730718550886e-06,0.0047445567023670695,1.0,0,0
