t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,1.0,1.0,0,0
1,1801,0.23494403593537164,0.8469888071870744,1.0,0,0
2,3596,0.01576585515128795,0.6807442167799171,1.0,0,0
3,5393,0.004135799405726424,0.545422533305079,1.0,0,0
4,7185,0.0016865686505964197,0.4366753403741825,1.0,0,0
5,8985,0.000923671003627042,0.3495250065000714,1.0,0,0
6,10781,0.0006175339345767493,0.2797435119869725,1.0,0,0
7,12581,0.00031248891523004863,0.22385730737262402,1.0,0,0
8,14378,0.0002090698246146112,0.17912765986302215,1.0,0,0
9,16175,0.00011849864807322441,0.14332582762003235,1.0,0,0
10,17972,7.18900473269965e-05,0.11467504010549127,1.0,0,0
11,19769,7.55946321402456e-05,0.09175515101082107,1.0,0,0
12,21567,3.96235125721075e-06,0.07340491327890832,1.0,0,0
13,23361,3.9998764078605907e-05,0.058731930375942376,1.0,0,0
14,23361,0.0,0.046985544300753905,1.0,0,0
15,25155,9.777234543078297e-05,0.037607989909689284,1.0,0,0
16,26950,3.232577599393712e-05,0.030092857082950217,1.0,0,0
17,28749,2.2180579624547585e-05,0.024078721782285085,1.0,0,0
18,30549,3.538644541696494e-05,0.01927005471491146,1.0,0,0
19,32344,8.904872903730887e-06,0.015417824746509916,1.0,0,0
20,34138,4.240353857331086e-05,0.012342740504922596,1.0,0,0
21,35935,1.3150446923473674e-05,0.009876822493322772,1.0,0,0
22,37725,1.14142564616964e-05,0.007903740845950557,1.0,0,0
23,39522,1.0704201636342983e-05,0.006325133517087715,1.0,0,0
24,41320,1.1124158438689317e-05,0.00506233164535791,1.0,0,0
