t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.3006955591225254,0,0
1,2080,0.0,0.0,0.3026386645126548,0,0
2,3120,0.0,0.0,0.3004544239508153,0,0
3,4160,0.0,0.0,0.30117899249732044,0,0
4,5200,0.0,0.0,0.29997331198291965,0,0
5,6240,0.0,0.0,0.2945492662473795,0,0
6,7280,0.0,0.0,0.244880174291939,0,0
7,8320,0.0,0.0,0.2383375742154368,0,0
8,9360,0.0,0.0,0.21923151940706065,0,0
9,10400,0.0,0.0,0.19585293605157694,0,0
10,11440,0.0,0.0,0.19443002940667706,0,0
11,12480,0.0,0.0,0.19432918395573998,0,0
12,13520,0.0,0.0,0.19432918395573998,0,0
13,14560,0.0,0.0,0.19432918395573998,0,0
14,15600,0.0,0.0,0.19432918395573998,0,0
15,16640,0.0,0.0,0.19432918395573998,0,0
16,17680,0.0,0.0,0.19432918395573998,0,0
17,18720,0.0,0.0,0.1942284430620356,0,0
18,19760,0.0,0.0,0.1942284430620356,0,0
19,20800,0.0,0.0,0.19412780656303974,0,0
20,21840,0.0,0.0,0.19412780656303974,0,0
21,22880,0.0,0.0,0.19412780656303974,0,0
22,23920,0.0,0.0,0.19412780656303974,0,0
23,24960,0.0,0.0,0.19412780656303974,0,0
24,26000,0.0,0.0,0.19412780656303974,0,0
