t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.15263951734539968,0,0
1,2080,0.0,0.0,0.15159171298635674,0,0
2,3120,0.0,0.0,0.0,0,0
3,4160,0.0,0.0,0.15488215488215487,0,0
4,5200,0.0,0.0,0.1565351894818252,0,0
5,6240,0.0,0.0,0.1594956658786446,0,0
6,7280,0.0,0.0,0.16202369516490553,0,0
7,8320,0.0,0.0,0.16202369516490553,0,0
8,9360,0.0,0.0,0.16179056754596324,0,0
9,10400,0.0,0.0,0.16163552148219135,0,0
10,11440,0.0,0.0,0.1607880521131236,0,0
11,12480,0.0,0.0,0.1601772712883824,0,0
12,13520,0.0,0.0,0.1593449850417257,0,0
13,14560,0.0,0.0,0.1587450980392157,0,0
14,15600,0.0,0.0,0.15807560137457044,0,0
15,16640,0.0,0.0,0.15852130325814537,0,0
16,17680,0.0,0.0,0.1574117281070151,0,0
17,18720,0.0,0.0,0.1574117281070151,0,0
18,19760,0.0,0.0,0.1574117281070151,0,0
19,20800,0.0,0.0,0.15807560137457044,0,0
20,21840,0.0,0.0,0.1587450980392157,0,0
21,22880,0.0,0.0,0.1593449850417257,0,0
22,23920,0.0,0.0,0.16048208055819854,0,0
23,24960,0.0,0.0,0.16094147582697202,0,0
24,26000,0.0,0.0,0.1614807722993458,0,0
