t,src,dst,bytes,kind,action,cos,reason
0,S17,S15,1040,model,send,,head
0,S15,S13,1040,model,send,,head
0,S16,S14,1040,model,send,,head
0,S11,S10,1040,model,send,,head
0,S13,S10,1040,model,send,,head
0,S10,S11,1040,model,send,,head
0,S8,S10,1040,model,send,,head
0,S9,S10,1040,model,send,,head
0,S14,S11,1040,model,send,,head
0,S7,S5,1040,model,send,,head
0,S4,S2,1040,model,send,,head
0,S6,S4,1040,model,send,,head
0,S2,S16,1040,model,send,,head
0,S5,S3,1040,model,send,,head
0,S3,S17,1040,model,send,,head
0,S7,S5,1040,model,recv,,
0,S8,S10,1040,model,recv,,
0,S14,S11,1040,model,recv,,
0,S16,S14,1040,model,recv,,
0,S17,S15,1040,model,recv,,
0,S2,S16,1040,model,recv,,
0,S10,S11,1040,model,recv,,
0,S3,S17,1040,model,recv,,
0,S13,S10,1040,model,recv,,
0,S6,S4,1040,model,recv,,
0,S9,S10,1040,model,recv,,
0,S11,S10,1040,model,recv,,
0,S5,S3,1040,model,recv,,
0,S4,S2,1040,model,recv,,
0,S15,S13,1040,model,recv,,
0,S4,S3,1040,model,send,,head
0,S7,S6,1040,model,send,,head
0,S14,S13,1040,model,send,,head
0,S9,S11,1040,model,send,,head
0,S8,S6,1040,model,send,,head
0,S10,S13,1040,model,send,,head
0,S13,S11,1040,model,send,,head
0,S11,S13,1040,model,send,,head
0,S16,S15,1040,model,send,,head
0,S6,S5,1040,model,send,,head
0,S15,S14,1040,model,send,,head
0,S17,S16,1040,model,send,,head
0,S3,S2,1040,model,send,,head
0,S5,S4,1040,model,send,,head
0,S2,S17,1040,model,send,,head
0,S7,S6,1040,model,recv,,
0,S4,S3,1040,model,recv,,
0,S5,S4,1040,model,recv,,
0,S2,S17,1040,model,recv,,
0,S3,S2,1040,model,recv,,
0,S11,S13,1040,model,recv,,
0,S9,S11,1040,model,recv,,
0,S15,S14,1040,model,recv,,
0,S16,S15,1040,model,recv,,
0,S17,S16,1040,model,recv,,
0,S13,S11,1040,model,recv,,
0,S10,S13,1040,model,recv,,
0,S8,S6,1040,model,recv,,
0,S14,S13,1040,model,recv,,
0,S6,S5,1040,model,recv,,
0,S17,S2,1040,model,send,,head
0,S15,S16,1040,model,send,,head
0,S13,S14,1040,model,send,,head
0,S8,S7,1040,model,send,,head
0,S2,S3,1040,model,send,,head
0,S5,S6,1040,model,send,,head
0,S6,S7,1040,model,send,,head
0,S14,S15,1040,model,send,,head
0,S7,S8,1040,model,send,,head
0,S11,S14,1040,model,send,,head
0,S16,S17,1040,model,send,,head
0,S4,S5,1040,model,send,,head
0,S10,S8,1040,model,send,,head
0,S9,S7,1040,model,send,,head
0,S3,S4,1040,model,send,,head
0,S17,S2,1040,model,recv,,
0,S14,S15,1040,model,recv,,
0,S13,S14,1040,model,recv,,
0,S4,S5,1040,model,recv,,
0,S15,S16,1040,model,recv,,
0,S7,S8,1040,model,recv,,
0,S10,S8,1040,model,recv,,
0,S16,S17,1040,model,recv,,
0,S6,S7,1040,model,recv,,
0,S8,S7,1040,model,recv,,
0,S3,S4,1040,model,recv,,
0,S9,S7,1040,model,recv,,
0,S2,S3,1040,model,recv,,
0,S5,S6,1040,model,recv,,
0,S11,S14,1040,model,recv,,
0,S16,S2,1040,model,send,,head
0,S11,S9,1040,model,send,,head
0,S7,S9,1040,model,send,,head
0,S14,S16,1040,model,send,,head
0,S3,S5,1040,model,send,,head
0,S9,S8,1040,model,send,,head
0,S6,S8,1040,model,send,,head
0,S2,S4,1040,model,send,,head
0,S8,S9,1040,model,send,,head
0,S13,S15,1040,model,send,,head
0,S5,S7,1040,model,send,,head
0,S15,S17,1040,model,send,,head
0,S10,S9,1040,model,send,,head
0,S17,S3,1040,model,send,,head
0,S4,S6,1040,model,send,,head
0,S15,S17,1040,model,recv,,
0,S11,S9,1040,model,recv,,
0,S13,S15,1040,model,recv,,
0,S4,S6,1040,model,recv,,
0,S14,S16,1040,model,recv,,
0,S9,S8,1040,model,recv,,
0,S5,S7,1040,model,recv,,
0,S7,S9,1040,model,recv,,
0,S17,S3,1040,model,recv,,
0,S2,S4,1040,model,recv,,
0,S8,S9,1040,model,recv,,
0,S6,S8,1040,model,recv,,
0,S3,S5,1040,model,recv,,
0,S16,S2,1040,model,recv,,
0,S10,S9,1040,model,recv,,
0,S8,S10,1040,model,recv_keep,-0.05322633311152458,ok
0,S13,S10,1040,model,recv_keep,-0.12414811551570892,ok
0,S9,S10,1040,model,recv_keep,0.03891369700431824,ok
0,S11,S10,1040,model,recv_keep,-0.013752694241702557,ok
0,S14,S11,1040,model,recv_keep,0.045195840299129486,ok
0,S10,S11,1040,model,recv_keep,-0.013752694241702557,ok
0,S9,S11,1040,model,recv_keep,-0.014285766519606113,ok
0,S13,S11,1040,model,recv_keep,-0.027125908061861992,ok
0,S16,S14,1040,model,recv_keep,0.01262988056987524,ok
0,S15,S14,1040,model,recv_keep,0.03729826584458351,ok
0,S13,S14,1040,model,recv_keep,-0.12611205875873566,ok
0,S11,S14,1040,model,recv_keep,0.045195840299129486,ok
0,S15,S13,1040,model,recv_keep,0.05052071437239647,ok
0,S11,S13,1040,model,recv_keep,-0.027125908061861992,ok
0,S10,S13,1040,model,recv_keep,-0.12414811551570892,ok
0,S14,S13,1040,model,recv_keep,-0.12611205875873566,ok
0,S7,S6,1040,model,recv_keep,-0.12373041361570358,ok
0,S8,S6,1040,model,recv_keep,0.025268051773309708,ok
0,S5,S6,1040,model,recv_keep,-0.05521591380238533,ok
0,S4,S6,1040,model,recv_keep,0.026192758232355118,ok
0,S7,S8,1040,model,recv_keep,-0.0885968878865242,ok
0,S10,S8,1040,model,recv_keep,-0.05322633311152458,ok
0,S9,S8,1040,model,recv_keep,-0.08230604976415634,ok
0,S6,S8,1040,model,recv_keep,0.025268051773309708,ok
0,S5,S3,1040,model,recv_keep,-0.05880981683731079,ok
0,S4,S3,1040,model,recv_keep,0.013775313273072243,ok
0,S2,S3,1040,model,recv_keep,0.09900917857885361,ok
0,S17,S3,1040,model,recv_keep,-0.03941603749990463,ok
0,S7,S5,1040,model,recv_keep,0.06067266687750816,ok
0,S6,S5,1040,model,recv_keep,-0.05521591380238533,ok
0,S4,S5,1040,model,recv_keep,-0.06497036665678024,ok
0,S3,S5,1040,model,recv_keep,-0.05880981683731079,ok
0,S11,S9,1040,model,recv_keep,-0.014285766519606113,ok
0,S7,S9,1040,model,recv_keep,0.0022239333484321833,ok
0,S8,S9,1040,model,recv_keep,-0.08230604976415634,ok
0,S10,S9,1040,model,recv_keep,0.03891369700431824,ok
0,S4,S2,1040,model,recv_keep,-0.05875954404473305,ok
0,S3,S2,1040,model,recv_keep,0.09900917857885361,ok
0,S17,S2,1040,model,recv_keep,0.05689666047692299,ok
0,S16,S2,1040,model,recv_keep,-0.03585611656308174,ok
0,S6,S7,1040,model,recv_keep,-0.12373041361570358,ok
0,S8,S7,1040,model,recv_keep,-0.0885968878865242,ok
0,S9,S7,1040,model,recv_keep,0.0022239333484321833,ok
0,S5,S7,1040,model,recv_keep,0.06067266687750816,ok
0,S3,S17,1040,model,recv_keep,-0.03941603749990463,ok
0,S2,S17,1040,model,recv_keep,0.05689666047692299,ok
0,S16,S17,1040,model,recv_keep,-0.03179902210831642,ok
0,S15,S17,1040,model,recv_keep,-0.11812703311443329,ok
0,S17,S15,1040,model,recv_keep,-0.11812703311443329,ok
0,S16,S15,1040,model,recv_keep,0.04993060976266861,ok
0,S14,S15,1040,model,recv_keep,0.03729826584458351,ok
0,S13,S15,1040,model,recv_keep,0.05052071437239647,ok
0,S2,S16,1040,model,recv_keep,-0.03585611656308174,ok
0,S17,S16,1040,model,recv_keep,-0.03179902210831642,ok
0,S15,S16,1040,model,recv_keep,0.04993060976266861,ok
0,S14,S16,1040,model,recv_keep,0.01262988056987524,ok
0,S6,S4,1040,model,recv_keep,0.026192758232355118,ok
0,S5,S4,1040,model,recv_keep,-0.06497036665678024,ok
0,S3,S4,1040,model,recv_keep,0.013775313273072243,ok
0,S2,S4,1040,model,recv_keep,-0.05875954404473305,ok
1,S15,S13,1040,model,send,,head
1,S7,S5,1040,model,send,,head
1,S10,S11,1040,model,send,,head
1,S8,S10,1040,model,send,,head
1,S5,S3,1040,model,send,,head
1,S6,S4,1040,model,send,,head
1,S2,S16,1040,model,send,,head
1,S4,S2,1040,model,send,,head
1,S16,S14,1040,model,send,,head
1,S11,S10,1040,model,send,,head
1,S13,S10,1040,model,send,,head
1,S9,S10,1040,model,send,,head
1,S14,S11,1040,model,send,,head
1,S17,S15,1040,model,send,,head
1,S3,S17,1040,model,send,,head
1,S7,S5,1040,model,recv,,
1,S14,S11,1040,model,recv,,
1,S11,S10,1040,model,recv,,
1,S17,S15,1040,model,recv,,
1,S9,S10,1040,model,recv,,
1,S3,S17,1040,model,recv,,
1,S10,S11,1040,model,recv,,
1,S8,S10,1040,model,recv,,
1,S13,S10,1040,model,recv,,
1,S15,S13,1040,model,recv,,
1,S6,S4,1040,model,recv,,
1,S5,S3,1040,model,recv,,
1,S2,S16,1040,model,recv,,
1,S16,S14,1040,model,recv,,
1,S4,S2,1040,model,recv,,
