t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.0,0,0
1,2080,0.0,0.0,0.0,0,0
2,3120,0.0,0.0,0.0,0,0
3,4160,0.0,0.0,0.0,0,0
4,5200,0.0,0.0,0.0,0,0
5,6240,0.0,0.0,0.0,0,0
6,7280,0.0,0.0,0.0,0,0
7,8320,0.0,0.0,0.0,0,0
8,9360,0.0,0.0,0.0,0,0
9,10400,0.0,0.0,0.0,0,0
10,11440,0.0,0.0,0.0,0,0
11,12480,0.0,0.0,0.0,0,0
12,13520,0.0,0.0,0.0,0,0
13,14560,0.0,0.0,0.0,0,0
14,15600,0.0,0.0,0.0,0,0
15,16640,0.0,0.0,0.0,0,0
16,17680,0.0,0.0,0.0,0,0
17,18720,0.0,0.0,0.0,0,0
18,19760,0.0,0.0,0.0,0,0
19,20800,0.0,0.0,0.0,0,0
20,21840,0.0,0.0,0.0,0,0
21,22880,0.0,0.0,0.0,0,0
22,23920,0.0,0.0,0.0,0,0
23,24960,0.0,0.0,0.0,0,0
24,26000,0.0,0.0,0.0,0,0
25,27040,0.0,0.0,0.0,0,0
26,28080,0.0,0.0,0.0,0,0
27,29120,0.0,0.0,0.0,0,0
28,30160,0.0,0.0,0.0,0,0
29,31200,0.0,0.0,0.0,0,0
30,32240,0.0,0.0,0.13354531001589826,0,0
31,33280,0.0,0.0,0.28258118937157317,0,0
32,34320,0.0,0.0,0.26203034446832063,0,0
33,35360,0.0,0.0,0.26687889640535883,0,0
34,36400,0.0,0.0,0.28423882286361063,0,0
35,37440,0.0,0.0,0.28172766792876175,0,0
36,38480,0.0,0.0,0.27834267137027047,0,0
37,39520,0.0,0.0,0.30629778513438954,0,0
38,40560,0.0,0.0,0.28612889457959884,0,0
39,41600,0.0,0.0,0.30206435944140864,0,0
40,42640,0.0,0.0,0.30224249334853664,0,0
41,43680,0.0,0.0,0.30210470329002354,0,0
42,44720,0.0,0.0,0.2850523584468539,0,0
43,45760,0.0,0.0,0.28615463652709994,0,0
44,46800,0.0,0.0,0.29770114942528736,0,0
45,47840,0.0,0.0,0.20261888352860094,0,0
46,48880,0.0,0.0,0.2644776119402985,0,0
47,49920,0.0,0.0,0.2838095238095238,0,0
48,50960,0.0,0.0,0.2840430107526882,0,0
49,52000,0.0,0.0,0.29973574933937336,0,0
