t,src,dst,bytes,kind,action,cos,reason
0,S11,ORCH,1040,model,send,,
0,S10,ORCH,1040,model,send,,
0,S9,ORCH,1040,model,send,,
0,S2,ORCH,1040,model,send,,
0,S15,ORCH,1040,model,send,,
0,S8,ORCH,1040,model,send,,
0,S5,ORCH,1040,model,send,,
0,S6,ORCH,1040,model,send,,
0,S17,ORCH,1040,model,send,,
0,S16,ORCH,1040,model,send,,
0,S3,ORCH,1040,model,send,,
0,S7,ORCH,1040,model,send,,
0,S4,ORCH,1040,model,send,,
0,S14,ORCH,1040,model,send,,
0,S13,ORCH,1040,model,send,,
0,S7,ORCH,1040,model,recv,,
0,S3,ORCH,1040,model,recv,,
0,S2,ORCH,1040,model,recv,,
0,S15,ORCH,1040,model,recv,,
0,S5,ORCH,1040,model,recv,,
0,S11,ORCH,1040,model,recv,,
0,S8,ORCH,1040,model,recv,,
0,S10,ORCH,1040,model,recv,,
0,S14,ORCH,1040,model,recv,,
0,S17,ORCH,1040,model,recv,,
0,S13,ORCH,1040,model,recv,,
0,S16,ORCH,1040,model,recv,,
0,S9,ORCH,1040,model,recv,,
0,S4,ORCH,1040,model,recv,,
0,S6,ORCH,1040,model,recv,,
0,S7,ORCH,1040,model,used,0.223654642701149,included_in_mean
0,S3,ORCH,1040,model,used,0.24005353450775146,included_in_mean
0,S2,ORCH,1040,model,used,0.29002222418785095,included_in_mean
0,S15,ORCH,1040,model,used,0.17917907238006592,included_in_mean
0,S5,ORCH,1040,model,used,0.17271873354911804,included_in_mean
0,S11,ORCH,1040,model,used,0.1777886599302292,included_in_mean
0,S8,ORCH,1040,model,used,0.23157288134098053,included_in_mean
0,S10,ORCH,1040,model,used,0.3321796953678131,included_in_mean
0,S14,ORCH,1040,model,used,0.29914164543151855,included_in_mean
0,S17,ORCH,1040,model,used,0.2296159267425537,included_in_mean
0,S13,ORCH,1040,model,used,0.19518569111824036,included_in_mean
0,S16,ORCH,1040,model,used,0.3795194625854492,included_in_mean
0,S9,ORCH,1040,model,used,0.29246968030929565,included_in_mean
0,S4,ORCH,1040,model,used,0.2087298333644867,included_in_mean
0,S6,ORCH,1040,model,used,0.20778018236160278,included_in_mean
0,ORCH,S10,1040,model,send,,
0,ORCH,S10,1040,model,recv,,
0,ORCH,S11,1040,model,send,,
0,ORCH,S11,1040,model,recv,,
0,ORCH,S13,1040,model,send,,
0,ORCH,S13,1040,model,recv,,
0,ORCH,S14,1040,model,send,,
0,ORCH,S14,1040,model,recv,,
0,ORCH,S15,1040,model,send,,
0,ORCH,S15,1040,model,recv,,
0,ORCH,S16,1040,model,send,,
0,ORCH,S16,1040,model,recv,,
0,ORCH,S17,1040,model,send,,
0,ORCH,S17,1040,model,recv,,
0,ORCH,S2,1040,model,send,,
0,ORCH,S2,1040,model,recv,,
0,ORCH,S3,1040,model,send,,
