t,agent,from,bytes,decision,cos_thresh,mode,trim_p,rolled_back
0,ORCH,S9,1040,keep,0.0,mean,0.0,0
0,ORCH,S13,1040,keep,0.0,mean,0.0,0
0,ORCH,S15,1040,keep,0.0,mean,0.0,0
0,ORCH,S14,1040,keep,0.0,mean,0.0,0
0,ORCH,S6,1040,keep,0.0,mean,0.0,0
0,ORCH,S11,1040,keep,0.0,mean,0.0,0
0,ORCH,S3,1040,keep,0.0,mean,0.0,0
0,ORCH,S16,1040,keep,0.0,mean,0.0,0
0,ORCH,S8,1040,keep,0.0,mean,0.0,0
0,ORCH,S2,1040,keep,0.0,mean,0.0,0
0,ORCH,S5,1040,keep,0.0,mean,0.0,0
0,ORCH,S10,1040,keep,0.0,mean,0.0,0
0,ORCH,S17,1040,keep,0.0,mean,0.0,0
0,ORCH,S7,1040,keep,0.0,mean,0.0,0
0,ORCH,S4,1040,keep,0.0,mean,0.0,0
1,ORCH,S8,1040,keep,0.0,mean,0.0,0
1,ORCH,S2,1040,keep,0.0,mean,0.0,0
1,ORCH,S5,1040,keep,0.0,mean,0.0,0
1,ORCH,S6,1040,keep,0.0,mean,0.0,0
1,ORCH,S14,1040,keep,0.0,mean,0.0,0
1,ORCH,S9,1040,keep,0.0,mean,0.0,0
1,ORCH,S11,1040,keep,0.0,mean,0.0,0
1,ORCH,S3,1040,keep,0.0,mean,0.0,0
1,ORCH,S17,1040,keep,0.0,mean,0.0,0
1,ORCH,S7,1040,keep,0.0,mean,0.0,0
1,ORCH,S13,1040,keep,0.0,mean,0.0,0
1,ORCH,S16,1040,keep,0.0,mean,0.0,0
1,ORCH,S15,1040,keep,0.0,mean,0.0,0
1,ORCH,S10,1040,keep,0.0,mean,0.0,0
1,ORCH,S4,1040,keep,0.0,mean,0.0,0
2,ORCH,S8,1040,keep,0.0,mean,0.0,0
2,ORCH,S7,1040,keep,0.0,mean,0.0,0
2,ORCH,S6,1040,keep,0.0,mean,0.0,0
2,ORCH,S10,1040,keep,0.0,mean,0.0,0
2,ORCH,S5,1040,keep,0.0,mean,0.0,0
2,ORCH,S4,1040,keep,0.0,mean,0.0,0
2,ORCH,S17,1040,keep,0.0,mean,0.0,0
2,ORCH,S2,1040,keep,0.0,mean,0.0,0
2,ORCH,S16,1040,keep,0.0,mean,0.0,0
2,ORCH,S14,1040,keep,0.0,mean,0.0,0
2,ORCH,S9,1040,keep,0.0,mean,0.0,0
2,ORCH,S3,1040,keep,0.0,mean,0.0,0
2,ORCH,S13,1040,keep,0.0,mean,0.0,0
2,ORCH,S15,1040,keep,0.0,mean,0.0,0
2,ORCH,S11,1040,keep,0.0,mean,0.0,0
3,ORCH,S13,1040,keep,0.0,mean,0.0,0
3,ORCH,S2,1040,keep,0.0,mean,0.0,0
3,ORCH,S15,1040,keep,0.0,mean,0.0,0
3,ORCH,S10,1040,keep,0.0,mean,0.0,0
3,ORCH,S17,1040,keep,0.0,mean,0.0,0
3,ORCH,S9,1040,keep,0.0,mean,0.0,0
3,ORCH,S11,1040,keep,0.0,mean,0.0,0
3,ORCH,S8,1040,keep,0.0,mean,0.0,0
3,ORCH,S7,1040,keep,0.0,mean,0.0,0
3,ORCH,S6,1040,keep,0.0,mean,0.0,0
3,ORCH,S5,1040,keep,0.0,mean,0.0,0
3,ORCH,S4,1040,keep,0.0,mean,0.0,0
3,ORCH,S3,1040,keep,0.0,mean,0.0,0
3,ORCH,S16,1040,keep,0.0,mean,0.0,0
3,ORCH,S14,1040,keep,0.0,mean,0.0,0
4,ORCH,S5,1040,keep,0.0,mean,0.0,0
4,ORCH,S17,1040,keep,0.0,mean,0.0,0
4,ORCH,S10,1040,keep,0.0,mean,0.0,0
4,ORCH,S9,1040,keep,0.0,mean,0.0,0
4,ORCH,S2,1040,keep,0.0,mean,0.0,0
4,ORCH,S6,1040,keep,0.0,mean,0.0,0
4,ORCH,S16,1040,keep,0.0,mean,0.0,0
4,ORCH,S3,1040,keep,0.0,mean,0.0,0
4,ORCH,S14,1040,keep,0.0,mean,0.0,0
4,ORCH,S15,1040,keep,0.0,mean,0.0,0
4,ORCH,S13,1040,keep,0.0,mean,0.0,0
4,ORCH,S4,1040,keep,0.0,mean,0.0,0
4,ORCH,S11,1040,keep,0.0,mean,0.0,0
4,ORCH,S7,1040,keep,0.0,mean,0.0,0
4,ORCH,S8,1040,keep,0.0,mean,0.0,0
5,ORCH,S8,1040,keep,0.0,mean,0.0,0
5,ORCH,S7,1040,keep,0.0,mean,0.0,0
5,ORCH,S14,1040,keep,0.0,mean,0.0,0
5,ORCH,S15,1040,keep,0.0,mean,0.0,0
5,ORCH,S16,1040,keep,0.0,mean,0.0,0
5,ORCH,S6,1040,keep,0.0,mean,0.0,0
5,ORCH,S13,1040,keep,0.0,mean,0.0,0
5,ORCH,S5,1040,keep,0.0,mean,0.0,0
5,ORCH,S17,1040,keep,0.0,mean,0.0,0
5,ORCH,S11,1040,keep,0.0,mean,0.0,0
5,ORCH,S3,1040,keep,0.0,mean,0.0,0
5,ORCH,S10,1040,keep,0.0,mean,0.0,0
5,ORCH,S4,1040,keep,0.0,mean,0.0,0
5,ORCH,S9,1040,keep,0.0,mean,0.0,0
5,ORCH,S2,1040,keep,0.0,mean,0.0,0
6,ORCH,S17,1040,keep,0.0,mean,0.0,0
6,ORCH,S16,1040,keep,0.0,mean,0.0,0
6,ORCH,S14,1040,keep,0.0,mean,0.0,0
6,ORCH,S8,1040,keep,0.0,mean,0.0,0
6,ORCH,S9,1040,keep,0.0,mean,0.0,0
6,ORCH,S4,1040,keep,0.0,mean,0.0,0
6,ORCH,S5,1040,keep,0.0,mean,0.0,0
6,ORCH,S15,1040,keep,0.0,mean,0.0,0
6,ORCH,S11,1040,keep,0.0,mean,0.0,0
6,ORCH,S13,1040,keep,0.0,mean,0.0,0
6,ORCH,S2,1040,keep,0.0,mean,0.0,0
6,ORCH,S10,1040,keep,0.0,mean,0.0,0
6,ORCH,S6,1040,keep,0.0,mean,0.0,0
6,ORCH,S3,1040,keep,0.0,mean,0.0,0
6,ORCH,S7,1040,keep,0.0,mean,0.0,0
7,ORCH,S13,1040,keep,0.0,mean,0.0,0
7,ORCH,S4,1040,keep,0.0,mean,0.0,0
7,ORCH,S11,1040,keep,0.0,mean,0.0,0
7,ORCH,S2,1040,keep,0.0,mean,0.0,0
7,ORCH,S6,1040,keep,0.0,mean,0.0,0
7,ORCH,S14,1040,keep,0.0,mean,0.0,0
7,ORCH,S3,1040,keep,0.0,mean,0.0,0
7,ORCH,S17,1040,keep,0.0,mean,0.0,0
7,ORCH,S10,1040,keep,0.0,mean,0.0,0
7,ORCH,S9,1040,keep,0.0,mean,0.0,0
7,ORCH,S8,1040,keep,0.0,mean,0.0,0
7,ORCH,S15,1040,keep,0.0,mean,0.0,0
7,ORCH,S7,1040,keep,0.0,mean,0.0,0
7,ORCH,S5,1040,keep,0.0,mean,0.0,0
7,ORCH,S16,1040,keep,0.0,mean,0.0,0
8,ORCH,S6,1040,keep,0.0,mean,0.0,0
8,ORCH,S3,1040,keep,0.0,mean,0.0,0
8,ORCH,S8,1040,keep,0.0,mean,0.0,0
8,ORCH,S7,1040,keep,0.0,mean,0.0,0
8,ORCH,S5,1040,keep,0.0,mean,0.0,0
8,ORCH,S13,1040,keep,0.0,mean,0.0,0
8,ORCH,S17,1040,keep,0.0,mean,0.0,0
8,ORCH,S16,1040,keep,0.0,mean,0.0,0
8,ORCH,S15,1040,keep,0.0,mean,0.0,0
8,ORCH,S11,1040,keep,0.0,mean,0.0,0
8,ORCH,S14,1040,keep,0.0,mean,0.0,0
8,ORCH,S10,1040,keep,0.0,mean,0.0,0
8,ORCH,S4,1040,keep,0.0,mean,0.0,0
8,ORCH,S9,1040,keep,0.0,mean,0.0,0
8,ORCH,S2,1040,keep,0.0,mean,0.0,0
9,ORCH,S6,1040,keep,0.0,mean,0.0,0
9,ORCH,S5,1040,keep,0.0,mean,0.0,0
9,ORCH,S4,1040,keep,0.0,mean,0.0,0
9,ORCH,S17,1040,keep,0.0,mean,0.0,0
9,ORCH,S8,1040,keep,0.0,mean,0.0,0
9,ORCH,S2,1040,keep,0.0,mean,0.0,0
9,ORCH,S16,1040,keep,0.0,mean,0.0,0
9,ORCH,S15,1040,keep,0.0,mean,0.0,0
9,ORCH,S14,1040,keep,0.0,mean,0.0,0
9,ORCH,S13,1040,keep,0.0,mean,0.0,0
9,ORCH,S11,1040,keep,0.0,mean,0.0,0
9,ORCH,S10,1040,keep,0.0,mean,0.0,0
9,ORCH,S3,1040,keep,0.0,mean,0.0,0
9,ORCH,S9,1040,keep,0.0,mean,0.0,0
9,ORCH,S7,1040,keep,0.0,mean,0.0,0
10,ORCH,S17,1040,keep,0.0,mean,0.0,0
10,ORCH,S13,1040,keep,0.0,mean,0.0,0
10,ORCH,S8,1040,keep,0.0,mean,0.0,0
10,ORCH,S3,1040,keep,0.0,mean,0.0,0
10,ORCH,S11,1040,keep,0.0,mean,0.0,0
10,ORCH,S10,1040,keep,0.0,mean,0.0,0
10,ORCH,S14,1040,keep,0.0,mean,0.0,0
10,ORCH,S16,1040,keep,0.0,mean,0.0,0
10,ORCH,S15,1040,keep,0.0,mean,0.0,0
10,ORCH,S6,1040,keep,0.0,mean,0.0,0
10,ORCH,S7,1040,keep,0.0,mean,0.0,0
10,ORCH,S5,1040,keep,0.0,mean,0.0,0
10,ORCH,S2,1040,keep,0.0,mean,0.0,0
10,ORCH,S4,1040,keep,0.0,mean,0.0,0
10,ORCH,S9,1040,keep,0.0,mean,0.0,0
11,ORCH,S14,1040,keep,0.0,mean,0.0,0
11,ORCH,S13,1040,keep,0.0,mean,0.0,0
11,ORCH,S11,1040,keep,0.0,mean,0.0,0
11,ORCH,S9,1040,keep,0.0,mean,0.0,0
11,ORCH,S8,1040,keep,0.0,mean,0.0,0
11,ORCH,S6,1040,keep,0.0,mean,0.0,0
11,ORCH,S7,1040,keep,0.0,mean,0.0,0
11,ORCH,S2,1040,keep,0.0,mean,0.0,0
11,ORCH,S15,1040,keep,0.0,mean,0.0,0
11,ORCH,S17,1040,keep,0.0,mean,0.0,0
11,ORCH,S5,1040,keep,0.0,mean,0.0,0
11,ORCH,S4,1040,keep,0.0,mean,0.0,0
11,ORCH,S16,1040,keep,0.0,mean,0.0,0
11,ORCH,S3,1040,keep,0.0,mean,0.0,0
11,ORCH,S10,1040,keep,0.0,mean,0.0,0
12,ORCH,S13,1040,keep,0.0,mean,0.0,0
12,ORCH,S9,1040,keep,0.0,mean,0.0,0
12,ORCH,S11,1040,keep,0.0,mean,0.0,0
12,ORCH,S5,1040,keep,0.0,mean,0.0,0
12,ORCH,S6,1040,keep,0.0,mean,0.0,0
12,ORCH,S10,1040,keep,0.0,mean,0.0,0
12,ORCH,S3,1040,keep,0.0,mean,0.0,0
12,ORCH,S14,1040,keep,0.0,mean,0.0,0
12,ORCH,S8,1040,keep,0.0,mean,0.0,0
12,ORCH,S7,1040,keep,0.0,mean,0.0,0
12,ORCH,S4,1040,keep,0.0,mean,0.0,0
12,ORCH,S15,1040,keep,0.0,mean,0.0,0
12,ORCH,S2,1040,keep,0.0,mean,0.0,0
12,ORCH,S17,1040,keep,0.0,mean,0.0,0
12,ORCH,S16,1040,keep,0.0,mean,0.0,0
13,ORCH,S17,1040,keep,0.0,mean,0.0,0
13,ORCH,S4,1040,keep,0.0,mean,0.0,0
13,ORCH,S14,1040,keep,0.0,mean,0.0,0
13,ORCH,S6,1040,keep,0.0,mean,0.0,0
13,ORCH,S10,1040,keep,0.0,mean,0.0,0
13,ORCH,S5,1040,keep,0.0,mean,0.0,0
13,ORCH,S13,1040,keep,0.0,mean,0.0,0
13,ORCH,S11,1040,keep,0.0,mean,0.0,0
13,ORCH,S3,1040,keep,0.0,mean,0.0,0
13,ORCH,S8,1040,keep,0.0,mean,0.0,0
13,ORCH,S15,1040,keep,0.0,mean,0.0,0
13,ORCH,S9,1040,keep,0.0,mean,0.0,0
13,ORCH,S7,1040,keep,0.0,mean,0.0,0
13,ORCH,S16,1040,keep,0.0,mean,0.0,0
13,ORCH,S2,1040,keep,0.0,mean,0.0,0
14,ORCH,S15,1040,keep,0.0,mean,0.0,0
14,ORCH,S16,1040,keep,0.0,mean,0.0,0
14,ORCH,S2,1040,keep,0.0,mean,0.0,0
14,ORCH,S14,1040,keep,0.0,mean,0.0,0
14,ORCH,S17,1040,keep,0.0,mean,0.0,0
14,ORCH,S3,1040,keep,0.0,mean,0.0,0
14,ORCH,S13,1040,keep,0.0,mean,0.0,0
14,ORCH,S11,1040,keep,0.0,mean,0.0,0
14,ORCH,S10,1040,keep,0.0,mean,0.0,0
14,ORCH,S5,1040,keep,0.0,mean,0.0,0
14,ORCH,S9,1040,keep,0.0,mean,0.0,0
14,ORCH,S8,1040,keep,0.0,mean,0.0,0
14,ORCH,S4,1040,keep,0.0,mean,0.0,0
14,ORCH,S7,1040,keep,0.0,mean,0.0,0
14,ORCH,S6,1040,keep,0.0,mean,0.0,0
15,ORCH,S2,1040,keep,0.0,mean,0.0,0
15,ORCH,S17,1040,keep,0.0,mean,0.0,0
15,ORCH,S15,1040,keep,0.0,mean,0.0,0
15,ORCH,S16,1040,keep,0.0,mean,0.0,0
15,ORCH,S7,1040,keep,0.0,mean,0.0,0
15,ORCH,S9,1040,keep,0.0,mean,0.0,0
15,ORCH,S14,1040,keep,0.0,mean,0.0,0
15,ORCH,S6,1040,keep,0.0,mean,0.0,0
15,ORCH,S4,1040,keep,0.0,mean,0.0,0
15,ORCH,S5,1040,keep,0.0,mean,0.0,0
15,ORCH,S8,1040,keep,0.0,mean,0.0,0
15,ORCH,S11,1040,keep,0.0,mean,0.0,0
15,ORCH,S3,1040,keep,0.0,mean,0.0,0
15,ORCH,S13,1040,keep,0.0,mean,0.0,0
15,ORCH,S10,1040,keep,0.0,mean,0.0,0
16,ORCH,S17,1040,keep,0.0,mean,0.0,0
16,ORCH,S11,1040,keep,0.0,mean,0.0,0
16,ORCH,S15,1040,keep,0.0,mean,0.0,0
16,ORCH,S7,1040,keep,0.0,mean,0.0,0
16,ORCH,S6,1040,keep,0.0,mean,0.0,0
16,ORCH,S5,1040,keep,0.0,mean,0.0,0
16,ORCH,S13,1040,keep,0.0,mean,0.0,0
16,ORCH,S8,1040,keep,0.0,mean,0.0,0
16,ORCH,S9,1040,keep,0.0,mean,0.0,0
16,ORCH,S2,1040,keep,0.0,mean,0.0,0
16,ORCH,S4,1040,keep,0.0,mean,0.0,0
16,ORCH,S16,1040,keep,0.0,mean,0.0,0
16,ORCH,S14,1040,keep,0.0,mean,0.0,0
16,ORCH,S3,1040,keep,0.0,mean,0.0,0
16,ORCH,S10,1040,keep,0.0,mean,0.0,0
17,ORCH,S11,1040,keep,0.0,mean,0.0,0
17,ORCH,S10,1040,keep,0.0,mean,0.0,0
