t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.18102613746369797,0,0
1,2080,0.0,0.0,0.0,0,0
2,3120,0.0,0.0,0.0,0,0
3,4160,0.0,0.0,0.0,0,0
4,5200,0.0,0.0,0.0,0,0
5,6240,0.0,0.0,0.0,0,0
6,7280,0.0,0.0,0.0,0,0
7,8320,0.0,0.0,0.0,0,0
8,9360,0.0,0.0,0.0,0,0
9,10400,0.0,0.0,0.0,0,0
10,11440,0.0,0.0,0.0,0,0
11,12480,0.0,0.0,0.0,0,0
12,13520,0.0,0.0,0.0,0,0
13,14560,0.0,0.0,0.0,0,0
14,15600,0.0,0.0,0.0,0,0
15,16640,0.0,0.0,0.0,0,0
16,17680,0.0,0.0,0.0,0,0
17,18720,0.0,0.0,0.0,0,0
18,19760,0.0,0.0,0.0,0,0
19,20800,0.0,0.0,0.0,0,0
20,21840,0.0,0.0,0.0,0,0
21,22880,0.0,0.0,0.0,0,0
22,23920,0.0,0.0,0.0,0,0
23,24960,0.0,0.0,0.0,0,0
24,26000,0.0,0.0,0.0,0,0
25,27040,0.0,0.0,0.13370399788191686,0,0
26,28080,0.0,0.0,0.13428495902722706,0,0
27,29120,0.0,0.0,0.13370399788191686,0,0
28,30160,0.0,0.0,0.13365091967712053,0,0
29,31200,0.0,0.0,0.14259692948217537,0,0
30,32240,0.0,0.0,0.22867079665253776,0,0
31,33280,0.0,0.0,0.1784242424242424,0,0
32,34320,0.0,0.0,0.2837324211326492,0,0
33,35360,0.0,0.0,0.14382139148494288,0,0
34,36400,0.0,0.0,0.30145398717601374,0,0
35,37440,0.0,0.0,0.3020833333333333,0,0
36,38480,0.0,0.0,0.13365091967712053,0,0
37,39520,0.0,0.0,0.29773995791014735,0,0
38,40560,0.0,0.0,0.20232745708030878,0,0
39,41600,0.0,0.0,0.2573633963030672,0,0
40,42640,0.0,0.0,0.23912582219393166,0,0
41,43680,0.0,0.0,0.2843862644659457,0,0
42,44720,0.0,0.0,0.2966226138032306,0,0
43,45760,0.0,0.0,0.20103986135181975,0,0
44,46800,0.0,0.0,0.28953771289537716,0,0
45,47840,0.0,0.0,0.29784120014635934,0,0
46,48880,0.0,0.0,0.2855791962174941,0,0
47,49920,0.0,0.0,0.2847123495403279,0,0
48,50960,0.0,0.0,0.3009830205540661,0,0
49,52000,0.0,0.0,0.2943674976915974,0,0
