t,agent,neighbor,tau,score,contacts,reputation,self_p
4,S16,S8,1.0,1.2223455711051268,1,1.0,0.40960000000000013
5,S16,S8,0.995,1.2173455711051266,1,1.0,0.32768000000000014
6,S3,S5,1.0,1.2223455711051268,1,1.0,0.28459767519634527
6,S16,S8,0.990025,1.1939583980337618,2,1.0,0.2621440000000001
7,S3,S5,0.995,1.2173455711051266,1,1.0,0.22767814015707621
7,S7,S10,1.0,1.2223455711051268,1,1.0,0.23594350696844396
7,S7,S15,1.0,1.2223455711051268,1,0.0,0.23594350696844396
7,S16,S8,0.985074875,1.1890082730337619,2,1.0,0.2097152000000001
7,S16,S13,1.0,1.2223455711051268,1,1.0,0.2097152000000001
8,S3,S5,0.990025,1.1939583980337618,2,1.0,0.20374447203430102
8,S7,S10,0.995,1.1989333980337618,2,1.0,0.18875480557475519
8,S7,S15,0.995,1.1989333980337618,2,0.0,0.18875480557475519
8,S16,S8,0.9801495006250001,1.170444936801928,3,1.0,0.1802151659652736
8,S16,S13,0.995,1.1989333980337618,2,1.0,0.1802151659652736
9,S5,S2,1.0284286507495837,1.2507742218547104,1,0.0,0.2967190741666756
9,S3,S5,0.985074875,1.1890082730337619,2,1.0,0.16299557762744082
9,S7,S10,0.990025,1.180320436176928,3,1.0,0.15100384445980417
9,S7,S15,0.990025,1.180320436176928,3,0.0,0.15100384445980417
9,S16,S8,0.9752487531218751,1.1548362539288772,4,1.0,0.14417213277221888
9,S16,S13,0.990025,1.180320436176928,3,1.0,0.14417213277221888
10,S7,S10,0.985074875,1.164662375807002,4,1.0,0.12080307556784334
10,S7,S15,0.985074875,1.175370311176928,3,0.0,0.12080307556784334
10,S5,S2,1.0232865074958357,1.2456320786009625,1,0.0,0.28930742222346717
10,S16,S8,0.9703725093562657,1.1499600101632679,4,1.0,0.11533770621777512
10,S16,S13,0.985074875,1.164662375807002,4,1.0,0.11533770621777512
10,S3,S5,0.9801495006250001,1.170444936801928,3,1.0,0.13039646210195266
11,S3,S5,0.9752487531218751,1.1548362539288772,4,1.0,0.12831587238869072
11,S7,S10,0.9801495006250001,1.1509963684213682,5,1.0,0.11217568829024366
11,S7,S15,0.9801495006250001,1.170444936801928,3,0.0,0.11217568829024366
11,S5,S2,1.0181700749583564,1.2221034729921183,2,0.0,0.2394102165361082
11,S16,S8,0.9655206468094844,1.1451081476164864,4,1.0,0.10705760109886278
11,S16,S13,0.9801495006250001,1.1509963684213682,5,1.0,0.10705760109886278
12,S7,S10,0.9752487531218751,1.138759232799647,6,1.0,0.0977574810111656
12,S7,S15,0.9752487531218751,1.1548362539288772,4,0.0,0.0977574810111656
12,S3,S5,0.9703725093562657,1.141219377152634,5,0.0,0.11649833312373675
12,S3,S9,1.0,1.2223455711051268,1,1.0,0.11649833312373675
12,S5,S2,1.0130792245835647,1.2170126226173266,2,0.0,0.19496179119179674
12,S16,S8,0.960693043575437,1.1315399113718052,5,1.0,0.09570995363328366
12,S16,S13,0.9752487531218751,1.138759232799647,6,1.0,0.09570995363328366
13,S7,S10,0.9703725093562657,1.1275945704514965,7,1.0,0.07839715587187808
13,S7,S15,0.9703725093562657,1.141219377152634,5,0.0,0.07839715587187808
13,S3,S5,0.9655206468094844,1.1290311264872561,6,0.0,0.12671098811459577
13,S3,S9,0.995,1.2173455711051266,1,1.0,0.12671098811459577
13,S8,S4,1.0,1.2223455711051268,1,0.0,0.20268773997298267
13,S5,S2,1.0080138284606468,1.1983092646375748,3,0.0,0.1587720979365835
13,S16,S8,0.9558895783575597,1.1194000580353316,6,1.0,0.07656796290662693
13,S16,S13,0.9703725093562657,1.1275945704514965,7,1.0,0.07656796290662693
14,S8,S4,0.995,1.1989333980337618,2,0.5,0.16215019197838615
14,S7,S10,0.9655206468094844,1.117263359747999,8,1.0,0.06716834136608676
14,S7,S15,0.9655206468094844,1.1363675146058525,5,0.0,0.06716834136608676
14,S3,S5,0.960693043575437,1.1179151046706677,7,0.5,0.22410564968064506
14,S3,S9,0.990025,1.1939583980337618,2,0.5,0.22410564968064506
14,S5,S2,1.0029737593183436,1.1932691954952717,3,0.0,0.12839598787225187
14,S10,S11,1.0,1.2223455711051268,1,0.0,0.17087126186247834
14,S16,S8,0.9511101304657719,1.1146206101435436,6,1.0,0.061254370325301545
14,S16,S13,0.9655206468094844,1.117263359747999,8,1.0,0.061254370325301545
15,S7,S10,0.960693043575437,1.1075979701612575,9,1.0,0.05979259555482533
15,S7,S15,0.960693043575437,1.1242035232532088,6,0.0,0.05979259555482533
