t,agent,from,bytes,decision,cos_thresh,mode,trim_p,rolled_back
4,S9,S8,1799,accepted_in_agg,0.0,median,0.1,0
5,S9,S10,1803,accepted_in_agg,0.0,median,0.1,0
6,S9,S8,1806,accepted_in_agg,0.0,median,0.1,0
6,S5,S15,1805,accepted_in_agg,0.0,median,0.1,0
7,S9,S8,1798,accepted_in_agg,0.0,median,0.1,0
7,S5,S15,1798,accepted_in_agg,0.0,median,0.1,0
7,S3,S17,1802,accepted_in_agg,0.0,median,0.1,0
7,S11,S4,1804,accepted_in_agg,0.0,median,0.1,0
7,S15,S2,1798,accepted_in_agg,0.0,median,0.1,1
8,S3,S17,1801,accepted_in_agg,0.0,median,0.1,0
8,S5,S15,1797,accepted_in_agg,0.0,median,0.1,0
8,S9,S10,1799,accepted_in_agg,0.0,median,0.1,0
8,S9,S8,1800,accepted_in_agg,0.0,median,0.1,0
8,S11,S4,1802,accepted_in_agg,0.0,median,0.1,0
9,S3,S17,1798,accepted_in_agg,0.0,median,0.1,0
9,S5,S15,1797,accepted_in_agg,0.0,median,0.1,0
9,S9,S10,1801,accepted_in_agg,0.0,median,0.1,0
9,S11,S4,1801,accepted_in_agg,0.0,median,0.1,0
10,S9,S10,1800,accepted_in_agg,0.0,median,0.1,0
10,S9,S8,1806,accepted_in_agg,0.0,median,0.1,0
10,S11,S4,1799,accepted_in_agg,0.0,median,0.1,0
10,S2,S3,1799,accepted_in_agg,0.0,median,0.1,0
10,S3,S17,1795,accepted_in_agg,0.0,median,0.1,1
11,S5,S15,1802,accepted_in_agg,0.0,median,0.1,0
11,S9,S10,1802,accepted_in_agg,0.0,median,0.1,0
11,S3,S17,1800,accepted_in_agg,0.0,median,0.1,0
11,S11,S4,1800,accepted_in_agg,0.0,median,0.1,0
11,S15,S2,1796,accepted_in_agg,0.0,median,0.1,1
12,S11,S4,1798,accepted_in_agg,0.0,median,0.1,0
12,S3,S17,1800,accepted_in_agg,0.0,median,0.1,0
12,S5,S15,1801,accepted_in_agg,0.0,median,0.1,0
12,S9,S10,1804,accepted_in_agg,0.0,median,0.1,0
13,S11,S4,1797,accepted_in_agg,0.0,median,0.1,0
13,S5,S15,1798,accepted_in_agg,0.0,median,0.1,0
14,S5,S15,1805,accepted_in_agg,0.0,median,0.1,1
14,S11,S4,1795,accepted_in_agg,0.0,median,0.1,0
14,S2,S3,1806,accepted_in_agg,0.0,median,0.1,0
14,S9,S10,1799,accepted_in_agg,0.0,median,0.1,0
14,S15,S2,1797,accepted_in_agg,0.0,median,0.1,0
14,S3,S17,1795,accepted_in_agg,0.0,median,0.1,0
14,S16,S9,1799,accepted_in_agg,0.0,median,0.1,0
15,S3,S17,1798,accepted_in_agg,0.0,median,0.1,0
15,S11,S4,1798,accepted_in_agg,0.0,median,0.1,0
15,S5,S15,1804,accepted_in_agg,0.0,median,0.1,1
15,S16,S5,1795,accepted_in_agg,0.0,median,0.1,0
16,S5,S15,1807,accepted_in_agg,0.0,median,0.1,1
16,S3,S17,1800,accepted_in_agg,0.0,median,0.1,0
16,S15,S2,1803,accepted_in_agg,0.0,median,0.1,0
16,S16,S9,1802,accepted_in_agg,0.0,median,0.1,0
17,S2,S3,1804,accepted_in_agg,0.0,median,0.1,0
17,S16,S5,1798,accepted_in_agg,0.0,median,0.1,0
18,S3,S17,1799,accepted_in_agg,0.0,median,0.1,0
18,S5,S15,1802,accepted_in_agg,0.0,median,0.1,0
18,S15,S2,1802,accepted_in_agg,0.0,median,0.1,0
18,S16,S5,1796,accepted_in_agg,0.0,median,0.1,0
19,S2,S3,1799,accepted_in_agg,0.0,median,0.1,0
19,S16,S5,1798,accepted_in_agg,0.0,median,0.1,0
20,S3,S17,1799,accepted_in_agg,0.0,median,0.1,0
20,S15,S2,1802,accepted_in_agg,0.0,median,0.1,0
21,S5,S15,1800,accepted_in_agg,0.0,median,0.1,1
21,S2,S3,1801,accepted_in_agg,0.0,median,0.1,0
22,S15,S2,1797,accepted_in_agg,0.0,median,0.1,0
22,S3,S17,1800,accepted_in_agg,0.0,median,0.1,0
23,S2,S3,1805,accepted_in_agg,0.0,median,0.1,0
23,S3,S17,1797,accepted_in_agg,0.0,median,0.1,0
24,S5,S15,1805,accepted_in_agg,0.0,median,0.1,0
25,S15,S11,1799,accepted_in_agg,0.0,median,0.1,1
25,S11,S4,1800,accepted_in_agg,0.0,median,0.1,0
25,S16,S5,1797,accepted_in_agg,0.0,median,0.1,0
26,S9,S10,1801,accepted_in_agg,0.0,median,0.1,0
26,S15,S2,1793,accepted_in_agg,0.0,median,0.1,0
26,S3,S17,1798,accepted_in_agg,0.0,median,0.1,0
27,S4,S11,1796,accepted_in_agg,0.0,median,0.1,0
27,S10,S9,1802,accepted_in_agg,0.0,median,0.1,0
27,S3,S2,1801,accepted_in_agg,0.0,median,0.1,0
27,S17,S3,1802,accepted_in_agg,0.0,median,0.1,0
28,S11,S15,1801,accepted_in_agg,0.0,median,0.1,0
28,S13,S10,1798,accepted_in_agg,0.0,median,0.1,0
29,S4,S11,1802,accepted_in_agg,0.0,median,0.1,0
29,S17,S3,1797,accepted_in_agg,0.0,median,0.1,0
30,S11,S15,1798,accepted_in_agg,0.0,median,0.1,0
31,S9,S10,1797,accepted_in_agg,0.0,median,0.1,0
31,S3,S2,1801,accepted_in_agg,0.0,median,0.1,0
31,S3,S17,1798,accepted_in_agg,0.0,median,0.1,0
31,S17,S3,1798,accepted_in_agg,0.0,median,0.1,0
31,S15,S11,1807,accepted_in_agg,0.0,median,0.1,0
31,S16,S5,1804,accepted_in_agg,0.0,median,0.1,0
32,S10,S9,1800,accepted_in_agg,0.0,median,0.1,0
32,S11,S4,1799,accepted_in_agg,0.0,median,0.1,1
33,S17,S3,1802,accepted_in_agg,0.0,median,0.1,0
33,S3,S2,1793,accepted_in_agg,0.0,median,0.1,0
33,S3,S17,1802,accepted_in_agg,0.0,median,0.1,0
33,S9,S10,1799,accepted_in_agg,0.0,median,0.1,0
