t,src,dst,bytes,kind,action,cos,reason
4,S8,S9,1799,head,sent,,
4,S8,S9,1799,head,received,,
4,S8,S9,1799,head,buffered,0.04909685254096985,
4,S17,S3,1797,head,sent,,
4,S17,S3,1797,head,received,,
4,S17,S3,1797,head,drop_cos,-0.008749243803322315,cos<0.0
5,S10,S9,1803,head,sent,,
5,S10,S9,1803,head,received,,
5,S10,S9,1803,head,buffered,0.09624597430229187,
6,S8,S9,1806,head,sent,,
6,S15,S5,1805,head,sent,,
6,S13,S10,1798,head,sent,,
6,S13,S10,1798,head,received,,
6,S13,S10,1798,head,drop_cos,-0.020401649177074432,cos<0.0
6,S8,S9,1806,head,received,,
6,S8,S9,1806,head,buffered,0.46765151619911194,
6,S15,S5,1805,head,received,,
6,S15,S5,1805,head,buffered,0.01920722983777523,
6,S17,S3,1797,head,sent,,
6,S17,S3,1797,head,received,,
6,S17,S3,1797,head,drop_cos,-0.00014742568600922823,cos<0.0
7,S2,S15,1798,head,sent,,
7,S8,S9,1798,head,sent,,
7,S4,S11,1804,head,sent,,
7,S15,S5,1798,head,sent,,
7,S4,S11,1804,head,received,,
7,S4,S11,1804,head,buffered,0.018155883997678757,
7,S8,S9,1798,head,received,,
7,S8,S9,1798,head,buffered,0.8965163230895996,
7,S2,S15,1798,head,received,,
7,S2,S15,1798,head,buffered,0.01803632825613022,
7,S15,S5,1798,head,received,,
7,S15,S5,1798,head,buffered,0.7396849989891052,
7,S17,S3,1802,head,sent,,
7,S17,S3,1802,head,received,,
7,S17,S3,1802,head,buffered,0.0036663864739239216,
8,S4,S11,1802,head,sent,,
8,S10,S9,1799,head,sent,,
8,S15,S5,1797,head,sent,,
8,S8,S9,1800,head,sent,,
8,S10,S9,1799,head,received,,
8,S10,S9,1799,head,buffered,0.2566978633403778,
8,S8,S9,1800,head,received,,
8,S8,S9,1800,head,buffered,0.9690033197402954,
8,S15,S5,1797,head,received,,
8,S15,S5,1797,head,buffered,0.7216386198997498,
8,S4,S11,1802,head,received,,
8,S4,S11,1802,head,buffered,0.732293963432312,
8,S17,S3,1801,head,sent,,
8,S17,S3,1801,head,received,,
8,S17,S3,1801,head,buffered,0.7275506258010864,
9,S4,S11,1801,head,sent,,
9,S4,S11,1801,head,received,,
9,S4,S11,1801,head,buffered,0.9396328926086426,
9,S13,S10,1801,head,sent,,
9,S13,S10,1801,head,received,,
9,S13,S10,1801,head,drop_cos,-0.014846708625555038,cos<0.0
9,S15,S5,1797,head,sent,,
9,S15,S5,1797,head,received,,
9,S15,S5,1797,head,buffered,0.9262852072715759,
9,S10,S9,1801,head,sent,,
9,S10,S9,1801,head,received,,
9,S10,S9,1801,head,buffered,0.5127963423728943,
9,S17,S3,1798,head,sent,,
9,S17,S3,1798,head,received,,
9,S17,S3,1798,head,buffered,0.9361111521720886,
10,S8,S9,1806,head,sent,,
10,S4,S11,1799,head,sent,,
10,S10,S9,1800,head,sent,,
10,S10,S9,1800,head,received,,
10,S10,S9,1800,head,buffered,0.8984978795051575,
10,S4,S11,1799,head,received,,
10,S4,S11,1799,head,buffered,0.977781355381012,
10,S8,S9,1806,head,received,,
10,S8,S9,1806,head,buffered,0.5026394724845886,
10,S13,S10,1805,head,sent,,
10,S13,S10,1805,head,received,,
10,S13,S10,1805,head,drop_cos,-0.014010509476065636,cos<0.0
10,S3,S2,1799,head,sent,,
10,S17,S3,1795,head,sent,,
10,S3,S2,1799,head,received,,
10,S3,S2,1799,head,buffered,0.015112977474927902,
10,S17,S3,1795,head,received,,
10,S17,S3,1795,head,buffered,0.9728140234947205,
11,S10,S9,1802,head,sent,,
11,S2,S15,1796,head,sent,,
11,S15,S5,1802,head,sent,,
11,S13,S10,1802,head,sent,,
11,S4,S11,1800,head,sent,,
11,S10,S9,1802,head,received,,
11,S10,S9,1802,head,buffered,0.8251733779907227,
11,S2,S15,1796,head,received,,
11,S2,S15,1796,head,buffered,0.4897831976413727,
11,S15,S5,1802,head,received,,
11,S15,S5,1802,head,buffered,0.9681479334831238,
11,S13,S10,1802,head,received,,
11,S13,S10,1802,head,drop_cos,-0.010835690423846245,cos<0.0
11,S4,S11,1800,head,received,,
11,S4,S11,1800,head,buffered,0.9866045117378235,
11,S17,S3,1800,head,sent,,
11,S17,S3,1800,head,received,,
11,S17,S3,1800,head,buffered,0.9814863204956055,
12,S15,S5,1801,head,sent,,
12,S10,S9,1804,head,sent,,
12,S4,S11,1798,head,sent,,
12,S10,S9,1804,head,received,,
12,S10,S9,1804,head,buffered,0.9608271718025208,
12,S15,S5,1801,head,received,,
