t,agent,from,bytes,decision,cos_thresh,mode,trim_p,rolled_back
5,S16,S4,1793,accepted_in_agg,0.0,median,0.1,0
6,S16,S4,1791,accepted_in_agg,0.0,median,0.1,0
8,S9,S8,1797,accepted_in_agg,0.0,median,0.1,0
8,S16,S4,1793,accepted_in_agg,0.0,median,0.1,0
9,S9,S8,1796,accepted_in_agg,0.0,median,0.1,0
10,S9,S8,1800,accepted_in_agg,0.0,median,0.1,0
11,S9,S8,1803,accepted_in_agg,0.0,median,0.1,0
12,S4,S2,1802,accepted_in_agg,0.0,median,0.1,0
13,S5,S9,1798,accepted_in_agg,0.0,median,0.1,1
13,S9,S8,1796,accepted_in_agg,0.0,median,0.1,0
14,S5,S9,1801,accepted_in_agg,0.0,median,0.1,0
14,S4,S2,1804,accepted_in_agg,0.0,median,0.1,0
14,S6,S7,1792,accepted_in_agg,0.0,median,0.1,0
14,S9,S8,1799,accepted_in_agg,0.0,median,0.1,0
15,S5,S9,1795,accepted_in_agg,0.0,median,0.1,0
15,S6,S7,1796,accepted_in_agg,0.0,median,0.1,0
15,S9,S8,1802,accepted_in_agg,0.0,median,0.1,0
16,S2,S11,1799,accepted_in_agg,0.0,median,0.1,0
16,S9,S8,1803,accepted_in_agg,0.0,median,0.1,0
17,S4,S2,1792,accepted_in_agg,0.0,median,0.1,0
17,S9,S8,1801,accepted_in_agg,0.0,median,0.1,0
18,S2,S11,1799,accepted_in_agg,0.0,median,0.1,0
18,S6,S7,1792,accepted_in_agg,0.0,median,0.1,0
19,S13,S17,1800,accepted_in_agg,0.0,median,0.1,0
19,S9,S8,1805,accepted_in_agg,0.0,median,0.1,0
20,S6,S7,1801,accepted_in_agg,0.0,median,0.1,0
20,S4,S2,1793,accepted_in_agg,0.0,median,0.1,0
20,S9,S8,1801,accepted_in_agg,0.0,median,0.1,0
20,S2,S11,1799,accepted_in_agg,0.0,median,0.1,0
21,S6,S7,1794,accepted_in_agg,0.0,median,0.1,0
21,S9,S8,1806,accepted_in_agg,0.0,median,0.1,0
21,S13,S17,1800,accepted_in_agg,0.0,median,0.1,1
21,S16,S4,1801,accepted_in_agg,0.0,median,0.1,1
21,S4,S2,1801,accepted_in_agg,0.0,median,0.1,0
22,S13,S17,1803,accepted_in_agg,0.0,median,0.1,1
22,S6,S10,1798,accepted_in_agg,0.0,median,0.1,0
22,S6,S7,1803,accepted_in_agg,0.0,median,0.1,0
22,S9,S8,1803,accepted_in_agg,0.0,median,0.1,0
22,S16,S4,1799,accepted_in_agg,0.0,median,0.1,1
23,S6,S7,1792,accepted_in_agg,0.0,median,0.1,0
23,S6,S10,1801,accepted_in_agg,0.0,median,0.1,0
23,S2,S11,1802,accepted_in_agg,0.0,median,0.1,1
23,S7,S16,1799,accepted_in_agg,0.0,median,0.1,0
23,S7,S13,1796,accepted_in_agg,0.0,median,0.1,0
23,S16,S4,1795,accepted_in_agg,0.0,median,0.1,1
23,S13,S17,1799,accepted_in_agg,0.0,median,0.1,1
23,S4,S2,1802,accepted_in_agg,0.0,median,0.1,0
24,S9,S5,1797,accepted_in_agg,0.0,median,0.1,0
24,S2,S4,1799,accepted_in_agg,0.0,median,0.1,0
24,S11,S2,1802,accepted_in_agg,0.0,median,0.1,0
24,S17,S13,1794,accepted_in_agg,0.0,median,0.1,0
25,S8,S9,1804,accepted_in_agg,0.0,median,0.1,0
25,S2,S4,1795,accepted_in_agg,0.0,median,0.1,0
25,S9,S5,1799,accepted_in_agg,0.0,median,0.1,0
25,S16,S7,1795,accepted_in_agg,0.0,median,0.1,0
25,S17,S13,1804,accepted_in_agg,0.0,median,0.1,0
26,S17,S13,1800,accepted_in_agg,0.0,median,0.1,0
26,S13,S17,1804,accepted_in_agg,0.0,median,0.1,0
26,S4,S16,1794,accepted_in_agg,0.0,median,0.1,0
26,S16,S4,1804,accepted_in_agg,0.0,median,0.1,1
27,S8,S9,1802,accepted_in_agg,0.0,median,0.1,0
27,S13,S17,1800,accepted_in_agg,0.0,median,0.1,0
27,S9,S5,1804,accepted_in_agg,0.0,median,0.1,0
27,S17,S13,1803,accepted_in_agg,0.0,median,0.1,0
27,S16,S7,1799,accepted_in_agg,0.0,median,0.1,1
28,S16,S4,1805,accepted_in_agg,0.0,median,0.1,0
29,S5,S9,1804,accepted_in_agg,0.0,median,0.1,0
29,S7,S16,1792,accepted_in_agg,0.0,median,0.1,0
29,S4,S2,1798,accepted_in_agg,0.0,median,0.1,0
29,S16,S4,1804,accepted_in_agg,0.0,median,0.1,0
30,S4,S2,1799,accepted_in_agg,0.0,median,0.1,0
