t,src,dst,bytes,kind,action,cos,reason
6,S8,S2,1799,head,sent,,
6,S8,S2,1799,head,received,,
6,S8,S2,1799,head,buffered,0.06945967674255371,
7,S8,S2,1793,head,sent,,
7,S5,S3,1793,head,sent,,
7,S5,S3,1793,head,received,,
7,S5,S3,1793,head,drop_cos,-0.003889565821737051,cos<0.0
7,S8,S2,1793,head,received,,
7,S8,S2,1793,head,buffered,0.6859478950500488,
9,S8,S2,1802,head,sent,,
9,S5,S3,1789,head,sent,,
9,S8,S2,1802,head,received,,
9,S8,S2,1802,head,buffered,0.8932732939720154,
9,S5,S3,1789,head,received,,
9,S5,S3,1789,head,drop_cos,-0.011552651412785053,cos<0.0
10,S15,S8,1804,head,sent,,
10,S5,S3,1798,head,sent,,
10,S13,S6,1796,head,sent,,
10,S8,S2,1799,head,sent,,
10,S5,S3,1798,head,received,,
10,S5,S3,1798,head,drop_cos,-0.016231227666139603,cos<0.0
10,S13,S6,1796,head,received,,
10,S13,S6,1796,head,buffered,0.03693196922540665,
10,S8,S2,1799,head,received,,
10,S8,S2,1799,head,buffered,0.9612404704093933,
10,S15,S8,1804,head,received,,
10,S15,S8,1804,head,drop_cos,-0.05809156969189644,cos<0.0
11,S15,S8,1801,head,sent,,
11,S8,S2,1803,head,sent,,
11,S9,S10,1800,head,sent,,
11,S13,S6,1796,head,sent,,
11,S15,S8,1801,head,received,,
11,S15,S8,1801,head,drop_cos,-0.056047651916742325,cos<0.0
11,S9,S10,1800,head,received,,
11,S9,S10,1800,head,buffered,0.00011353377340128645,
11,S13,S6,1796,head,received,,
11,S13,S6,1796,head,buffered,0.6393317580223083,
11,S8,S2,1803,head,received,,
11,S8,S2,1803,head,buffered,0.9782052040100098,
12,S15,S8,1806,head,sent,,
12,S15,S8,1806,head,received,,
12,S15,S8,1806,head,drop_cos,-0.05416826903820038,cos<0.0
13,S13,S6,1798,head,sent,,
13,S5,S3,1799,head,sent,,
13,S15,S8,1801,head,sent,,
13,S8,S2,1801,head,sent,,
13,S15,S8,1801,head,received,,
13,S15,S8,1801,head,drop_cos,-0.05205143615603447,cos<0.0
13,S13,S6,1798,head,received,,
13,S13,S6,1798,head,buffered,0.8596749901771545,
13,S5,S3,1799,head,received,,
13,S5,S3,1799,head,drop_cos,-0.028242524713277817,cos<0.0
13,S8,S2,1801,head,received,,
13,S8,S2,1801,head,buffered,0.9676082134246826,
14,S5,S3,1800,head,sent,,
14,S9,S10,1800,head,sent,,
14,S8,S2,1801,head,sent,,
14,S3,S4,1803,head,sent,,
14,S9,S10,1800,head,received,,
14,S9,S10,1800,head,buffered,0.6590017080307007,
14,S3,S4,1803,head,received,,
14,S3,S4,1803,head,buffered,0.03947215527296066,
14,S5,S3,1800,head,received,,
14,S5,S3,1800,head,drop_cos,-0.03005075454711914,cos<0.0
14,S8,S2,1801,head,received,,
14,S8,S2,1801,head,buffered,0.983393669128418,
15,S8,S2,1798,head,sent,,
15,S13,S6,1801,head,sent,,
15,S5,S3,1802,head,sent,,
15,S15,S8,1802,head,sent,,
15,S5,S3,1802,head,received,,
15,S5,S3,1802,head,drop_cos,-0.03088192269206047,cos<0.0
15,S15,S8,1802,head,received,,
15,S15,S8,1802,head,drop_cos,-0.04873386770486832,cos<0.0
15,S8,S2,1798,head,received,,
15,S8,S2,1798,head,buffered,0.9887890219688416,
15,S13,S6,1801,head,received,,
15,S13,S6,1801,head,buffered,0.9211095571517944,
16,S3,S4,1802,head,sent,,
16,S8,S2,1801,head,sent,,
16,S5,S3,1799,head,sent,,
16,S11,S4,1796,head,sent,,
16,S3,S4,1802,head,received,,
16,S3,S4,1802,head,buffered,0.6521474719047546,
16,S5,S3,1799,head,received,,
16,S5,S3,1799,head,drop_cos,-0.03148306906223297,cos<0.0
16,S8,S2,1801,head,received,,
16,S8,S2,1801,head,buffered,0.9911292791366577,
16,S11,S4,1796,head,received,,
16,S11,S4,1796,head,buffered,0.003993196878582239,
17,S4,S3,1803,head,sent,,
17,S5,S6,1800,head,sent,,
17,S2,S8,1802,head,sent,,
17,S8,S17,1798,head,sent,,
17,S4,S3,1803,head,received,,
17,S4,S3,1803,head,buffered,0.7731453776359558,
17,S8,S17,1798,head,received,,
17,S8,S17,1798,head,buffered,0.034707799553871155,
17,S5,S6,1800,head,received,,
17,S5,S6,1800,head,buffered,0.051252540200948715,
17,S2,S8,1802,head,received,,
17,S2,S8,1802,head,buffered,0.9924924969673157,
18,S4,S3,1803,head,sent,,
18,S5,S6,1800,head,sent,,
18,S8,S17,1802,head,sent,,
18,S2,S8,1794,head,sent,,
18,S5,S6,1800,head,received,,
18,S5,S6,1800,head,buffered,0.7167684435844421,
18,S8,S17,1802,head,received,,
18,S8,S17,1802,head,buffered,0.724513053894043,
18,S4,S3,1803,head,received,,
18,S4,S3,1803,head,buffered,0.8836064338684082,
18,S2,S8,1794,head,received,,
