t,agent,neighbor,tau,score,contacts,reputation,self_p
4,S5,S4,1.0,1.2223455711051268,1,1.0,0.41436748303704235
5,S5,S4,0.995,1.2173455711051266,1,1.0,0.5164756234838433
6,S10,S5,1.0,1.2223455711051268,1,0.0,0.2903621782924826
6,S5,S4,0.990025,1.2123705711051267,1,1.0,0.5508808693018773
6,S17,S8,1.0,1.2223455711051268,1,0.0,0.3025714062161631
7,S5,S4,0.985074875,1.2074204461051268,1,1.0,0.44070469544150187
7,S10,S5,0.995,1.2173455711051266,1,0.0,0.24784077716000874
7,S17,S8,0.995,1.2173455711051266,1,0.0,0.25580991910111905
8,S10,S5,0.990025,1.1939583980337618,2,0.0,0.198272621728007
8,S5,S4,0.9801495006250001,1.2024950717301268,1,1.0,0.5525637563532015
8,S17,S8,1.0184221159179145,1.2223555139516764,2,0.0,0.20501492339723024
9,S10,S5,0.985074875,1.1890082730337619,2,0.0,0.15861809738240562
9,S5,S4,0.9752487531218751,1.1975943242270017,1,1.0,0.44205100508256123
9,S5,S17,1.0284444444444445,1.2507900155495713,1,0.0,0.44205100508256123
9,S17,S8,1.0233356485423508,1.2136310847192788,3,0.0,0.3640119387177842
10,S10,S5,0.9801495006250001,1.170444936801928,3,0.0,0.128169016242805
10,S5,S4,0.9703725093562657,1.1927180804613924,1,1.0,0.45267697595387246
10,S5,S17,1.051715096806018,1.25564849483978,2,0.0,0.45267697595387246
10,S17,S8,1.0182189702996391,1.2085144064765672,3,0.0,0.31055874544492124
11,S10,S5,0.9752487531218751,1.1548362539288772,4,0.0,0.10799019266062036
11,S5,S4,0.9655206468094844,1.1878662179146111,1,1.0,0.5621415807630981
11,S5,S17,1.0464565213219879,1.2503899193557497,2,0.0,0.5621415807630981
11,S5,S13,1.0,1.2223455711051268,1,1.0,0.5621415807630981
11,S17,S8,1.013127875448141,1.203423311625069,3,0.0,0.248446996355937
12,S4,S9,1.0,1.2223455711051268,1,1.0,0.10823127484497462
12,S10,S5,0.9703725093562657,1.1499600101632679,4,0.0,0.0863921541284963
12,S5,S4,0.960693043575437,1.1830386146805636,1,1.0,0.44971326461047845
12,S5,S17,1.0412242387153778,1.2315196748923058,3,0.5,0.44971326461047845
12,S5,S13,0.995,1.1989333980337618,2,1.0,0.44971326461047845
12,S17,S8,1.0139290802149794,1.1935165810219814,4,0.0,0.35727055875274993
13,S4,S9,0.995,1.2173455711051266,1,1.0,0.08884794826583706
13,S5,S4,0.9558895783575597,1.1782351494626864,1,1.0,0.35977061168838276
13,S5,S17,1.0360181175218008,1.2263135536987289,3,0.5,0.35977061168838276
13,S5,S13,0.990025,1.180320436176928,3,1.0,0.35977061168838276
13,S10,S5,0.9655206468094844,1.1451081476164864,4,0.0,0.16237186006696686
13,S10,S15,1.0283656509695291,1.250711222074656,1,0.0,0.16237186006696686
13,S17,S8,1.0150065875922616,1.1858534553886297,5,0.0,0.28581644700219994
14,S11,S2,1.0,1.2223455711051268,1,0.0,0.0963901555978229
14,S10,S5,0.960693043575437,1.140280544382439,4,0.0,0.22011471126423554
14,S10,S15,1.0516366972984772,1.255570095332239,2,0.0,0.22011471126423554
14,S5,S4,0.9511101304657719,1.1550435284995337,2,1.0,0.2878164893507062
14,S5,S17,1.030838026934192,1.22113346311112,3,0.5,0.2878164893507062
14,S5,S13,0.985074875,1.175370311176928,3,1.0,0.2878164893507062
14,S8,S3,1.0,1.2223455711051268,1,0.5,0.4074403026191358
14,S4,S9,0.990025,1.1939583980337618,2,1.0,0.27107835861266966
14,S17,S8,1.0103849983569686,1.1738954780347404,6,0.0,0.22865315760175997
15,S11,S2,0.995,1.2173455711051266,1,0.0,0.12674621863801744
15,S8,S3,0.995,1.2173455711051266,1,0.5,0.32595224209530865
15,S10,S5,0.9558895783575597,1.126736446153928,5,0.5,0.17609176901138845
15,S10,S15,1.0463785138119848,1.2503119118457466,2,0.0,0.17609176901138845
15,S4,S9,0.985074875,1.1890082730337619,2,1.0,0.21867949907887002
15,S5,S4,0.946354579813443,1.136650015990371,3,1.0,0.23048706628250934
15,S5,S17,1.025683836799521,1.205271337606523,4,0.0,0.23048706628250934
15,S5,S13,0.9801495006250001,1.159737001432002,4,1.0,0.23048706628250934
15,S17,S8,1.0053330733651837,1.1688435530429555,6,0.0,0.18702205874056194
16,S10,S5,0.9511101304657719,1.12195699826214,5,0.5,0.14087341520911076
16,S10,S15,1.0411466212429248,1.2450800192766867,2,0.0,0.14087341520911076
16,S11,S2,0.990025,1.2123705711051267,1,0.0,0.10139697491041395
16,S3,S8,1.0002036759821642,1.222549247087291,1,0.0,0.18482127747975763
16,S4,S9,0.9801495006250001,1.184082898658762,2,1.0,0.1969312823127553
16,S5,S4,0.9416228069143757,1.1319182430913037,3,1.0,0.1843896530260075
16,S5,S17,1.0205554176155234,1.2001429184225254,4,0.0,0.1843896530260075
16,S5,S13,0.9752487531218751,1.1548362539288772,4,1.0,0.1843896530260075
16,S9,S4,1.0,1.2223455711051268,1,1.0,0.2077906954836642
16,S8,S3,0.990025,1.2123705711051267,1,0.5,0.4465902404079617
16,S8,S17,1.0284444444444445,1.2507900155495713,1,0.0,0.4465902404079617
16,S14,S15,1.0,1.2223455711051268,1,1.0,0.10629445883167882
16,S17,S8,1.000306407998358,1.1638168876761297,6,0.0,0.15320320305622942
16,S16,S2,1.0,1.2223455711051268,1,1.0,0.1521005749768074
17,S3,S8,0.995522558410391,1.1994559564441527,2,0.0,0.1704616747085297
17,S10,S5,0.946354579813443,1.117201447609811,5,0.5,0.11269873216728861
17,S10,S15,1.0359408881367103,1.2398742861704721,2,0.0,0.11269873216728861
17,S9,S4,0.995,1.1989333980337618,2,1.0,0.16623255638693135
17,S5,S4,0.9369146928798039,1.1272101290567318,3,1.0,0.14751172242080599
17,S5,S17,1.0154526405274458,1.1950401413344478,4,0.0,0.14751172242080599
17,S5,S13,0.9703725093562657,1.1499600101632679,4,1.0,0.14751172242080599
17,S11,S2,0.985074875,1.2074204461051268,1,0.0,0.09919598951644863
17,S11,S13,1.0,1.2223455711051268,1,0.0,0.09919598951644863
17,S4,S9,0.9752487531218751,1.1791821511556368,2,1.0,0.1578261788193
