t,src,dst,bytes,kind,action,cos,reason
0,S9,S10,1040,model,send,,head
0,S2,S16,1040,model,send,,head
0,S6,S4,1040,model,send,,head
0,S11,S10,1040,model,send,,head
0,S15,S13,1040,model,send,,head
0,S3,S17,1040,model,send,,head
0,S16,S14,1040,model,send,,head
0,S17,S15,1040,model,send,,head
0,S14,S11,1040,model,send,,head
0,S13,S10,1040,model,send,,head
0,S8,S10,1040,model,send,,head
0,S7,S5,1040,model,send,,head
0,S5,S3,1040,model,send,,head
0,S4,S2,1040,model,send,,head
0,S10,S11,1040,model,send,,head
0,S3,S17,1040,model,recv,,
0,S4,S2,1040,model,recv,,
0,S11,S10,1040,model,recv,,
0,S8,S10,1040,model,recv,,
0,S5,S3,1040,model,recv,,
0,S10,S11,1040,model,recv,,
0,S16,S14,1040,model,recv,,
0,S2,S16,1040,model,recv,,
0,S6,S4,1040,model,recv,,
0,S9,S10,1040,model,recv,,
0,S13,S10,1040,model,recv,,
0,S15,S13,1040,model,recv,,
0,S7,S5,1040,model,recv,,
0,S14,S11,1040,model,recv,,
0,S17,S15,1040,model,recv,,
0,S13,S11,1040,model,send,,head
0,S14,S13,1040,model,send,,head
0,S17,S16,1040,model,send,,head
0,S11,S13,1040,model,send,,head
0,S5,S4,1040,model,send,,head
0,S4,S3,1040,model,send,,head
0,S8,S6,1040,model,send,,head
0,S7,S6,1040,model,send,,head
0,S16,S15,1040,model,send,,head
0,S9,S11,1040,model,send,,head
0,S10,S13,1040,model,send,,head
0,S3,S2,1040,model,send,,head
0,S15,S14,1040,model,send,,head
0,S6,S5,1040,model,send,,head
0,S2,S17,1040,model,send,,head
0,S9,S11,1040,model,recv,,
0,S5,S4,1040,model,recv,,
0,S16,S15,1040,model,recv,,
0,S15,S14,1040,model,recv,,
0,S14,S13,1040,model,recv,,
0,S8,S6,1040,model,recv,,
0,S13,S11,1040,model,recv,,
0,S7,S6,1040,model,recv,,
0,S10,S13,1040,model,recv,,
0,S6,S5,1040,model,recv,,
0,S2,S17,1040,model,recv,,
0,S17,S16,1040,model,recv,,
0,S11,S13,1040,model,recv,,
0,S4,S3,1040,model,recv,,
0,S3,S2,1040,model,recv,,
0,S14,S15,1040,model,send,,head
0,S13,S14,1040,model,send,,head
0,S8,S7,1040,model,send,,head
0,S6,S7,1040,model,send,,head
0,S4,S5,1040,model,send,,head
0,S15,S16,1040,model,send,,head
0,S5,S6,1040,model,send,,head
0,S7,S8,1040,model,send,,head
0,S9,S7,1040,model,send,,head
0,S3,S4,1040,model,send,,head
0,S10,S8,1040,model,send,,head
0,S2,S3,1040,model,send,,head
0,S16,S17,1040,model,send,,head
0,S17,S2,1040,model,send,,head
0,S11,S14,1040,model,send,,head
0,S11,S14,1040,model,recv,,
0,S16,S17,1040,model,recv,,
0,S3,S4,1040,model,recv,,
0,S7,S8,1040,model,recv,,
0,S10,S8,1040,model,recv,,
0,S17,S2,1040,model,recv,,
0,S4,S5,1040,model,recv,,
0,S8,S7,1040,model,recv,,
0,S14,S15,1040,model,recv,,
0,S9,S7,1040,model,recv,,
0,S13,S14,1040,model,recv,,
0,S15,S16,1040,model,recv,,
0,S6,S7,1040,model,recv,,
0,S2,S3,1040,model,recv,,
0,S5,S6,1040,model,recv,,
0,S9,S8,1040,model,send,,head
0,S4,S6,1040,model,send,,head
0,S5,S7,1040,model,send,,head
0,S16,S2,1040,model,send,,head
0,S3,S5,1040,model,send,,head
0,S7,S9,1040,model,send,,head
0,S10,S9,1040,model,send,,head
0,S15,S17,1040,model,send,,head
0,S6,S8,1040,model,send,,head
0,S8,S9,1040,model,send,,head
0,S11,S9,1040,model,send,,head
0,S17,S3,1040,model,send,,head
0,S2,S4,1040,model,send,,head
0,S14,S16,1040,model,send,,head
0,S13,S15,1040,model,send,,head
0,S8,S9,1040,model,recv,,
0,S7,S9,1040,model,recv,,
0,S4,S6,1040,model,recv,,
0,S9,S8,1040,model,recv,,
0,S10,S9,1040,model,recv,,
0,S17,S3,1040,model,recv,,
0,S3,S5,1040,model,recv,,
0,S11,S9,1040,model,recv,,
0,S14,S16,1040,model,recv,,
0,S16,S2,1040,model,recv,,
0,S6,S8,1040,model,recv,,
0,S5,S7,1040,model,recv,,
0,S15,S17,1040,model,recv,,
0,S2,S4,1040,model,recv,,
0,S13,S15,1040,model,recv,,
0,S11,S10,1040,model,recv_keep,-0.009019230492413044,ok
0,S8,S10,1040,model,recv_keep,0.08275190740823746,ok
0,S9,S10,1040,model,recv_keep,-0.04219653084874153,ok
0,S13,S10,1040,model,recv_keep,0.059004224836826324,ok
0,S15,S13,1040,model,recv_keep,0.0208568274974823,ok
0,S14,S13,1040,model,recv_keep,0.07287414371967316,ok
0,S10,S13,1040,model,recv_keep,0.059004224836826324,ok
0,S11,S13,1040,model,recv_keep,-0.055057600140571594,ok
0,S6,S4,1040,model,recv_keep,0.09208304435014725,ok
0,S5,S4,1040,model,recv_keep,0.08009587228298187,ok
0,S3,S4,1040,model,recv_keep,0.06434626877307892,ok
0,S2,S4,1040,model,recv_keep,-0.022213099524378777,ok
0,S17,S15,1040,model,recv_keep,0.06465192884206772,ok
0,S16,S15,1040,model,recv_keep,0.04572903364896774,ok
0,S14,S15,1040,model,recv_keep,0.013303698971867561,ok
0,S13,S15,1040,model,recv_keep,0.0208568274974823,ok
0,S8,S6,1040,model,recv_keep,0.11989595741033554,ok
0,S7,S6,1040,model,recv_keep,-0.03295324370265007,ok
0,S5,S6,1040,model,recv_keep,0.13369934260845184,ok
0,S4,S6,1040,model,recv_keep,0.09208304435014725,ok
0,S2,S16,1040,model,recv_keep,-0.027706529945135117,ok
0,S17,S16,1040,model,recv_keep,-0.03412662819027901,ok
0,S15,S16,1040,model,recv_keep,0.04572903364896774,ok
0,S14,S16,1040,model,recv_keep,0.04881561920046806,ok
0,S7,S8,1040,model,recv_keep,-0.016895217821002007,ok
0,S10,S8,1040,model,recv_keep,0.08275190740823746,ok
0,S9,S8,1040,model,recv_keep,0.1332816183567047,ok
0,S6,S8,1040,model,recv_keep,0.11989595741033554,ok
0,S5,S3,1040,model,recv_keep,0.01581277884542942,ok
0,S4,S3,1040,model,recv_keep,0.06434626877307892,ok
0,S2,S3,1040,model,recv_keep,0.036856360733509064,ok
0,S17,S3,1040,model,recv_keep,-0.06955017149448395,ok
0,S3,S17,1040,model,recv_keep,-0.06955017149448395,ok
0,S2,S17,1040,model,recv_keep,-0.0812544897198677,ok
0,S16,S17,1040,model,recv_keep,-0.03412662819027901,ok
0,S15,S17,1040,model,recv_keep,0.06465192884206772,ok
0,S4,S2,1040,model,recv_keep,-0.022213099524378777,ok
