t,src,dst,bytes,kind,action,cos,reason
0,S11,ORCH,1040,model,send,,
0,S17,ORCH,1040,model,send,,
0,S14,ORCH,1040,model,send,,
0,S6,ORCH,1040,model,send,,
0,S3,ORCH,1040,model,send,,
0,S2,ORCH,1040,model,send,,
0,S16,ORCH,1040,model,send,,
0,S7,ORCH,1040,model,send,,
0,S9,ORCH,1040,model,send,,
0,S4,ORCH,1040,model,send,,
0,S15,ORCH,1040,model,send,,
0,S5,ORCH,1040,model,send,,
0,S8,ORCH,1040,model,send,,
0,S10,ORCH,1040,model,send,,
0,S13,ORCH,1040,model,send,,
0,S5,ORCH,1040,model,recv,,
0,S6,ORCH,1040,model,recv,,
0,S2,ORCH,1040,model,recv,,
0,S7,ORCH,1040,model,recv,,
0,S10,ORCH,1040,model,recv,,
0,S11,ORCH,1040,model,recv,,
0,S3,ORCH,1040,model,recv,,
0,S13,ORCH,1040,model,recv,,
0,S8,ORCH,1040,model,recv,,
0,S14,ORCH,1040,model,recv,,
0,S16,ORCH,1040,model,recv,,
0,S17,ORCH,1040,model,recv,,
0,S9,ORCH,1040,model,recv,,
0,S15,ORCH,1040,model,recv,,
0,S4,ORCH,1040,model,recv,,
0,S5,ORCH,1040,model,used,0.25691601634025574,included_in_mean
0,S6,ORCH,1040,model,used,0.206056609749794,included_in_mean
0,S2,ORCH,1040,model,used,0.21151910722255707,included_in_mean
0,S7,ORCH,1040,model,used,0.22018349170684814,included_in_mean
0,S10,ORCH,1040,model,used,0.2932145595550537,included_in_mean
0,S11,ORCH,1040,model,used,0.2834812104701996,included_in_mean
0,S3,ORCH,1040,model,used,0.19555237889289856,included_in_mean
0,S13,ORCH,1040,model,used,0.17347407341003418,included_in_mean
0,S8,ORCH,1040,model,used,0.2746991813182831,included_in_mean
0,S14,ORCH,1040,model,used,0.16599243879318237,included_in_mean
0,S16,ORCH,1040,model,used,0.21477462351322174,included_in_mean
0,S17,ORCH,1040,model,used,0.3036402761936188,included_in_mean
0,S9,ORCH,1040,model,used,0.2925732433795929,included_in_mean
