t,src,dst,bytes,kind,action,cos,reason
1,S10,S8,1789,head,sent,,
1,S15,S7,1783,head,sent,,
1,S4,S5,1791,head,sent,,
1,S7,S5,1791,head,sent,,
1,S13,S15,1789,head,sent,,
1,S11,S6,1789,head,sent,,
1,S3,S17,1793,head,sent,,
1,S8,S17,1795,head,sent,,
1,S5,S17,1796,head,sent,,
1,S6,S16,1787,head,sent,,
1,S9,S11,1795,head,sent,,
1,S2,S17,1785,head,sent,,
1,S16,S14,1789,head,sent,,
1,S7,S5,1791,head,received,,
1,S7,S5,1791,head,drop_cos,-0.031912289559841156,cos<0.0
1,S11,S6,1789,head,received,,
1,S11,S6,1789,head,drop_cos,-0.042735520750284195,cos<0.0
1,S10,S8,1789,head,received,,
1,S10,S8,1789,head,drop_cos,-0.05873917043209076,cos<0.0
1,S3,S17,1793,head,received,,
1,S3,S17,1793,head,buffered,0.1217329353094101,
1,S9,S11,1795,head,received,,
1,S9,S11,1795,head,drop_cos,-0.012711665593087673,cos<0.0
1,S4,S5,1791,head,received,,
1,S4,S5,1791,head,drop_cos,-0.08002601563930511,cos<0.0
1,S5,S17,1796,head,received,,
1,S5,S17,1796,head,buffered,0.16564176976680756,
1,S16,S14,1789,head,received,,
1,S16,S14,1789,head,drop_cos,-0.0491030253469944,cos<0.0
1,S15,S7,1783,head,received,,
1,S15,S7,1783,head,drop_cos,-0.02700898051261902,cos<0.0
1,S13,S15,1789,head,received,,
1,S13,S15,1789,head,buffered,0.08218596875667572,
1,S6,S16,1787,head,received,,
1,S6,S16,1787,head,drop_cos,-0.03303590416908264,cos<0.0
1,S2,S17,1785,head,received,,
1,S2,S17,1785,head,buffered,0.0873766541481018,
1,S8,S17,1795,head,received,,
1,S8,S17,1795,head,buffered,0.04247385635972023,
1,S17,S6,1787,head,sent,,
1,S17,S6,1787,head,received,,
1,S17,S6,1787,head,drop_cos,-0.016179019585251808,cos<0.0
2,S4,S17,1788,head,sent,,
2,S11,S2,1792,head,sent,,
2,S13,S11,1791,head,sent,,
