t,agent,neighbor,tau,score,contacts,reputation,self_p
1,S15,S17,1.0,1.2223455711051268,1,1.0,0.8
1,S16,S13,1.0,1.2223455711051268,1,1.0,0.8
1,S9,S8,1.0,1.2223455711051268,1,0.0,0.8453408968153958
1,S11,S10,1.0,1.2223455711051268,1,1.0,0.8569386555092723
1,S11,S7,1.0,1.2223455711051268,1,0.0,0.8569386555092723
1,S10,S9,1.0,1.2223455711051268,1,0.0,0.813233979749973
1,S7,S6,1.0,1.2223455711051268,1,0.0,0.819124800851475
1,S17,S11,1.0,1.2223455711051268,1,0.0,0.8078823350491389
2,S10,S9,0.995,1.2173455711051266,1,0.0,0.6505871837999785
2,S10,S17,1.0,1.2223455711051268,1,1.0,0.6505871837999785
2,S10,S6,1.0,1.2223455711051268,1,0.0,0.6505871837999785
2,S11,S10,0.995,1.2173455711051266,1,1.0,0.6855509244074178
2,S11,S7,0.995,1.2173455711051266,1,0.0,0.6855509244074178
2,S13,S2,1.0,1.2223455711051268,1,1.0,0.7419923996173696
2,S9,S8,0.995,1.2173455711051266,1,0.0,0.6762727174523167
2,S4,S7,1.0,1.2223455711051268,1,1.0,0.6400000000000001
2,S4,S14,1.0,1.2223455711051268,1,0.0,0.6400000000000001
2,S7,S6,0.995,1.2173455711051266,1,0.0,0.6608081155399188
2,S16,S13,0.995,1.2173455711051266,1,1.0,0.6456251810601001
2,S2,S5,1.0,1.2223455711051268,1,1.0,0.7161096714065284
2,S6,S15,1.0,1.2223455711051268,1,1.0,0.6879138447230941
2,S15,S17,0.995,1.2173455711051266,1,1.0,0.644173469718786
2,S15,S16,1.0,1.2223455711051268,1,0.0,0.644173469718786
2,S17,S11,0.995,1.2173455711051266,1,0.0,0.6560776164209657
3,S13,S2,0.995,1.2173455711051266,1,1.0,0.5935939196938957
3,S13,S7,1.0,1.2223455711051268,1,1.0,0.5935939196938957
3,S2,S5,0.995,1.2173455711051266,1,1.0,0.5728877371252227
3,S2,S11,1.0,1.2223455711051268,1,0.0,0.5728877371252227
3,S6,S15,0.995,1.2173455711051266,1,1.0,0.5503310757784753
3,S7,S6,0.990025,1.2123705711051267,1,0.0,0.5320052866657642
3,S7,S14,1.0,1.2223455711051268,1,1.0,0.5320052866657642
3,S7,S9,1.0,1.2223455711051268,1,0.0,0.5320052866657642
3,S9,S8,0.990025,1.2123705711051267,1,0.0,0.5697965756822544
3,S8,S17,1.0,1.2223455711051268,1,1.0,0.6195043962917182
3,S14,S16,1.0,1.2223455711051268,1,1.0,0.5197108318295197
3,S14,S3,1.0,1.2223455711051268,1,0.0,0.5197108318295197
3,S14,S15,1.0,1.2223455711051268,1,0.0,0.5197108318295197
3,S14,S4,1.0,1.2223455711051268,1,0.0,0.5197108318295197
3,S15,S17,0.990025,1.2123705711051267,1,1.0,0.5159039064018502
3,S15,S16,0.995,1.2173455711051266,1,0.0,0.5159039064018502
3,S11,S10,0.990025,1.2123705711051267,1,1.0,0.6105341881249684
3,S11,S7,0.990025,1.2123705711051267,1,0.0,0.6105341881249684
3,S5,S8,1.0,1.2223455711051268,1,1.0,0.712775079485935
3,S5,S10,1.0,1.2223455711051268,1,1.0,0.712775079485935
3,S10,S9,0.990025,1.2123705711051267,1,0.0,0.5657090821366605
3,S10,S17,0.995,1.2173455711051266,1,1.0,0.5657090821366605
3,S10,S6,0.995,1.2173455711051266,1,0.0,0.5657090821366605
3,S4,S7,0.995,1.2173455711051266,1,1.0,0.519446983656249
3,S4,S14,0.995,1.2173455711051266,1,0.0,0.519446983656249
3,S3,S5,1.0,1.2223455711051268,1,1.0,0.7120000000000002
3,S16,S13,0.990025,1.2123705711051267,1,1.0,0.5648586819095965
3,S17,S11,0.990025,1.2123705711051267,1,0.0,0.540826220083845
4,S2,S5,0.990025,1.2123705711051267,1,1.0,0.45831018970017817
4,S2,S11,0.995,1.1989333980337618,2,0.0,0.45831018970017817
4,S6,S15,0.990025,1.2123705711051267,1,1.0,0.44026486062278025
4,S5,S8,0.995,1.1989333980337618,2,1.0,0.770220063588748
4,S5,S10,0.995,1.1989333980337618,2,1.0,0.770220063588748
4,S14,S16,0.995,1.1989333980337618,2,0.0,0.41646129946919486
4,S14,S3,0.995,1.1989333980337618,2,0.0,0.41646129946919486
4,S14,S15,0.995,1.1989333980337618,2,0.0,0.41646129946919486
4,S14,S4,0.995,1.1989333980337618,2,0.0,0.41646129946919486
4,S9,S8,0.985074875,1.2074204461051268,1,0.0,0.6558372605458036
4,S8,S17,0.995,1.1989333980337618,2,1.0,0.5087179293636794
4,S16,S13,0.985074875,1.2074204461051268,1,1.0,0.45833743050391684
4,S10,S9,0.985074875,1.2074204461051268,1,0.0,0.458200207424223
4,S10,S17,0.990025,1.2123705711051267,1,1.0,0.458200207424223
4,S10,S6,0.990025,1.2123705711051267,1,0.0,0.458200207424223
4,S10,S13,1.0,1.2223455711051268,1,0.0,0.458200207424223
4,S4,S7,0.990025,1.2123705711051267,1,1.0,0.4236455278473807
4,S4,S14,0.990025,1.2123705711051267,1,0.0,0.4236455278473807
4,S15,S17,0.985074875,1.2074204461051268,1,1.0,0.4203873224616637
4,S15,S16,0.990025,1.2123705711051267,1,0.0,0.4203873224616637
4,S13,S2,0.990025,1.2123705711051267,1,1.0,0.6261015385412813
4,S13,S7,0.995,1.1989333980337618,2,1.0,0.6261015385412813
4,S7,S6,0.985074875,1.2074204461051268,1,0.0,0.42578495148313805
4,S7,S14,0.995,1.1989333980337618,2,1.0,0.42578495148313805
4,S7,S9,0.995,1.1989333980337618,2,0.0,0.42578495148313805
4,S3,S5,0.995,1.1989333980337618,2,1.0,0.6922278884590255
4,S11,S10,0.985074875,1.2074204461051268,1,1.0,0.5330985004545489
4,S11,S7,0.985074875,1.2074204461051268,1,0.0,0.5330985004545489
4,S17,S11,0.985074875,1.2074204461051268,1,0.0,0.4466043136979015
5,S11,S10,0.9801495006250001,1.2024950717301268,1,1.0,0.4264788003636391
5,S11,S7,0.9801495006250001,1.2024950717301268,1,0.0,0.4264788003636391
5,S14,S16,0.990025,1.180320436176928,3,0.0,0.33316903957535593
5,S14,S3,0.990025,1.180320436176928,3,0.0,0.33316903957535593
5,S14,S15,0.990025,1.180320436176928,3,0.0,0.33316903957535593
5,S14,S4,0.990025,1.180320436176928,3,0.0,0.33316903957535593
5,S8,S17,0.990025,1.180320436176928,3,1.0,0.5730580484134091
5,S3,S5,0.990025,1.180320436176928,3,1.0,0.6343733438406829
5,S2,S5,0.985074875,1.2074204461051268,1,1.0,0.37287023986903167
5,S2,S11,0.990025,1.1939583980337618,2,0.0,0.37287023986903167
5,S6,S15,0.985074875,1.2074204461051268,1,1.0,0.3558829648955517
5,S6,S2,1.0,1.2223455711051268,1,0.0,0.3558829648955517
5,S13,S2,0.985074875,1.2074204461051268,1,1.0,0.5180119332170848
5,S13,S7,0.990025,1.180320436176928,3,1.0,0.5180119332170848
5,S4,S7,0.985074875,1.2074204461051268,1,1.0,0.5176895420456211
5,S4,S14,0.985074875,1.2074204461051268,1,0.0,0.5176895420456211
5,S9,S8,0.9801495006250001,1.2024950717301268,1,0.0,0.5438590792028055
5,S5,S8,0.990025,1.180320436176928,3,1.0,0.6321812514385071
5,S5,S10,0.990025,1.180320436176928,3,1.0,0.6321812514385071
5,S16,S13,0.9801495006250001,1.2024950717301268,1,1.0,0.5341296552971095
5,S7,S6,0.9801495006250001,1.184082898658762,2,0.0,0.3454109038024781
5,S7,S14,0.990025,1.1939583980337618,2,1.0,0.3454109038024781
5,S7,S9,0.990025,1.180320436176928,3,0.0,0.3454109038024781
5,S10,S9,0.9801495006250001,1.2024950717301268,1,0.0,0.36773333988846785
5,S10,S17,0.985074875,1.2074204461051268,1,1.0,0.36773333988846785
5,S10,S6,0.985074875,1.2074204461051268,1,0.0,0.36773333988846785
5,S10,S13,0.995,1.1989333980337618,2,0.0,0.36773333988846785
5,S15,S17,0.9801495006250001,1.2024950717301268,1,1.0,0.34299151998641186
