t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,4160,0.0,0.0,0.14205682272909165,0,0
1,8320,0.0,0.0,0.14205682272909165,0,0
2,12480,0.0,0.0,0.14205682272909165,0,0
3,16640,0.0,0.0,0.14205682272909165,0,0
4,20800,0.0,0.0,0.14205682272909165,0,0
5,24960,0.0,0.0,0.14205682272909165,0,0
6,29120,0.0,0.0,0.14205682272909165,0,0
7,33280,0.0,0.0,0.14205682272909165,0,0
8,37440,0.0,0.0,0.14205682272909165,0,0
9,41600,0.0,0.0,0.14205682272909165,0,0
10,45760,0.0,0.0,0.14205682272909165,0,0
11,49920,0.0,0.0,0.14205682272909165,0,0
12,54080,0.0,0.0,0.4171579869317734,0,0
13,58240,0.0,0.0,0.41683246609844005,0,0
14,62400,0.0,0.0,0.41671011811102343,0,0
15,66560,0.0,0.0,0.416587999573199,0,0
16,70720,0.0,0.0,0.41671011811102343,0,0
17,74880,0.0,0.0,0.416587999573199,0,0
18,79040,0.0,0.0,0.41671011811102343,0,0
19,83200,0.0,0.0,0.41671011811102343,0,0
20,87360,0.0,0.0,0.6014140878608318,0,0
21,91520,0.0,0.0,0.6091808520643,0,0
22,95680,0.0,0.0,0.6653942094986348,0,0
23,99840,0.0,0.0,0.3988222396067259,0,0
24,104000,0.0,0.0,0.6786692599611732,0,0
25,108160,0.0,0.0,0.4204120261533876,0,0
26,112320,0.0,0.0,0.6992194219695879,0,0
27,116480,0.0,0.0,0.37664784944384283,0,0
28,120640,0.0,0.0,0.6122201105520569,0,0
29,124800,0.0,0.0,0.5383737671656139,0,0
30,128960,0.0,0.0,0.6443828655072518,0,0
31,133120,0.0,0.0,0.6841656933198862,0,0
32,137280,0.0,0.0,0.5973012913319979,0,0
33,141440,0.0,0.0,0.6235775544338928,0,0
34,145600,0.0,0.0,0.6481244195516149,0,0
35,149760,0.0,0.0,0.4126318649065035,0,0
36,153920,0.0,0.0,0.5335627801614219,0,0
37,158080,0.0,0.0,0.6765879202454949,0,0
38,162240,0.0,0.0,0.47346269933461155,0,0
39,166400,0.0,0.0,0.6257826132572655,0,0
40,170560,0.0,0.0,0.642087163507982,0,0
41,174720,0.0,0.0,0.4017149063810449,0,0
42,178880,0.0,0.0,0.6895683634255624,0,0
43,183040,0.0,0.0,0.5592039308100298,0,0
44,187200,0.0,0.0,0.590910123931542,0,0
45,191360,0.0,0.0,0.6244973156909257,0,0
46,195520,0.0,0.0,0.5928232027871766,0,0
47,199680,0.0,0.0,0.5438248120461601,0,0
48,203840,0.0,0.0,0.6330090626040895,0,0
49,208000,0.0,0.0,0.5653389293215548,0,0
50,212160,0.0,0.0,0.537901329694191,0,0
51,216320,0.0,0.0,0.6413418412193805,0,0
52,220480,0.0,0.0,0.5189942107129298,0,0
53,224640,0.0,0.0,0.6182139581530485,0,0
54,228800,0.0,0.0,0.676387076312302,0,0
55,232960,0.0,0.0,0.674113739981651,0,0
56,237120,0.0,0.0,0.5545380011206079,0,0
57,241280,0.0,0.0,0.6813129481942034,0,0
58,245440,0.0,0.0,0.6445933763014852,0,0
59,249600,0.0,0.0,0.6200601403411444,0,0
60,253760,0.0,0.0,0.6522485878606807,0,0
61,257920,0.0,0.0,0.5951165819637723,0,0
62,262080,0.0,0.0,0.6963513524540665,0,0
63,266240,0.0,0.0,0.5236475476489195,0,0
64,270400,0.0,0.0,0.6564794287337372,0,0
65,274560,0.0,0.0,0.5680836353180561,0,0
66,278720,0.0,0.0,0.6309216589406655,0,0
67,282880,0.0,0.0,0.6243134771407507,0,0
68,287040,0.0,0.0,0.6023653494542717,0,0
69,291200,0.0,0.0,0.6654444638294784,0,0
70,295360,0.0,0.0,0.4850272079435125,0,0
71,299520,0.0,0.0,0.6760684395141827,0,0
72,303680,0.0,0.0,0.567398857612661,0,0
73,307840,0.0,0.0,0.6691511791216487,0,0
74,312000,0.0,0.0,0.5584507449400306,0,0
75,316160,0.0,0.0,0.6196986375393259,0,0
76,320320,0.0,0.0,0.6608815788709793,0,0
77,324480,0.0,0.0,0.5798755845249403,0,0
78,328640,0.0,0.0,0.6994820409979625,0,0
79,332800,0.0,0.0,0.5699853058549571,0,0
80,336960,0.0,0.0,0.5805345435045661,0,0
81,341120,0.0,0.0,0.7256882159081173,0,0
82,345280,0.0,0.0,0.5468566948894195,0,0
83,349440,0.0,0.0,0.6983965908806349,0,0
84,353600,0.0,0.0,0.6795890821635991,0,0
85,357760,0.0,0.0,0.609999643937683,0,0
86,361920,0.0,0.0,0.6984823162872014,0,0
87,366080,0.0,0.0,0.6260694670952538,0,0
88,370240,0.0,0.0,0.627549036561403,0,0
89,374400,0.0,0.0,0.6786963387244445,0,0
90,378560,0.0,0.0,0.6718311713552312,0,0
91,382720,0.0,0.0,0.6560797088829083,0,0
92,386880,0.0,0.0,0.6723478420080446,0,0
93,391040,0.0,0.0,0.6383092751414493,0,0
94,395200,0.0,0.0,0.6687794058543353,0,0
95,399360,0.0,0.0,0.5844210768240907,0,0
96,403520,0.0,0.0,0.6717585485961957,0,0
97,407680,0.0,0.0,0.6330896197631315,0,0
98,411840,0.0,0.0,0.6252063051937281,0,0
99,416000,0.0,0.0,0.6329479549574146,0,0
