t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.09269662921348315,0,0
1,2080,0.0,0.0,0.13973365136155833,0,0
2,3120,0.0,0.0,0.13973365136155833,0,0
3,4160,0.0,0.0,0.13973365136155833,0,0
4,5200,0.0,0.0,0.13973365136155833,0,0
5,6240,0.0,0.0,0.13973365136155833,0,0
6,7280,0.0,0.0,0.13973365136155833,0,0
7,8320,0.0,0.0,0.13973365136155833,0,0
8,9360,0.0,0.0,0.13973365136155833,0,0
9,10400,0.0,0.0,0.13973365136155833,0,0
10,11440,0.0,0.0,0.13973365136155833,0,0
11,12480,0.0,0.0,0.34490673216781575,0,0
12,13520,0.0,0.0,0.4167593395843331,0,0
13,14560,0.0,0.0,0.38381574747486924,0,0
14,15600,0.0,0.0,0.4266679500243659,0,0
15,16640,0.0,0.0,0.5893126411447949,0,0
16,17680,0.0,0.0,0.6985461616389177,0,0
17,18720,0.0,0.0,0.6792808561820317,0,0
18,19760,0.0,0.0,0.6960521469614699,0,0
19,20800,0.0,0.0,0.6991410784021921,0,0
20,21840,0.0,0.0,0.6062896691853883,0,0
21,22880,0.0,0.0,0.6891145558593875,0,0
22,23920,0.0,0.0,0.693588098924567,0,0
23,24960,0.0,0.0,0.6993193315216216,0,0
24,26000,0.0,0.0,0.6940213238378962,0,0
25,27040,0.0,0.0,0.6915718307962757,0,0
26,28080,0.0,0.0,0.6924258083282522,0,0
27,29120,0.0,0.0,0.7080715760101324,0,0
28,30160,0.0,0.0,0.6996920297483622,0,0
29,31200,0.0,0.0,0.7751426829578821,0,0
30,32240,0.0,0.0,0.8058135077544168,0,0
31,33280,0.0,0.0,0.7740576844180644,0,0
32,34320,0.0,0.0,0.7002326639354748,0,0
33,35360,0.0,0.0,0.6988157833113708,0,0
34,36400,0.0,0.0,0.9924748523791351,0,0
35,37440,0.0,0.0,0.6989670218091396,0,0
36,38480,0.0,0.0,0.9958188988109067,0,0
37,39520,0.0,0.0,0.9821423387585787,0,0
38,40560,0.0,0.0,0.6950299468951429,0,0
39,41600,0.0,0.0,0.6984001806223472,0,0
40,42640,0.0,0.0,0.9939861943411141,0,0
41,43680,0.0,0.0,0.8210425416106991,0,0
42,44720,0.0,0.0,0.7003907711237196,0,0
43,45760,0.0,0.0,0.8354719652232011,0,0
44,46800,0.0,0.0,0.9008209043449982,0,0
45,47840,0.0,0.0,0.6954878901568633,0,0
46,48880,0.0,0.0,0.8092377701759801,0,0
47,49920,0.0,0.0,0.9929140258538359,0,0
48,50960,0.0,0.0,0.9932331177051575,0,0
49,52000,0.0,0.0,0.7316414912721487,0,0
50,53040,0.0,0.0,0.7514768293784021,0,0
51,54080,0.0,0.0,0.8813228665996039,0,0
52,55120,0.0,0.0,0.7630516311773627,0,0
53,56160,0.0,0.0,0.9959021853469847,0,0
54,57200,0.0,0.0,0.8259931240901983,0,0
55,58240,0.0,0.0,0.7027830782894013,0,0
56,59280,0.0,0.0,0.8873608261212989,0,0
57,60320,0.0,0.0,0.958920549022964,0,0
58,61360,0.0,0.0,0.9928470145735225,0,0
59,62400,0.0,0.0,0.7832720986551167,0,0
60,63440,0.0,0.0,0.799789089574897,0,0
61,64480,0.0,0.0,0.9943498564886123,0,0
62,65520,0.0,0.0,0.7031633787565537,0,0
63,66560,0.0,0.0,0.7031613197293327,0,0
64,67600,0.0,0.0,0.9677410647333892,0,0
65,68640,0.0,0.0,0.9831543646678663,0,0
66,69680,0.0,0.0,0.6974383498580283,0,0
67,70720,0.0,0.0,0.7033184273321893,0,0
68,71760,0.0,0.0,0.928636373889075,0,0
69,72800,0.0,0.0,0.994656448363217,0,0
70,73840,0.0,0.0,0.9959021853469847,0,0
71,74880,0.0,0.0,0.9864179656041947,0,0
72,75920,0.0,0.0,0.7651946006429264,0,0
73,76960,0.0,0.0,0.6973431816709947,0,0
74,78000,0.0,0.0,0.8152093724066127,0,0
75,79040,0.0,0.0,0.7745764362728297,0,0
76,80080,0.0,0.0,0.9963164379542544,0,0
77,81120,0.0,0.0,0.9762715751403103,0,0
78,82160,0.0,0.0,0.83987275870115,0,0
79,83200,0.0,0.0,0.9963164379542544,0,0
80,84240,0.0,0.0,0.8713015711776789,0,0
81,85280,0.0,0.0,0.7007659221024161,0,0
82,86320,0.0,0.0,0.7007659221024161,0,0
83,87360,0.0,0.0,0.7708440959263942,0,0
84,88400,0.0,0.0,0.8687320904478643,0,0
85,89440,0.0,0.0,0.9959021853469847,0,0
86,90480,0.0,0.0,0.9050342499196274,0,0
87,91520,0.0,0.0,0.8550579196437058,0,0
88,92560,0.0,0.0,0.9877240669411265,0,0
89,93600,0.0,0.0,0.9939363452231892,0,0
90,94640,0.0,0.0,0.7337046844793103,0,0
91,95680,0.0,0.0,0.7007701225112819,0,0
92,96720,0.0,0.0,0.9126873804272445,0,0
93,97760,0.0,0.0,0.9786903278733706,0,0
94,98800,0.0,0.0,0.9713330962616812,0,0
95,99840,0.0,0.0,0.9829112140439209,0,0
96,100880,0.0,0.0,0.9417573528288019,0,0
97,101920,0.0,0.0,0.700679445504905,0,0
98,102960,0.0,0.0,0.7049804192768317,0,0
99,104000,0.0,0.0,0.7764605668726304,0,0
