t,src,dst,bytes,kind,action,cos,reason
0,S2,ORCH,1040,model,send,,
0,S8,ORCH,1040,model,send,,
0,S10,ORCH,1040,model,send,,
0,S13,ORCH,1040,model,send,,
0,S5,ORCH,1040,model,send,,
0,S11,ORCH,1040,model,send,,
0,S6,ORCH,1040,model,send,,
0,S3,ORCH,1040,model,send,,
0,S14,ORCH,1040,model,send,,
0,S16,ORCH,1040,model,send,,
0,S15,ORCH,1040,model,send,,
0,S17,ORCH,1040,model,send,,
0,S4,ORCH,1040,model,send,,
0,S9,ORCH,1040,model,send,,
0,S7,ORCH,1040,model,send,,
0,S8,ORCH,1040,model,recv,,
0,S15,ORCH,1040,model,recv,,
0,S5,ORCH,1040,model,recv,,
0,S7,ORCH,1040,model,recv,,
0,S2,ORCH,1040,model,recv,,
0,S11,ORCH,1040,model,recv,,
0,S13,ORCH,1040,model,recv,,
0,S14,ORCH,1040,model,recv,,
0,S10,ORCH,1040,model,recv,,
0,S4,ORCH,1040,model,recv,,
0,S16,ORCH,1040,model,recv,,
0,S3,ORCH,1040,model,recv,,
0,S9,ORCH,1040,model,recv,,
0,S6,ORCH,1040,model,recv,,
0,S17,ORCH,1040,model,recv,,
0,S8,ORCH,1040,model,used,0.20698228478431702,included_in_mean
0,S15,ORCH,1040,model,used,0.19477969408035278,included_in_mean
0,S5,ORCH,1040,model,used,0.27110013365745544,included_in_mean
0,S7,ORCH,1040,model,used,0.38703393936157227,included_in_mean
0,S2,ORCH,1040,model,used,0.3123725354671478,included_in_mean
0,S11,ORCH,1040,model,used,0.10721955448389053,included_in_mean
0,S13,ORCH,1040,model,used,0.32345864176750183,included_in_mean
0,S14,ORCH,1040,model,used,0.20969243347644806,included_in_mean
0,S10,ORCH,1040,model,used,0.3411186933517456,included_in_mean
0,S4,ORCH,1040,model,used,0.32604068517684937,included_in_mean
0,S16,ORCH,1040,model,used,0.23113302886486053,included_in_mean
0,S3,ORCH,1040,model,used,0.3237795829772949,included_in_mean
0,S9,ORCH,1040,model,used,0.3546615242958069,included_in_mean
0,S6,ORCH,1040,model,used,0.24422848224639893,included_in_mean
0,S17,ORCH,1040,model,used,0.10654463618993759,included_in_mean
0,ORCH,S10,1040,model,send,,
0,ORCH,S10,1040,model,recv,,
0,ORCH,S11,1040,model,send,,
0,ORCH,S11,1040,model,recv,,
0,ORCH,S13,1040,model,send,,
0,ORCH,S13,1040,model,recv,,
0,ORCH,S14,1040,model,send,,
0,ORCH,S14,1040,model,recv,,
0,ORCH,S15,1040,model,send,,
0,ORCH,S15,1040,model,recv,,
0,ORCH,S16,1040,model,send,,
0,ORCH,S16,1040,model,recv,,
0,ORCH,S17,1040,model,send,,
0,ORCH,S17,1040,model,recv,,
0,ORCH,S2,1040,model,send,,
0,ORCH,S2,1040,model,recv,,
0,ORCH,S3,1040,model,send,,
0,ORCH,S3,1040,model,recv,,
0,ORCH,S4,1040,model,send,,
0,ORCH,S4,1040,model,recv,,
0,ORCH,S5,1040,model,send,,
0,ORCH,S5,1040,model,recv,,
0,ORCH,S6,1040,model,send,,
0,ORCH,S6,1040,model,recv,,
0,ORCH,S7,1040,model,send,,
0,ORCH,S7,1040,model,recv,,
0,ORCH,S8,1040,model,send,,
0,ORCH,S8,1040,model,recv,,
0,ORCH,S9,1040,model,send,,
0,ORCH,S9,1040,model,recv,,
1,S15,ORCH,1040,model,send,,
1,S16,ORCH,1040,model,send,,
1,S3,ORCH,1040,model,send,,
1,S17,ORCH,1040,model,send,,
1,S9,ORCH,1040,model,send,,
1,S8,ORCH,1040,model,send,,
1,S13,ORCH,1040,model,send,,
1,S14,ORCH,1040,model,send,,
1,S10,ORCH,1040,model,send,,
1,S5,ORCH,1040,model,send,,
1,S4,ORCH,1040,model,send,,
1,S2,ORCH,1040,model,send,,
1,S6,ORCH,1040,model,send,,
1,S7,ORCH,1040,model,send,,
1,S11,ORCH,1040,model,send,,
1,S11,ORCH,1040,model,recv,,
1,S13,ORCH,1040,model,recv,,
1,S3,ORCH,1040,model,recv,,
1,S14,ORCH,1040,model,recv,,
1,S4,ORCH,1040,model,recv,,
1,S15,ORCH,1040,model,recv,,
1,S2,ORCH,1040,model,recv,,
1,S6,ORCH,1040,model,recv,,
1,S5,ORCH,1040,model,recv,,
1,S16,ORCH,1040,model,recv,,
1,S7,ORCH,1040,model,recv,,
1,S17,ORCH,1040,model,recv,,
1,S8,ORCH,1040,model,recv,,
1,S10,ORCH,1040,model,recv,,
