t,agent,from,bytes,decision,cos_thresh,mode,trim_p,rolled_back
1,S10,S4,1795,accepted_in_agg,0.0,median,0.1,0
1,S16,S15,1795,accepted_in_agg,0.0,median,0.1,0
1,S16,S5,1793,accepted_in_agg,0.0,median,0.1,0
1,S8,S14,1789,accepted_in_agg,0.0,median,0.1,0
1,S14,S16,1785,accepted_in_agg,0.0,median,0.1,0
2,S5,S10,1794,accepted_in_agg,0.0,median,0.1,0
2,S7,S13,1797,accepted_in_agg,0.0,median,0.1,0
2,S13,S17,1797,accepted_in_agg,0.0,median,0.1,0
2,S17,S9,1792,accepted_in_agg,0.0,median,0.1,0
3,S5,S10,1797,accepted_in_agg,0.0,median,0.1,0
3,S14,S3,1797,accepted_in_agg,0.0,median,0.1,1
3,S14,S15,1797,accepted_in_agg,0.0,median,0.1,1
3,S10,S13,1793,accepted_in_agg,0.0,median,0.1,0
4,S13,S7,1800,accepted_in_agg,0.0,median,0.1,0
4,S14,S16,1789,accepted_in_agg,0.0,median,0.1,1
5,S14,S15,1800,accepted_in_agg,0.0,median,0.1,0
5,S14,S4,1802,accepted_in_agg,0.0,median,0.1,0
5,S5,S10,1800,accepted_in_agg,0.0,median,0.1,0
5,S10,S13,1797,accepted_in_agg,0.0,median,0.1,0
6,S7,S9,1797,accepted_in_agg,0.0,median,0.1,0
6,S14,S16,1783,accepted_in_agg,0.0,median,0.1,1
6,S14,S3,1804,accepted_in_agg,0.0,median,0.1,1
7,S5,S10,1796,accepted_in_agg,0.0,median,0.1,0
7,S14,S15,1803,accepted_in_agg,0.0,median,0.1,0
7,S14,S4,1801,accepted_in_agg,0.0,median,0.1,0
7,S10,S13,1798,accepted_in_agg,0.0,median,0.1,0
7,S13,S7,1792,accepted_in_agg,0.0,median,0.1,1
8,S13,S7,1796,accepted_in_agg,0.0,median,0.1,0
8,S14,S3,1795,accepted_in_agg,0.0,median,0.1,1
8,S7,S9,1799,accepted_in_agg,0.0,median,0.1,0
8,S7,S6,1801,accepted_in_agg,0.0,median,0.1,0
8,S10,S13,1799,accepted_in_agg,0.0,median,0.1,1
8,S5,S10,1793,accepted_in_agg,0.0,median,0.1,0
9,S14,S16,1792,accepted_in_agg,0.0,median,0.1,0
10,S13,S7,1798,accepted_in_agg,0.0,median,0.1,0
10,S5,S10,1799,accepted_in_agg,0.0,median,0.1,0
10,S14,S4,1798,accepted_in_agg,0.0,median,0.1,0
10,S14,S15,1801,accepted_in_agg,0.0,median,0.1,0
10,S14,S3,1802,accepted_in_agg,0.0,median,0.1,0
10,S14,S16,1790,accepted_in_agg,0.0,median,0.1,0
10,S7,S9,1798,accepted_in_agg,0.0,median,0.1,0
11,S10,S13,1800,accepted_in_agg,0.0,median,0.1,1
11,S14,S16,1798,accepted_in_agg,0.0,median,0.1,0
11,S14,S4,1800,accepted_in_agg,0.0,median,0.1,0
11,S7,S9,1799,accepted_in_agg,0.0,median,0.1,0
11,S7,S6,1801,accepted_in_agg,0.0,median,0.1,0
11,S13,S7,1793,accepted_in_agg,0.0,median,0.1,0
12,S14,S15,1800,accepted_in_agg,0.0,median,0.1,0
12,S5,S10,1798,accepted_in_agg,0.0,median,0.1,0
13,S7,S9,1807,accepted_in_agg,0.0,median,0.1,1
13,S7,S6,1798,accepted_in_agg,0.0,median,0.1,1
