t,src,dst,bytes,kind,action,cos,reason
1,S6,S15,1787,head,sent,,
1,S10,S9,1785,head,sent,,
1,S7,S14,1790,head,sent,,
1,S2,S8,1792,head,sent,,
1,S3,S16,1790,head,sent,,
1,S11,S4,1793,head,sent,,
1,S14,S15,1789,head,sent,,
1,S15,S5,1788,head,sent,,
1,S4,S9,1793,head,sent,,
1,S5,S13,1785,head,sent,,
1,S9,S2,1791,head,sent,,
1,S13,S7,1788,head,sent,,
1,S16,S5,1793,head,sent,,
1,S13,S7,1788,head,received,,
1,S13,S7,1788,head,drop_cos,-0.018289638683199883,cos<0.0
1,S14,S15,1789,head,received,,
1,S14,S15,1789,head,buffered,0.025566793978214264,
1,S16,S5,1793,head,received,,
1,S16,S5,1793,head,drop_cos,-0.030314935371279716,cos<0.0
1,S6,S15,1787,head,received,,
1,S6,S15,1787,head,buffered,0.023364603519439697,
1,S4,S9,1793,head,received,,
1,S4,S9,1793,head,drop_cos,-0.00517262052744627,cos<0.0
1,S3,S16,1790,head,received,,
1,S3,S16,1790,head,drop_cos,-0.1954497992992401,cos<0.0
1,S11,S4,1793,head,received,,
1,S11,S4,1793,head,buffered,0.02781938947737217,
1,S9,S2,1791,head,received,,
1,S9,S2,1791,head,buffered,0.050236597657203674,
1,S7,S14,1790,head,received,,
1,S7,S14,1790,head,buffered,0.09889450669288635,
1,S5,S13,1785,head,received,,
1,S5,S13,1785,head,drop_cos,-0.009330111555755138,cos<0.0
1,S2,S8,1792,head,received,,
1,S2,S8,1792,head,buffered,0.07062425464391708,
1,S10,S9,1785,head,received,,
1,S10,S9,1785,head,buffered,0.025031687691807747,
1,S15,S5,1788,head,received,,
1,S15,S5,1788,head,buffered,0.08078633248806,
1,S17,S14,1789,head,sent,,
1,S17,S14,1789,head,received,,
1,S17,S14,1789,head,drop_cos,-0.07586207240819931,cos<0.0
2,S9,S2,1798,head,sent,,
2,S3,S11,1795,head,sent,,
2,S6,S8,1787,head,sent,,
2,S14,S6,1795,head,sent,,
2,S7,S6,1789,head,sent,,
2,S2,S9,1802,head,sent,,
2,S11,S5,1795,head,sent,,
2,S11,S5,1795,head,received,,
2,S11,S5,1795,head,drop_cos,-0.06181323528289795,cos<0.0
2,S14,S6,1795,head,received,,
2,S14,S6,1795,head,drop_cos,-0.05281882733106613,cos<0.0
2,S9,S2,1798,head,received,,
2,S9,S2,1798,head,buffered,0.527982771396637,
2,S7,S6,1789,head,received,,
2,S7,S6,1789,head,buffered,0.016345800831913948,
2,S3,S11,1795,head,received,,
2,S3,S11,1795,head,buffered,0.017475876957178116,
2,S6,S8,1787,head,received,,
2,S6,S8,1787,head,drop_cos,-0.04602177068591118,cos<0.0
2,S2,S9,1802,head,received,,
2,S2,S9,1802,head,buffered,0.527982771396637,
2,S17,S3,1793,head,sent,,
2,S17,S3,1793,head,received,,
2,S17,S3,1793,head,buffered,0.020175345242023468,
3,S15,S10,1794,head,sent,,
3,S16,S2,1792,head,sent,,
3,S8,S17,1795,head,sent,,
3,S2,S11,1797,head,sent,,
3,S14,S15,1794,head,sent,,
3,S7,S5,1795,head,sent,,
3,S4,S5,1794,head,sent,,
3,S9,S4,1799,head,sent,,
3,S13,S5,1793,head,sent,,
3,S5,S10,1792,head,sent,,
3,S4,S5,1794,head,received,,
3,S4,S5,1794,head,drop_cos,-0.03646659851074219,cos<0.0
3,S13,S5,1793,head,received,,
3,S13,S5,1793,head,drop_cos,-0.026488184928894043,cos<0.0
3,S2,S11,1797,head,received,,
3,S2,S11,1797,head,drop_cos,-0.08174104243516922,cos<0.0
3,S16,S2,1792,head,received,,
3,S16,S2,1792,head,drop_cos,-0.021870840340852737,cos<0.0
3,S15,S10,1794,head,received,,
3,S15,S10,1794,head,drop_cos,-0.07538312673568726,cos<0.0
3,S8,S17,1795,head,received,,
3,S8,S17,1795,head,buffered,0.056277260184288025,
3,S9,S4,1799,head,received,,
3,S9,S4,1799,head,drop_cos,-0.039521947503089905,cos<0.0
3,S14,S15,1794,head,received,,
3,S14,S15,1794,head,buffered,0.2581750154495239,
3,S5,S10,1792,head,received,,
3,S5,S10,1792,head,drop_cos,-0.02272968366742134,cos<0.0
3,S7,S5,1795,head,received,,
3,S7,S5,1795,head,drop_cos,-0.0670725405216217,cos<0.0
3,S17,S5,1791,head,sent,,
3,S17,S5,1791,head,received,,
3,S17,S5,1791,head,buffered,0.030286021530628204,
4,S9,S4,1792,head,sent,,
4,S6,S4,1799,head,sent,,
4,S8,S17,1797,head,sent,,
4,S13,S5,1797,head,sent,,
4,S4,S5,1796,head,sent,,
4,S7,S5,1791,head,sent,,
4,S14,S15,1795,head,sent,,
4,S6,S4,1799,head,received,,
4,S6,S4,1799,head,drop_cos,-0.08487963676452637,cos<0.0
4,S9,S4,1792,head,received,,
4,S9,S4,1792,head,drop_cos,-0.043701399117708206,cos<0.0
4,S14,S15,1795,head,received,,
4,S14,S15,1795,head,buffered,0.8036137819290161,
4,S8,S17,1797,head,received,,
4,S8,S17,1797,head,buffered,0.6036106944084167,
4,S7,S5,1791,head,received,,
4,S7,S5,1791,head,drop_cos,-0.04203299432992935,cos<0.0
4,S13,S5,1797,head,received,,
4,S13,S5,1797,head,buffered,0.034844011068344116,
4,S4,S5,1796,head,received,,
4,S4,S5,1796,head,buffered,0.044113729149103165,
4,S17,S5,1795,head,sent,,
4,S17,S5,1795,head,received,,
4,S17,S5,1795,head,buffered,0.6982892155647278,
5,S14,S15,1794,head,sent,,
5,S15,S10,1793,head,sent,,
5,S4,S5,1792,head,sent,,
5,S16,S2,1793,head,sent,,
5,S11,S13,1798,head,sent,,
5,S7,S5,1802,head,sent,,
5,S10,S16,1798,head,sent,,
5,S13,S5,1791,head,sent,,
5,S8,S17,1793,head,sent,,
5,S5,S10,1806,head,sent,,
5,S11,S13,1798,head,received,,
