t,agent,neighbor,tau,score,contacts,reputation,self_p
1,S7,S6,1.0,1.2223455711051268,1,1.0,0.8
1,S9,S14,1.0286033519553073,1.250948923060434,1,0.0,0.8
1,S13,S3,1.0,1.2223455711051268,1,0.0,0.8
1,S16,S15,1.0,1.2223455711051268,1,1.0,0.8054357600832867
1,S16,S4,1.0,1.2223455711051268,1,0.0,0.8054357600832867
1,S3,S10,1.0,1.2223455711051268,1,1.0,0.868831875685745
1,S3,S11,1.0,1.2223455711051268,1,1.0,0.868831875685745
1,S10,S5,1.0,1.2223455711051268,1,0.5,1.0
1,S10,S8,1.0,1.2223455711051268,1,0.5,1.0
1,S5,S16,1.0,1.2223455711051268,1,0.5,0.9660419786024075
2,S5,S16,0.995,1.1989333980337618,2,0.0,0.772833582881926
2,S5,S8,1.0,1.2223455711051268,1,0.0,0.772833582881926
2,S9,S14,1.0234603351955307,1.2458059063006575,1,0.0,0.6400000000000001
2,S9,S11,1.0,1.2223455711051268,1,0.0,0.6400000000000001
2,S10,S5,0.995,1.2173455711051266,1,0.5,0.8
2,S10,S8,0.995,1.2173455711051266,1,0.5,0.8
2,S10,S14,1.0,1.2223455711051268,1,0.0,0.8
2,S4,S17,1.0,1.2223455711051268,1,1.0,0.8
2,S2,S3,1.0,1.2223455711051268,1,0.0,0.6442937374706316
2,S13,S3,0.995,1.2173455711051266,1,0.0,0.6758484698953138
2,S16,S15,0.995,1.2173455711051266,1,1.0,0.6457657756771231
2,S16,S4,0.995,1.2173455711051266,1,0.0,0.6457657756771231
2,S16,S13,1.0,1.2223455711051268,1,0.0,0.6457657756771231
2,S16,S2,1.0,1.2223455711051268,1,0.0,0.6457657756771231
2,S11,S7,1.0,1.2223455711051268,1,0.0,0.6939924155885927
2,S3,S10,0.995,1.2173455711051266,1,1.0,0.7873808765646235
2,S3,S11,0.995,1.2173455711051266,1,1.0,0.7873808765646235
2,S7,S6,0.995,1.2173455711051266,1,1.0,0.6507712767472432
2,S8,S6,1.0284919309961047,1.2508375021012315,1,0.0,0.7290232029828603
3,S11,S7,0.995,1.2173455711051266,1,0.0,0.5551939324708742
3,S11,S9,1.0,1.2223455711051268,1,0.0,0.5551939324708742
3,S4,S17,0.995,1.2173455711051266,1,1.0,0.6400000000000001
