t,agent,from,bytes,decision,cos_thresh,mode,trim_p,rolled_back
1,S7,S15,1795,accepted_in_agg,0.0,median,0.1,1
1,S9,S6,1786,accepted_in_agg,0.0,median,0.1,0
1,S5,S13,1792,accepted_in_agg,0.0,median,0.1,1
1,S5,S3,1792,accepted_in_agg,0.0,median,0.1,1
1,S8,S17,1787,accepted_in_agg,0.0,median,0.1,0
2,S7,S15,1791,accepted_in_agg,0.0,median,0.1,0
2,S13,S6,1789,accepted_in_agg,0.0,median,0.1,0
2,S10,S16,1785,accepted_in_agg,0.0,median,0.1,1
2,S10,S8,1796,accepted_in_agg,0.0,median,0.1,1
2,S6,S9,1795,accepted_in_agg,0.0,median,0.1,0
3,S6,S15,1798,accepted_in_agg,0.0,median,0.1,0
3,S7,S16,1788,accepted_in_agg,0.0,median,0.1,0
3,S16,S17,1792,accepted_in_agg,0.0,median,0.1,0
3,S15,S9,1797,accepted_in_agg,0.0,median,0.1,0
4,S14,S10,1790,accepted_in_agg,0.0,median,0.1,0
4,S9,S2,1794,accepted_in_agg,0.0,median,0.1,0
5,S9,S2,1799,accepted_in_agg,0.0,median,0.1,0
5,S14,S10,1793,accepted_in_agg,0.0,median,0.1,0
5,S7,S16,1807,accepted_in_agg,0.0,median,0.1,0
5,S6,S15,1797,accepted_in_agg,0.0,median,0.1,0
5,S16,S17,1792,accepted_in_agg,0.0,median,0.1,0
6,S14,S10,1790,accepted_in_agg,0.0,median,0.1,0
6,S9,S2,1803,accepted_in_agg,0.0,median,0.1,0
6,S16,S17,1795,accepted_in_agg,0.0,median,0.1,0
6,S6,S15,1794,accepted_in_agg,0.0,median,0.1,0
6,S2,S7,1803,accepted_in_agg,0.0,median,0.1,0
7,S6,S15,1793,accepted_in_agg,0.0,median,0.1,0
7,S2,S7,1797,accepted_in_agg,0.0,median,0.1,0
7,S14,S10,1788,accepted_in_agg,0.0,median,0.1,0
7,S9,S2,1795,accepted_in_agg,0.0,median,0.1,0
7,S15,S9,1797,accepted_in_agg,0.0,median,0.1,0
7,S16,S17,1790,accepted_in_agg,0.0,median,0.1,0
7,S17,S14,1792,accepted_in_agg,0.0,median,0.1,0
8,S2,S7,1801,accepted_in_agg,0.0,median,0.1,1
8,S7,S16,1794,accepted_in_agg,0.0,median,0.1,0
8,S14,S10,1792,accepted_in_agg,0.0,median,0.1,0
8,S15,S9,1796,accepted_in_agg,0.0,median,0.1,0
8,S17,S14,1790,accepted_in_agg,0.0,median,0.1,0
9,S7,S16,1797,accepted_in_agg,0.0,median,0.1,0
9,S6,S15,1794,accepted_in_agg,0.0,median,0.1,0
9,S2,S7,1792,accepted_in_agg,0.0,median,0.1,1
9,S14,S10,1791,accepted_in_agg,0.0,median,0.1,0
9,S9,S2,1797,accepted_in_agg,0.0,median,0.1,1
9,S15,S9,1793,accepted_in_agg,0.0,median,0.1,1
9,S17,S14,1797,accepted_in_agg,0.0,median,0.1,0
10,S15,S9,1795,accepted_in_agg,0.0,median,0.1,1
10,S9,S2,1798,accepted_in_agg,0.0,median,0.1,0
10,S14,S10,1791,accepted_in_agg,0.0,median,0.1,0
10,S16,S17,1792,accepted_in_agg,0.0,median,0.1,0
10,S2,S7,1797,accepted_in_agg,0.0,median,0.1,1
10,S7,S16,1793,accepted_in_agg,0.0,median,0.1,0
10,S17,S14,1797,accepted_in_agg,0.0,median,0.1,0
11,S9,S2,1794,accepted_in_agg,0.0,median,0.1,0
11,S6,S15,1796,accepted_in_agg,0.0,median,0.1,0
11,S2,S7,1797,accepted_in_agg,0.0,median,0.1,0
11,S15,S9,1800,accepted_in_agg,0.0,median,0.1,0
11,S17,S14,1795,accepted_in_agg,0.0,median,0.1,0
12,S2,S7,1799,accepted_in_agg,0.0,median,0.1,0
12,S15,S9,1795,accepted_in_agg,0.0,median,0.1,0
12,S7,S16,1795,accepted_in_agg,0.0,median,0.1,1
12,S17,S14,1797,accepted_in_agg,0.0,median,0.1,0
13,S7,S2,1800,accepted_in_agg,0.0,median,0.1,0
13,S6,S17,1794,accepted_in_agg,0.0,median,0.1,0
13,S10,S14,1795,accepted_in_agg,0.0,median,0.1,1
13,S9,S15,1798,accepted_in_agg,0.0,median,0.1,0
13,S15,S6,1794,accepted_in_agg,0.0,median,0.1,1
13,S17,S16,1795,accepted_in_agg,0.0,median,0.1,0
13,S2,S9,1800,accepted_in_agg,0.0,median,0.1,0
14,S6,S17,1801,accepted_in_agg,0.0,median,0.1,1
14,S16,S7,1797,accepted_in_agg,0.0,median,0.1,1
14,S10,S14,1802,accepted_in_agg,0.0,median,0.1,0
14,S2,S9,1789,accepted_in_agg,0.0,median,0.1,0
14,S9,S15,1797,accepted_in_agg,0.0,median,0.1,0
14,S7,S2,1792,accepted_in_agg,0.0,median,0.1,1
14,S17,S16,1800,accepted_in_agg,0.0,median,0.1,0
15,S2,S9,1790,accepted_in_agg,0.0,median,0.1,0
15,S15,S6,1798,accepted_in_agg,0.0,median,0.1,0
15,S16,S7,1799,accepted_in_agg,0.0,median,0.1,0
15,S10,S14,1799,accepted_in_agg,0.0,median,0.1,0
15,S7,S2,1804,accepted_in_agg,0.0,median,0.1,1
15,S9,S15,1795,accepted_in_agg,0.0,median,0.1,0
15,S17,S16,1800,accepted_in_agg,0.0,median,0.1,0
