t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,4160,0.0,0.0,0.14205682272909165,0,0
1,8320,0.0,0.0,0.16780902859844007,0,0
2,12480,0.0,0.0,0.14205682272909165,0,0
3,16640,0.0,0.0,0.14205682272909165,0,0
4,20800,0.0,0.0,0.14205682272909165,0,0
5,24960,0.0,0.0,0.14205682272909165,0,0
6,29120,0.0,0.0,0.14205682272909165,0,0
7,33280,0.0,0.0,0.14205682272909165,0,0
8,37440,0.0,0.0,0.14205682272909165,0,0
9,41600,0.0,0.0,0.14205682272909165,0,0
10,45760,0.0,0.0,0.14205682272909165,0,0
11,49920,0.0,0.0,0.4168747328879592,0,0
12,54080,0.0,0.0,0.4169130971024577,0,0
13,58240,0.0,0.0,0.41683246609844005,0,0
14,62400,0.0,0.0,0.41671011811102343,0,0
15,66560,0.0,0.0,0.41679099637737954,0,0
16,70720,0.0,0.0,0.41671011811102343,0,0
17,74880,0.0,0.0,0.41662931103489464,0,0
18,79040,0.0,0.0,0.7041095373924507,0,0
19,83200,0.0,0.0,0.6995007719151926,0,0
20,87360,0.0,0.0,0.48294182096290306,0,0
21,91520,0.0,0.0,0.6999651717065678,0,0
22,95680,0.0,0.0,0.7140699654073116,0,0
23,99840,0.0,0.0,0.6235571982366899,0,0
24,104000,0.0,0.0,0.6990511801153004,0,0
25,108160,0.0,0.0,0.5401624183884541,0,0
26,112320,0.0,0.0,0.6680337972901123,0,0
27,116480,0.0,0.0,0.634500631637207,0,0
28,120640,0.0,0.0,0.6865531750073838,0,0
29,124800,0.0,0.0,0.5956320419462249,0,0
30,128960,0.0,0.0,0.6465724423205992,0,0
31,133120,0.0,0.0,0.6795890821635991,0,0
32,137280,0.0,0.0,0.5742810490859162,0,0
33,141440,0.0,0.0,0.6619358442243016,0,0
34,145600,0.0,0.0,0.5024708338306038,0,0
35,149760,0.0,0.0,0.6987454167665503,0,0
36,153920,0.0,0.0,0.5998925171533092,0,0
37,158080,0.0,0.0,0.6307377430744789,0,0
38,162240,0.0,0.0,0.5748953155058562,0,0
39,166400,0.0,0.0,0.6248882228432535,0,0
40,170560,0.0,0.0,0.6635304045602353,0,0
41,174720,0.0,0.0,0.634004900511261,0,0
42,178880,0.0,0.0,0.6589625204037928,0,0
43,183040,0.0,0.0,0.6889899965863987,0,0
44,187200,0.0,0.0,0.6323733153484896,0,0
45,191360,0.0,0.0,0.6556139049019489,0,0
46,195520,0.0,0.0,0.6517238445930145,0,0
47,199680,0.0,0.0,0.6199081054907293,0,0
48,203840,0.0,0.0,0.6415698367783664,0,0
49,208000,0.0,0.0,0.618609844033494,0,0
50,212160,0.0,0.0,0.5356249130255851,0,0
51,216320,0.0,0.0,0.6986684719243816,0,0
52,220480,0.0,0.0,0.6397054910370747,0,0
53,224640,0.0,0.0,0.6311015544630384,0,0
54,228800,0.0,0.0,0.6056395774328481,0,0
55,232960,0.0,0.0,0.6215729144611666,0,0
56,237120,0.0,0.0,0.6522374338413264,0,0
57,241280,0.0,0.0,0.6213881757057975,0,0
58,245440,0.0,0.0,0.6481554859676601,0,0
59,249600,0.0,0.0,0.6987454167665503,0,0
60,253760,0.0,0.0,0.4735664450705853,0,0
61,257920,0.0,0.0,0.6832458967167935,0,0
62,262080,0.0,0.0,0.6550672757727997,0,0
63,266240,0.0,0.0,0.5655446374670942,0,0
64,270400,0.0,0.0,0.6638863277287593,0,0
65,274560,0.0,0.0,0.5816975486673266,0,0
66,278720,0.0,0.0,0.6652345673125761,0,0
67,282880,0.0,0.0,0.6281949511553082,0,0
68,287040,0.0,0.0,0.6028554276624492,0,0
69,291200,0.0,0.0,0.671564161292877,0,0
70,295360,0.0,0.0,0.632841975114943,0,0
71,299520,0.0,0.0,0.5674985341313168,0,0
72,303680,0.0,0.0,0.6827093744944883,0,0
73,307840,0.0,0.0,0.6200965909135225,0,0
74,312000,0.0,0.0,0.6468194176299045,0,0
75,316160,0.0,0.0,0.5437818800823075,0,0
76,320320,0.0,0.0,0.6480647743208229,0,0
77,324480,0.0,0.0,0.6720450293535204,0,0
78,328640,0.0,0.0,0.6695710445064128,0,0
79,332800,0.0,0.0,0.6646334534469541,0,0
80,336960,0.0,0.0,0.5326047869379867,0,0
81,341120,0.0,0.0,0.6914285012431394,0,0
82,345280,0.0,0.0,0.6806274216792914,0,0
83,349440,0.0,0.0,0.4522492228354965,0,0
84,353600,0.0,0.0,0.6787034483486855,0,0
85,357760,0.0,0.0,0.6715182254802076,0,0
86,361920,0.0,0.0,0.570113510652209,0,0
87,366080,0.0,0.0,0.67319052793395,0,0
88,370240,0.0,0.0,0.5811801007246875,0,0
89,374400,0.0,0.0,0.6752503588654085,0,0
90,378560,0.0,0.0,0.5498817113361248,0,0
91,382720,0.0,0.0,0.6855884903204037,0,0
92,386880,0.0,0.0,0.5835990046805837,0,0
93,391040,0.0,0.0,0.5917645366336852,0,0
94,395200,0.0,0.0,0.9665800697525222,0,0
95,399360,0.0,0.0,0.5421642231556727,0,0
96,403520,0.0,0.0,0.6598775929269919,0,0
97,407680,0.0,0.0,0.7334073291779258,0,0
98,411840,0.0,0.0,0.6575011054634977,0,0
99,416000,0.0,0.0,0.6656325064507895,0,0
