t,src,dst,bytes,kind,action,cos,reason
0,S13,S10,1040,model,send,,head
0,S14,S11,1040,model,send,,head
0,S17,S15,1040,model,send,,head
0,S11,S10,1040,model,send,,head
0,S15,S13,1040,model,send,,head
0,S8,S10,1040,model,send,,head
0,S9,S10,1040,model,send,,head
0,S5,S3,1040,model,send,,head
0,S10,S11,1040,model,send,,head
0,S6,S4,1040,model,send,,head
0,S4,S2,1040,model,send,,head
0,S2,S16,1040,model,send,,head
0,S3,S17,1040,model,send,,head
0,S7,S5,1040,model,send,,head
0,S16,S14,1040,model,send,,head
0,S7,S5,1040,model,recv,,
0,S9,S10,1040,model,recv,,
0,S5,S3,1040,model,recv,,
0,S16,S14,1040,model,recv,,
0,S4,S2,1040,model,recv,,
0,S8,S10,1040,model,recv,,
0,S17,S15,1040,model,recv,,
0,S15,S13,1040,model,recv,,
0,S10,S11,1040,model,recv,,
0,S13,S10,1040,model,recv,,
0,S2,S16,1040,model,recv,,
0,S3,S17,1040,model,recv,,
0,S11,S10,1040,model,recv,,
0,S14,S11,1040,model,recv,,
0,S6,S4,1040,model,recv,,
0,S11,S13,1040,model,send,,head
0,S13,S11,1040,model,send,,head
0,S7,S6,1040,model,send,,head
0,S14,S13,1040,model,send,,head
0,S6,S5,1040,model,send,,head
0,S17,S16,1040,model,send,,head
0,S3,S2,1040,model,send,,head
0,S16,S15,1040,model,send,,head
0,S10,S13,1040,model,send,,head
0,S5,S4,1040,model,send,,head
0,S9,S11,1040,model,send,,head
0,S8,S6,1040,model,send,,head
0,S2,S17,1040,model,send,,head
0,S4,S3,1040,model,send,,head
0,S15,S14,1040,model,send,,head
0,S5,S4,1040,model,recv,,
0,S9,S11,1040,model,recv,,
0,S4,S3,1040,model,recv,,
0,S6,S5,1040,model,recv,,
0,S3,S2,1040,model,recv,,
0,S10,S13,1040,model,recv,,
0,S2,S17,1040,model,recv,,
0,S13,S11,1040,model,recv,,
0,S8,S6,1040,model,recv,,
0,S11,S13,1040,model,recv,,
0,S17,S16,1040,model,recv,,
0,S15,S14,1040,model,recv,,
0,S7,S6,1040,model,recv,,
0,S14,S13,1040,model,recv,,
0,S16,S15,1040,model,recv,,
0,S14,S15,1040,model,send,,head
0,S8,S7,1040,model,send,,head
0,S15,S16,1040,model,send,,head
0,S4,S5,1040,model,send,,head
0,S2,S3,1040,model,send,,head
0,S9,S7,1040,model,send,,head
0,S5,S6,1040,model,send,,head
0,S10,S8,1040,model,send,,head
0,S16,S17,1040,model,send,,head
0,S7,S8,1040,model,send,,head
0,S3,S4,1040,model,send,,head
0,S17,S2,1040,model,send,,head
0,S11,S14,1040,model,send,,head
0,S6,S7,1040,model,send,,head
0,S13,S14,1040,model,send,,head
0,S3,S4,1040,model,recv,,
0,S6,S7,1040,model,recv,,
0,S5,S6,1040,model,recv,,
0,S4,S5,1040,model,recv,,
0,S16,S17,1040,model,recv,,
0,S13,S14,1040,model,recv,,
0,S14,S15,1040,model,recv,,
0,S11,S14,1040,model,recv,,
0,S10,S8,1040,model,recv,,
0,S15,S16,1040,model,recv,,
0,S9,S7,1040,model,recv,,
0,S8,S7,1040,model,recv,,
0,S2,S3,1040,model,recv,,
0,S17,S2,1040,model,recv,,
0,S7,S8,1040,model,recv,,
0,S7,S9,1040,model,send,,head
0,S13,S15,1040,model,send,,head
0,S3,S5,1040,model,send,,head
0,S10,S9,1040,model,send,,head
