t,src,dst,bytes,kind,action,cos,reason
0,S10,ORCH,1040,model,send,,
0,S3,ORCH,1040,model,send,,
0,S16,ORCH,1040,model,send,,
0,S6,ORCH,1040,model,send,,
0,S14,ORCH,1040,model,send,,
0,S17,ORCH,1040,model,send,,
0,S2,ORCH,1040,model,send,,
0,S7,ORCH,1040,model,send,,
0,S8,ORCH,1040,model,send,,
0,S9,ORCH,1040,model,send,,
0,S13,ORCH,1040,model,send,,
0,S4,ORCH,1040,model,send,,
0,S11,ORCH,1040,model,send,,
0,S5,ORCH,1040,model,send,,
0,S15,ORCH,1040,model,send,,
0,S17,ORCH,1040,model,recv,,
0,S11,ORCH,1040,model,recv,,
0,S7,ORCH,1040,model,recv,,
0,S9,ORCH,1040,model,recv,,
0,S15,ORCH,1040,model,recv,,
0,S14,ORCH,1040,model,recv,,
0,S6,ORCH,1040,model,recv,,
0,S8,ORCH,1040,model,recv,,
0,S10,ORCH,1040,model,recv,,
0,S4,ORCH,1040,model,recv,,
0,S13,ORCH,1040,model,recv,,
0,S16,ORCH,1040,model,recv,,
0,S5,ORCH,1040,model,recv,,
0,S3,ORCH,1040,model,recv,,
0,S2,ORCH,1040,model,recv,,
0,S17,ORCH,1040,model,used,0.1573500633239746,included_in_mean
0,S11,ORCH,1040,model,used,0.2662290334701538,included_in_mean
0,S7,ORCH,1040,model,used,0.22657130658626556,included_in_mean
0,S9,ORCH,1040,model,used,0.1845460683107376,included_in_mean
0,S15,ORCH,1040,model,used,0.28554973006248474,included_in_mean
0,S14,ORCH,1040,model,used,0.2751290798187256,included_in_mean
0,S6,ORCH,1040,model,used,0.26097750663757324,included_in_mean
0,S8,ORCH,1040,model,used,0.32408833503723145,included_in_mean
0,S10,ORCH,1040,model,used,0.2620738744735718,included_in_mean
0,S4,ORCH,1040,model,used,0.3465817868709564,included_in_mean
0,S13,ORCH,1040,model,used,0.2061299979686737,included_in_mean
0,S16,ORCH,1040,model,used,0.247388556599617,included_in_mean
0,S5,ORCH,1040,model,used,0.27246591448783875,included_in_mean
0,S3,ORCH,1040,model,used,0.2777026295661926,included_in_mean
0,S2,ORCH,1040,model,used,0.2013004869222641,included_in_mean
0,ORCH,S10,1040,model,send,,
0,ORCH,S10,1040,model,recv,,
0,ORCH,S11,1040,model,send,,
0,ORCH,S11,1040,model,recv,,
0,ORCH,S13,1040,model,send,,
0,ORCH,S13,1040,model,recv,,
0,ORCH,S14,1040,model,send,,
0,ORCH,S14,1040,model,recv,,
0,ORCH,S15,1040,model,send,,
0,ORCH,S15,1040,model,recv,,
0,ORCH,S16,1040,model,send,,
0,ORCH,S16,1040,model,recv,,
0,ORCH,S17,1040,model,send,,
0,ORCH,S17,1040,model,recv,,
0,ORCH,S2,1040,model,send,,
0,ORCH,S2,1040,model,recv,,
0,ORCH,S3,1040,model,send,,
0,ORCH,S3,1040,model,recv,,
0,ORCH,S4,1040,model,send,,
0,ORCH,S4,1040,model,recv,,
0,ORCH,S5,1040,model,send,,
0,ORCH,S5,1040,model,recv,,
0,ORCH,S6,1040,model,send,,
0,ORCH,S6,1040,model,recv,,
0,ORCH,S7,1040,model,send,,
0,ORCH,S7,1040,model,recv,,
0,ORCH,S8,1040,model,send,,
0,ORCH,S8,1040,model,recv,,
0,ORCH,S9,1040,model,send,,
0,ORCH,S9,1040,model,recv,,
1,S11,ORCH,1040,model,send,,
1,S14,ORCH,1040,model,send,,
1,S3,ORCH,1040,model,send,,
1,S13,ORCH,1040,model,send,,
1,S5,ORCH,1040,model,send,,
1,S9,ORCH,1040,model,send,,
1,S16,ORCH,1040,model,send,,
1,S8,ORCH,1040,model,send,,
1,S2,ORCH,1040,model,send,,
1,S10,ORCH,1040,model,send,,
1,S15,ORCH,1040,model,send,,
1,S4,ORCH,1040,model,send,,
1,S7,ORCH,1040,model,send,,
1,S6,ORCH,1040,model,send,,
1,S17,ORCH,1040,model,send,,
1,S17,ORCH,1040,model,recv,,
1,S8,ORCH,1040,model,recv,,
