t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,1.0,0.9957455607450773,0,0
1,1801,0.014951616801381249,0.8029903233602763,0.9953231205637304,0,0
2,1801,0.0,0.6423922586882211,0.9953231205637304,0,0
3,3602,0.0023227994517298865,0.514378366840923,0.9953231205637304,0,0
4,5398,0.00026515557196360624,0.4115557245871311,0.9953231205637304,0,0
5,5398,0.0,0.3292445796697049,0.9953231205637304,0,0
6,7196,3.448546167167561e-05,0.2634025608280982,0.9953231205637304,0,0
7,8990,0.0010066255861987724,0.21092337377971832,0.9953231205637304,0,0
8,8990,0.0,0.16873869902377467,0.9951878390193748,0,0
9,10787,0.0020791552647196152,0.13540679027196367,0.9951878390193748,0,0
10,10787,0.0,0.10832543221757095,0.9951878390193748,0,0
11,12580,0.0007467987359720956,0.08680970552125118,0.9951878390193748,0,0
12,12580,0.0,0.06944776441700094,0.9929696616913117,0,0
13,14373,0.006522695531587633,0.05686275063991828,0.9951878390193748,0,0
14,14373,0.0,0.04549020051193463,0.9951450524673635,0,0
15,14373,0.0,0.0363921604095477,0.9430170684900384,0,0
16,16174,0.1852274180979364,0.06615921194722545,0.9914260983359814,0,0
17,17972,0.02481799437068922,0.057890968431918204,0.9943743801973828,0,0
18,17972,0.0,0.046312774745534566,0.9937175785053618,0,0
19,17972,0.0,0.037050219796427655,0.9937175785053618,0,0
20,19771,0.0007471077447127467,0.029789597386084672,0.9937175785053618,0,0
21,21567,0.0005941231196141954,0.02395050253279058,0.9937175785053618,0,0
22,21567,0.0,0.019160402026232468,0.9937175785053618,0,0
23,23368,4.0044491764958105e-05,0.015336330519338966,0.9937175785053618,0,0
24,23368,0.0,0.012269064415471174,0.9937175785053618,0,0
25,23368,0.0,0.00981525153237694,0.9937175785053618,0,0
26,23368,0.0,0.007852201225901552,0.9937175785053618,0,0
27,23368,0.0,0.006281760980721242,0.9937175785053618,0,0
28,25164,0.00012996321721145745,0.0050514014280192854,0.9937175785053618,0,0
29,26964,4.6195210435435306e-05,0.004050360184502515,0.9937175785053618,0,0
30,26964,0.0,0.0032402881476020122,0.9937175785053618,0,0
31,26964,0.0,0.00259223051808161,0.9937175785053618,0,0
32,26964,0.0,0.002073784414465288,0.9937175785053618,0,0
33,28766,4.72962281128711e-05,0.0016684867771948047,0.9937175785053618,0,0
34,28766,0.0,0.0013347894217558439,0.9937175785053618,0,0
35,28766,0.0,0.0010678315374046752,0.9937175785053618,0,0
36,30564,6.895164525202307e-05,0.0008680555589741448,0.9937175785053618,0,0
37,30564,0.0,0.0006944444471793159,0.9937175785053618,0,0
38,30564,0.0,0.0005555555577434528,0.9937175785053618,0,0
39,30564,0.0,0.00044444444619476224,0.9934575054706264,0,0
40,30564,0.0,0.00035555555695580983,0.993238924884644,0,0
41,30564,0.0,0.00028444444556464786,0.993238924884644,0,0
42,30564,0.0,0.0002275555564517183,0.9929642381592365,0,0
43,30564,0.0,0.00018204444516137466,0.9927457308311122,0,0
44,32356,0.031426308032911916,0.006430897162711484,0.9960663265843237,0,0
45,34148,0.0012001375441796462,0.005384745239005117,0.9964372304776229,0,0
46,34148,0.0,0.004307796191204093,0.9960706001280893,0,0
47,35948,5.355261106520203e-05,0.003456947475176315,0.9960706001280893,0,0
48,37744,5.638300958892353e-05,0.002776834582058837,0.9960706001280893,0,0
49,39543,5.276004864681813e-05,0.002232019675376433,0.9960706001280893,0,0
