t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.939378993635588,0,0
1,2080,0.0,0.0,0.9903611596968175,0,0
2,3120,0.0,0.0,0.9925332791609631,0,0
3,4160,0.0,0.0,0.9917115096129849,0,0
4,5200,0.0,0.0,0.9902486336594106,0,0
5,6240,0.0,0.0,0.9884985552593242,0,0
6,7280,0.0,0.0,0.9902460418411442,0,0
7,8320,0.0,0.0,0.9913405413354814,0,0
8,9360,0.0,0.0,0.9919981157688746,0,0
9,10400,0.0,0.0,0.9924368679070834,0,0
10,11440,0.0,0.0,0.9926882356012948,0,0
11,12480,0.0,0.0,0.9934354295572134,0,0
12,13520,0.0,0.0,0.9921351792576056,0,0
13,14560,0.0,0.0,0.9263317776422367,0,0
14,15600,0.0,0.0,0.9282020245783953,0,0
15,16640,0.0,0.0,0.9359303528026266,0,0
16,17680,0.0,0.0,0.9436697683138768,0,0
17,18720,0.0,0.0,0.9734748336624587,0,0
18,19760,0.0,0.0,0.9925464497811324,0,0
19,20800,0.0,0.0,0.9934256533868222,0,0
20,21840,0.0,0.0,0.8661159934142538,0,0
21,22880,0.0,0.0,0.9921168659930107,0,0
22,23920,0.0,0.0,0.9934354295572134,0,0
23,24960,0.0,0.0,0.9252234364770767,0,0
24,26000,0.0,0.0,0.9940756404430241,0,0
25,27040,0.0,0.0,0.9947602699534654,0,0
26,28080,0.0,0.0,0.9936835270408033,0,0
27,29120,0.0,0.0,0.9949565655024469,0,0
28,30160,0.0,0.0,0.9941193972195496,0,0
29,31200,0.0,0.0,0.9945366933438805,0,0
30,32240,0.0,0.0,0.993854803652084,0,0
31,33280,0.0,0.0,0.9943619858943423,0,0
32,34320,0.0,0.0,0.9954192062618111,0,0
33,35360,0.0,0.0,0.9957589092359611,0,0
34,36400,0.0,0.0,0.9951041429224514,0,0
35,37440,0.0,0.0,0.9954721872299784,0,0
36,38480,0.0,0.0,0.9954721872299784,0,0
37,39520,0.0,0.0,0.9952297858900547,0,0
38,40560,0.0,0.0,0.995082413355331,0,0
39,41600,0.0,0.0,0.995082413355331,0,0
40,42640,0.0,0.0,0.995082413355331,0,0
41,43680,0.0,0.0,0.9947149358422291,0,0
42,44720,0.0,0.0,0.9947149358422291,0,0
43,45760,0.0,0.0,0.994348022928963,0,0
44,46800,0.0,0.0,0.994348022928963,0,0
45,47840,0.0,0.0,0.994348022928963,0,0
46,48880,0.0,0.0,0.994348022928963,0,0
47,49920,0.0,0.0,0.994348022928963,0,0
48,50960,0.0,0.0,0.994348022928963,0,0
49,52000,0.0,0.0,0.994348022928963,0,0
