t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.3332504352151206,0,0
1,2080,0.0,0.0,0.33308476261496395,0,0
2,3120,0.0,0.0,0.6658497674514683,0,0
3,4160,0.0,0.0,0.6656835997830904,0,0
4,5200,0.0,0.0,0.6658263970455293,0,0
5,6240,0.0,0.0,0.6649113362787039,0,0
6,7280,0.0,0.0,0.6645773415894515,0,0
7,8320,0.0,0.0,0.6645773415894515,0,0
8,9360,0.0,0.0,0.6649113362787039,0,0
9,10400,0.0,0.0,0.6639073482428115,0,0
10,11440,0.0,0.0,0.4978036343052318,0,0
11,12480,0.0,0.0,0.4985577566910907,0,0
12,13520,0.0,0.0,0.49729836474279066,0,0
13,14560,0.0,0.0,0.499182751102467,0,0
14,15600,0.0,0.0,0.4986203964402778,0,0
15,16640,0.0,0.0,0.4986830049476947,0,0
16,17680,0.0,0.0,0.4987455822367085,0,0
17,18720,0.0,0.0,0.4981184017094768,0,0
18,19760,0.0,0.0,0.49836964975888765,0,0
19,20800,0.0,0.0,0.49880812833066296,0,0
20,21840,0.0,0.0,0.4979925892016135,0,0
21,22880,0.0,0.0,0.4976775066753485,0,0
22,23920,0.0,0.0,0.49805551118210867,0,0
23,24960,0.0,0.0,0.49836964975888765,0,0
24,26000,0.0,0.0,0.6644320496452956,0,0
25,27040,0.0,0.0,0.4974880782079167,0,0
26,28080,0.0,0.0,0.6634225702711628,0,0
27,29120,0.0,0.0,0.6635924589526402,0,0
28,30160,0.0,0.0,0.6651841027540183,0,0
29,31200,0.0,0.0,0.6651608576705049,0,0
30,32240,0.0,0.0,0.6656603947486558,0,0
31,33280,0.0,0.0,0.6639901189354847,0,0
32,34320,0.0,0.0,0.6644928663451836,0,0
33,35360,0.0,0.0,0.6644928663451836,0,0
34,36400,0.0,0.0,0.6653274395670125,0,0
35,37440,0.0,0.0,0.6649113362787039,0,0
36,38480,0.0,0.0,0.6655773316590636,0,0
37,39520,0.0,0.0,0.6649106732635929,0,0
38,40560,0.0,0.0,0.6653278942555906,0,0
39,41600,0.0,0.0,0.6655773316590636,0,0
40,42640,0.0,0.0,0.6649113362787039,0,0
41,43680,0.0,0.0,0.6654110814434088,0,0
42,44720,0.0,0.0,0.6648502739012553,0,0
43,45760,0.0,0.0,0.6625574403238428,0,0
44,46800,0.0,0.0,0.6648271952537037,0,0
45,47840,0.0,0.0,0.6653274395670125,0,0
46,48880,0.0,0.0,0.6646601142356574,0,0
47,49920,0.0,0.0,0.6646593249386085,0,0
48,50960,0.0,0.0,0.6656603947486558,0,0
49,52000,0.0,0.0,0.6635713455734754,0,0
