t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.308065399358523,0,0
1,2080,0.0,0.0,0.29978586723768735,0,0
2,3120,0.0,0.0,0.29727015429562675,0,0
3,4160,0.0,0.0,0.28384315676034155,0,0
4,5200,0.0,0.0,0.28363453815261047,0,0
5,6240,0.0,0.0,0.283993399339934,0,0
6,7280,0.0,0.0,0.283993399339934,0,0
7,8320,0.0,0.0,0.28645202937141934,0,0
8,9360,0.0,0.0,0.2893738140417457,0,0
9,10400,0.0,0.0,0.28941548183254345,0,0
10,11440,0.0,0.0,0.2890995260663507,0,0
11,12480,0.0,0.0,0.28552940224864515,0,0
12,13520,0.0,0.0,0.2822926990419557,0,0
13,14560,0.0,0.0,0.2824635171902053,0,0
14,15600,0.0,0.0,0.28473915163334956,0,0
15,16640,0.0,0.0,0.28862857598214997,0,0
16,17680,0.0,0.0,0.28865652724968316,0,0
17,18720,0.0,0.0,0.2903124509342126,0,0
18,19760,0.0,0.0,0.2906303769748162,0,0
19,20800,0.0,0.0,0.29097433497152664,0,0
20,21840,0.0,0.0,0.29197416974169743,0,0
21,22880,0.0,0.0,0.2924780450553646,0,0
22,23920,0.0,0.0,0.29215017064846416,0,0
23,24960,0.0,0.0,0.29244001810774106,0,0
24,26000,0.0,0.0,0.2918261652780905,0,0
25,27040,0.0,0.0,0.29023629068212214,0,0
26,28080,0.0,0.0,0.2906326849988822,0,0
27,29120,0.0,0.0,0.2906708361253816,0,0
28,30160,0.0,0.0,0.2897907887927848,0,0
29,31200,0.0,0.0,0.2892915009574311,0,0
30,32240,0.0,0.0,0.2893999705145216,0,0
31,33280,0.0,0.0,0.2887370509147013,0,0
32,34320,0.0,0.0,0.28864018725769874,0,0
33,35360,0.0,0.0,0.28857686119643117,0,0
34,36400,0.0,0.0,0.28662466507350276,0,0
35,37440,0.0,0.0,0.28554954954954953,0,0
36,38480,0.0,0.0,0.2863340563991323,0,0
37,39520,0.0,0.0,0.2873538170988596,0,0
38,40560,0.0,0.0,0.2890207280451183,0,0
39,41600,0.0,0.0,0.28911939969101746,0,0
40,42640,0.0,0.0,0.2894193928676687,0,0
41,43680,0.0,0.0,0.2896561900545964,0,0
42,44720,0.0,0.0,0.2902867303845299,0,0
43,45760,0.0,0.0,0.29013167628347386,0,0
44,46800,0.0,0.0,0.28961144289611446,0,0
45,47840,0.0,0.0,0.2895162476106455,0,0
46,48880,0.0,0.0,0.28895723491505565,0,0
47,49920,0.0,0.0,0.2883435582822086,0,0
48,50960,0.0,0.0,0.28749909203166996,0,0
49,52000,0.0,0.0,0.28804426969564584,0,0
