t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,4160,0.0,0.0,0.15222868217054264,0,0
1,8320,0.0,0.0,0.3065619657460797,0,0
2,12480,0.0,0.0,0.30380970798684975,0,0
3,16640,0.0,0.0,0.3419004874090285,0,0
4,20800,0.0,0.0,0.3548213007361536,0,0
5,24960,0.0,0.0,0.7114505380818259,0,0
6,29120,0.0,0.0,0.8135260798302564,0,0
7,33280,0.0,0.0,0.8135260798302564,0,0
8,37440,0.0,0.0,0.7754616736452695,0,0
9,41600,0.0,0.0,0.824316509940278,0,0
10,45760,0.0,0.0,0.8468465846116643,0,0
11,49920,0.0,0.0,0.48722222747436167,0,0
12,54080,0.0,0.0,0.540166290331919,0,0
13,58240,0.0,0.0,0.8200648435053126,0,0
14,62400,0.0,0.0,0.3065619657460797,0,0
15,66560,0.0,0.0,0.5666920313620275,0,0
16,70720,0.0,0.0,0.58892355003038,0,0
17,74880,0.0,0.0,0.5619861399025805,0,0
18,79040,0.0,0.0,0.8838745524138782,0,0
19,83200,0.0,0.0,0.8774972682647013,0,0
20,87360,0.0,0.0,0.8841516403477951,0,0
21,91520,0.0,0.0,0.5832061820910815,0,0
22,95680,0.0,0.0,0.562291658477699,0,0
23,99840,0.0,0.0,0.5167938042154547,0,0
24,104000,0.0,0.0,0.5936126015178426,0,0
25,108160,0.0,0.0,0.5692106431097214,0,0
26,112320,0.0,0.0,0.6324004454588036,0,0
27,116480,0.0,0.0,0.6312877477737845,0,0
28,120640,0.0,0.0,0.6289750658716885,0,0
29,124800,0.0,0.0,0.9427684039713145,0,0
30,128960,0.0,0.0,0.9408303107587117,0,0
31,133120,0.0,0.0,0.9358492612593069,0,0
32,137280,0.0,0.0,0.9286598076044186,0,0
33,141440,0.0,0.0,0.9289362303302182,0,0
34,145600,0.0,0.0,0.9123578181424726,0,0
35,149760,0.0,0.0,0.6073083273558236,0,0
36,153920,0.0,0.0,0.9004756596267559,0,0
37,158080,0.0,0.0,0.616793231904472,0,0
38,162240,0.0,0.0,0.6072021204902914,0,0
39,166400,0.0,0.0,0.6167030350034881,0,0
40,170560,0.0,0.0,0.6499481269080065,0,0
41,174720,0.0,0.0,0.5925205001863799,0,0
42,178880,0.0,0.0,0.5963998339603126,0,0
43,183040,0.0,0.0,0.6068332417660366,0,0
44,187200,0.0,0.0,0.5922510016036788,0,0
45,191360,0.0,0.0,0.6188228302715552,0,0
46,195520,0.0,0.0,0.6238069465590262,0,0
47,199680,0.0,0.0,0.6263930617932422,0,0
48,203840,0.0,0.0,0.6273170285824073,0,0
49,208000,0.0,0.0,0.6280563482357204,0,0
