t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.323943661971831,0,0
1,2080,0.0,0.0,0.33201273984308244,0,0
2,3120,0.0,0.0,0.3319353836595216,0,0
3,4160,0.0,0.0,0.33178150217256364,0,0
4,5200,0.0,0.0,0.32811540822590546,0,0
5,6240,0.0,0.0,0.32416041240239557,0,0
6,7280,0.0,0.0,0.32401303326513603,0,0
7,8320,0.0,0.0,0.3239393939393939,0,0
8,9360,0.0,0.0,0.323865788078467,0,0
9,10400,0.0,0.0,0.323865788078467,0,0
10,11440,0.0,0.0,0.323865788078467,0,0
11,12480,0.0,0.0,0.323865788078467,0,0
12,13520,0.0,0.0,0.323865788078467,0,0
13,14560,0.0,0.0,0.323865788078467,0,0
14,15600,0.0,0.0,0.3237922156595487,0,0
15,16640,0.0,0.0,0.3235716988270904,0,0
16,17680,0.0,0.0,0.3229851197220334,0,0
17,18720,0.0,0.0,0.322473604826546,0,0
18,19760,0.0,0.0,0.3221820373719108,0,0
19,20800,0.0,0.0,0.3208042613849501,0,0
20,21840,0.0,0.0,0.3196531359796666,0,0
21,22880,0.0,0.0,0.3185814334674415,0,0
22,23920,0.0,0.0,0.3168111432170112,0,0
23,24960,0.0,0.0,0.31617864537119195,0,0
24,26000,0.0,0.0,0.3149211960524378,0,0
25,27040,0.0,0.0,0.31401924065506354,0,0
26,28080,0.0,0.0,0.3129162092938163,0,0
27,29120,0.0,0.0,0.3102597591060804,0,0
28,30160,0.0,0.0,0.3079138762871751,0,0
29,31200,0.0,0.0,0.3063256680277957,0,0
30,32240,0.0,0.0,0.304688613367536,0,0
31,33280,0.0,0.0,0.30397383948247675,0,0
32,34320,0.0,0.0,0.3035853745118921,0,0
33,35360,0.0,0.0,0.30319790115578243,0,0
34,36400,0.0,0.0,0.30287576143929734,0,0
35,37440,0.0,0.0,0.30223353124116487,0,0
36,38480,0.0,0.0,0.3015940189025251,0,0
37,39520,0.0,0.0,0.2997546442341395,0,0
38,40560,0.0,0.0,0.2983741539320354,0,0
39,41600,0.0,0.0,0.29762650518549455,0,0
40,42640,0.0,0.0,0.2971921045315541,0,0
41,43680,0.0,0.0,0.2964503605102607,0,0
42,44720,0.0,0.0,0.2951000690131125,0,0
43,45760,0.0,0.0,0.29273635927979735,0,0
44,46800,0.0,0.0,0.291300497309081,0,0
45,47840,0.0,0.0,0.2902919212491514,0,0
46,48880,0.0,0.0,0.2885290148448043,0,0
47,49920,0.0,0.0,0.2879644588045234,0,0
48,50960,0.0,0.0,0.2863453815261044,0,0
49,52000,0.0,0.0,0.2834990059642147,0,0
