t,src,dst,bytes,kind,action,cos,reason
0,S4,S2,1040,model,send,,head
0,S17,S15,1040,model,send,,head
0,S3,S17,1040,model,send,,head
0,S16,S14,1040,model,send,,head
0,S15,S13,1040,model,send,,head
0,S11,S10,1040,model,send,,head
0,S13,S10,1040,model,send,,head
0,S14,S11,1040,model,send,,head
0,S10,S11,1040,model,send,,head
0,S9,S10,1040,model,send,,head
0,S8,S10,1040,model,send,,head
0,S7,S5,1040,model,send,,head
0,S6,S4,1040,model,send,,head
0,S2,S16,1040,model,send,,head
0,S5,S3,1040,model,send,,head
0,S6,S4,1040,model,recv,,
0,S14,S11,1040,model,recv,,
0,S10,S11,1040,model,recv,,
0,S8,S10,1040,model,recv,,
0,S7,S5,1040,model,recv,,
0,S11,S10,1040,model,recv,,
0,S9,S10,1040,model,recv,,
0,S15,S13,1040,model,recv,,
0,S13,S10,1040,model,recv,,
0,S5,S3,1040,model,recv,,
0,S3,S17,1040,model,recv,,
0,S2,S16,1040,model,recv,,
0,S17,S15,1040,model,recv,,
0,S16,S14,1040,model,recv,,
0,S4,S2,1040,model,recv,,
0,S6,S5,1040,model,send,,head
0,S10,S13,1040,model,send,,head
0,S11,S13,1040,model,send,,head
0,S16,S15,1040,model,send,,head
0,S17,S16,1040,model,send,,head
0,S14,S13,1040,model,send,,head
0,S7,S6,1040,model,send,,head
0,S2,S17,1040,model,send,,head
0,S8,S6,1040,model,send,,head
0,S9,S11,1040,model,send,,head
0,S15,S14,1040,model,send,,head
0,S13,S11,1040,model,send,,head
0,S4,S3,1040,model,send,,head
0,S3,S2,1040,model,send,,head
0,S5,S4,1040,model,send,,head
0,S6,S5,1040,model,recv,,
0,S16,S15,1040,model,recv,,
0,S17,S16,1040,model,recv,,
0,S11,S13,1040,model,recv,,
0,S14,S13,1040,model,recv,,
0,S10,S13,1040,model,recv,,
0,S2,S17,1040,model,recv,,
0,S7,S6,1040,model,recv,,
0,S8,S6,1040,model,recv,,
0,S5,S4,1040,model,recv,,
0,S9,S11,1040,model,recv,,
0,S13,S11,1040,model,recv,,
0,S3,S2,1040,model,recv,,
0,S15,S14,1040,model,recv,,
0,S4,S3,1040,model,recv,,
0,S3,S4,1040,model,send,,head
0,S4,S5,1040,model,send,,head
0,S13,S14,1040,model,send,,head
0,S15,S16,1040,model,send,,head
0,S9,S7,1040,model,send,,head
0,S5,S6,1040,model,send,,head
0,S8,S7,1040,model,send,,head
0,S2,S3,1040,model,send,,head
0,S7,S8,1040,model,send,,head
0,S14,S15,1040,model,send,,head
0,S17,S2,1040,model,send,,head
0,S16,S17,1040,model,send,,head
0,S11,S14,1040,model,send,,head
0,S10,S8,1040,model,send,,head
0,S6,S7,1040,model,send,,head
0,S16,S17,1040,model,recv,,
0,S15,S16,1040,model,recv,,
0,S13,S14,1040,model,recv,,
0,S11,S14,1040,model,recv,,
0,S4,S5,1040,model,recv,,
0,S14,S15,1040,model,recv,,
0,S5,S6,1040,model,recv,,
0,S2,S3,1040,model,recv,,
0,S17,S2,1040,model,recv,,
0,S7,S8,1040,model,recv,,
0,S10,S8,1040,model,recv,,
0,S9,S7,1040,model,recv,,
0,S8,S7,1040,model,recv,,
0,S6,S7,1040,model,recv,,
0,S3,S4,1040,model,recv,,
0,S10,S9,1040,model,send,,head
0,S6,S8,1040,model,send,,head
0,S11,S9,1040,model,send,,head
0,S16,S2,1040,model,send,,head
0,S17,S3,1040,model,send,,head
0,S14,S16,1040,model,send,,head
0,S8,S9,1040,model,send,,head
0,S2,S4,1040,model,send,,head
0,S7,S9,1040,model,send,,head
0,S5,S7,1040,model,send,,head
0,S9,S8,1040,model,send,,head
0,S15,S17,1040,model,send,,head
0,S13,S15,1040,model,send,,head
0,S4,S6,1040,model,send,,head
0,S3,S5,1040,model,send,,head
0,S15,S17,1040,model,recv,,
0,S14,S16,1040,model,recv,,
0,S13,S15,1040,model,recv,,
0,S4,S6,1040,model,recv,,
0,S2,S4,1040,model,recv,,
0,S10,S9,1040,model,recv,,
0,S11,S9,1040,model,recv,,
0,S7,S9,1040,model,recv,,
0,S8,S9,1040,model,recv,,
0,S9,S8,1040,model,recv,,
0,S17,S3,1040,model,recv,,
0,S16,S2,1040,model,recv,,
0,S6,S8,1040,model,recv,,
0,S5,S7,1040,model,recv,,
0,S3,S5,1040,model,recv,,
0,S14,S11,1040,model,recv_keep,-0.007910794578492641,ok
0,S10,S11,1040,model,recv_keep,-0.12507376074790955,ok
0,S9,S11,1040,model,recv_keep,0.08482933044433594,ok
0,S13,S11,1040,model,recv_keep,-0.09001519531011581,ok
0,S16,S14,1040,model,recv_keep,0.1469321995973587,ok
0,S15,S14,1040,model,recv_keep,-0.09993859380483627,ok
0,S13,S14,1040,model,recv_keep,0.022991366684436798,ok
0,S11,S14,1040,model,recv_keep,-0.007910794578492641,ok
0,S8,S10,1040,model,recv_keep,-0.050475530326366425,ok
0,S11,S10,1040,model,recv_keep,-0.12507376074790955,ok
0,S9,S10,1040,model,recv_keep,-0.013832565397024155,ok
0,S13,S10,1040,model,recv_keep,0.05774596706032753,ok
0,S15,S13,1040,model,recv_keep,-0.09763604402542114,ok
0,S11,S13,1040,model,recv_keep,-0.09001519531011581,ok
0,S14,S13,1040,model,recv_keep,0.022991366684436798,ok
0,S10,S13,1040,model,recv_keep,0.05774596706032753,ok
0,S6,S4,1040,model,recv_keep,0.026958929374814034,ok
0,S5,S4,1040,model,recv_keep,-0.06632019579410553,ok
0,S3,S4,1040,model,recv_keep,0.02959921397268772,ok
0,S2,S4,1040,model,recv_keep,-0.012052084319293499,ok
0,S9,S7,1040,model,recv_keep,-0.01817156746983528,ok
0,S8,S7,1040,model,recv_keep,-0.0588688887655735,ok
0,S6,S7,1040,model,recv_keep,0.081548310816288,ok
0,S5,S7,1040,model,recv_keep,0.08082757145166397,ok
0,S7,S5,1040,model,recv_keep,0.08082757145166397,ok
0,S6,S5,1040,model,recv_keep,-0.0011167929042130709,ok
0,S4,S5,1040,model,recv_keep,-0.06632019579410553,ok
0,S3,S5,1040,model,recv_keep,-0.01202806830406189,ok
0,S10,S9,1040,model,recv_keep,-0.013832565397024155,ok
0,S11,S9,1040,model,recv_keep,0.08482933044433594,ok
0,S7,S9,1040,model,recv_keep,-0.01817156746983528,ok
0,S8,S9,1040,model,recv_keep,0.03058570623397827,ok
0,S2,S16,1040,model,recv_keep,-0.0812038853764534,ok
0,S17,S16,1040,model,recv_keep,-0.007066765800118446,ok
0,S15,S16,1040,model,recv_keep,-0.03441237285733223,ok
0,S14,S16,1040,model,recv_keep,0.1469321995973587,ok
0,S4,S2,1040,model,recv_keep,-0.012052084319293499,ok
0,S3,S2,1040,model,recv_keep,0.06182292476296425,ok
0,S17,S2,1040,model,recv_keep,0.08727932721376419,ok
0,S16,S2,1040,model,recv_keep,-0.0812038853764534,ok
0,S7,S8,1040,model,recv_keep,-0.0588688887655735,ok
0,S10,S8,1040,model,recv_keep,-0.050475530326366425,ok
0,S9,S8,1040,model,recv_keep,0.03058570623397827,ok
0,S6,S8,1040,model,recv_keep,0.06465786695480347,ok
0,S5,S3,1040,model,recv_keep,-0.01202806830406189,ok
0,S4,S3,1040,model,recv_keep,0.02959921397268772,ok
0,S2,S3,1040,model,recv_keep,0.06182292476296425,ok
0,S17,S3,1040,model,recv_keep,-0.0507926307618618,ok
0,S3,S17,1040,model,recv_keep,-0.0507926307618618,ok
0,S2,S17,1040,model,recv_keep,0.08727932721376419,ok
0,S16,S17,1040,model,recv_keep,-0.007066765800118446,ok
0,S15,S17,1040,model,recv_keep,0.0009500118321739137,ok
0,S7,S6,1040,model,recv_keep,0.081548310816288,ok
0,S8,S6,1040,model,recv_keep,0.06465786695480347,ok
0,S5,S6,1040,model,recv_keep,-0.0011167929042130709,ok
0,S4,S6,1040,model,recv_keep,0.026958929374814034,ok
0,S17,S15,1040,model,recv_keep,0.0009500118321739137,ok
0,S16,S15,1040,model,recv_keep,-0.03441237285733223,ok
0,S14,S15,1040,model,recv_keep,-0.09993859380483627,ok
0,S13,S15,1040,model,recv_keep,-0.09763604402542114,ok
1,S15,S13,1040,model,send,,head
1,S2,S16,1040,model,send,,head
1,S4,S2,1040,model,send,,head
1,S3,S17,1040,model,send,,head
1,S5,S3,1040,model,send,,head
1,S16,S14,1040,model,send,,head
1,S17,S15,1040,model,send,,head
1,S14,S11,1040,model,send,,head
1,S13,S10,1040,model,send,,head
1,S11,S10,1040,model,send,,head
1,S10,S11,1040,model,send,,head
1,S9,S10,1040,model,send,,head
1,S8,S10,1040,model,send,,head
1,S7,S5,1040,model,send,,head
1,S6,S4,1040,model,send,,head
1,S7,S5,1040,model,recv,,
1,S13,S10,1040,model,recv,,
1,S9,S10,1040,model,recv,,
1,S16,S14,1040,model,recv,,
1,S10,S11,1040,model,recv,,
1,S8,S10,1040,model,recv,,
1,S3,S17,1040,model,recv,,
1,S5,S3,1040,model,recv,,
1,S2,S16,1040,model,recv,,
1,S17,S15,1040,model,recv,,
1,S15,S13,1040,model,recv,,
1,S6,S4,1040,model,recv,,
1,S4,S2,1040,model,recv,,
1,S14,S11,1040,model,recv,,
1,S11,S10,1040,model,recv,,
1,S7,S6,1040,model,send,,head
1,S8,S6,1040,model,send,,head
1,S9,S11,1040,model,send,,head
1,S10,S13,1040,model,send,,head
1,S11,S13,1040,model,send,,head
1,S13,S11,1040,model,send,,head
1,S14,S13,1040,model,send,,head
1,S17,S16,1040,model,send,,head
1,S16,S15,1040,model,send,,head
1,S5,S4,1040,model,send,,head
1,S6,S5,1040,model,send,,head
1,S3,S2,1040,model,send,,head
1,S4,S3,1040,model,send,,head
1,S2,S17,1040,model,send,,head
