t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.10386473429951691,0,0
1,2080,0.0,0.0,0.14063745019920318,0,0
2,3120,0.0,0.0,0.14063745019920318,0,0
3,4160,0.0,0.0,0.14063745019920318,0,0
4,5200,0.0,0.0,0.14063745019920318,0,0
5,6240,0.0,0.0,0.14063745019920318,0,0
6,7280,0.0,0.0,0.14063745019920318,0,0
7,8320,0.0,0.0,0.14063745019920318,0,0
8,9360,0.0,0.0,0.14063745019920318,0,0
9,10400,0.0,0.0,0.14063745019920318,0,0
10,11440,0.0,0.0,0.14063745019920318,0,0
11,12480,0.0,0.0,0.4170779150236796,0,0
12,13520,0.0,0.0,0.3839912614612282,0,0
13,14560,0.0,0.0,0.3852383132208931,0,0
14,15600,0.0,0.0,0.3480318320523337,0,0
15,16640,0.0,0.0,0.38383679785874436,0,0
16,17680,0.0,0.0,0.43002379126856455,0,0
17,18720,0.0,0.0,0.4578351249536421,0,0
18,19760,0.0,0.0,0.4714153782320495,0,0
19,20800,0.0,0.0,0.5697939089662853,0,0
20,21840,0.0,0.0,0.5748000904624799,0,0
21,22880,0.0,0.0,0.8847596329398512,0,0
22,23920,0.0,0.0,0.898612939493098,0,0
23,24960,0.0,0.0,0.8225443940714893,0,0
24,26000,0.0,0.0,0.9380721321372573,0,0
25,27040,0.0,0.0,0.9082525326455907,0,0
26,28080,0.0,0.0,0.9192301083056926,0,0
27,29120,0.0,0.0,0.9155051225852129,0,0
28,30160,0.0,0.0,0.8508084826373438,0,0
29,31200,0.0,0.0,0.8249513129700755,0,0
30,32240,0.0,0.0,0.9184026566911576,0,0
31,33280,0.0,0.0,0.9628657043605013,0,0
32,34320,0.0,0.0,0.8325579172306685,0,0
33,35360,0.0,0.0,0.9010181043240896,0,0
34,36400,0.0,0.0,0.9206609376173881,0,0
35,37440,0.0,0.0,0.9237973311147495,0,0
36,38480,0.0,0.0,0.9467049307133913,0,0
37,39520,0.0,0.0,0.9494260735324949,0,0
38,40560,0.0,0.0,0.9580359388708376,0,0
39,41600,0.0,0.0,0.973960177729112,0,0
40,42640,0.0,0.0,0.866253491722921,0,0
41,43680,0.0,0.0,0.9131325078240988,0,0
42,44720,0.0,0.0,0.9262983294093362,0,0
43,45760,0.0,0.0,0.9352235282464044,0,0
44,46800,0.0,0.0,0.9360573419646914,0,0
45,47840,0.0,0.0,0.8474440488589396,0,0
46,48880,0.0,0.0,0.9886981583207926,0,0
47,49920,0.0,0.0,0.9916828295288926,0,0
48,50960,0.0,0.0,0.9387756817111106,0,0
49,52000,0.0,0.0,0.8620311968817997,0,0
50,53040,0.0,0.0,0.8534189996138234,0,0
51,54080,0.0,0.0,0.8483285552951089,0,0
52,55120,0.0,0.0,0.9410423397709485,0,0
53,56160,0.0,0.0,0.9921424871347722,0,0
54,57200,0.0,0.0,0.8853398561679147,0,0
55,58240,0.0,0.0,0.9908834586456532,0,0
56,59280,0.0,0.0,0.8302908284724526,0,0
57,60320,0.0,0.0,0.8346907925727701,0,0
58,61360,0.0,0.0,0.8309874339925492,0,0
59,62400,0.0,0.0,0.9893067904090438,0,0
60,63440,0.0,0.0,0.9921921583193756,0,0
61,64480,0.0,0.0,0.9565883755184621,0,0
62,65520,0.0,0.0,0.8354779307717131,0,0
63,66560,0.0,0.0,0.9911406723783132,0,0
64,67600,0.0,0.0,0.9737484312380998,0,0
65,68640,0.0,0.0,0.9308138760845022,0,0
66,69680,0.0,0.0,0.8790183499279964,0,0
67,70720,0.0,0.0,0.9396101924450928,0,0
68,71760,0.0,0.0,0.9719767810561302,0,0
69,72800,0.0,0.0,0.9872536595840045,0,0
70,73840,0.0,0.0,0.9441700425794944,0,0
71,74880,0.0,0.0,0.9387494211651382,0,0
72,75920,0.0,0.0,0.8368579563360712,0,0
73,76960,0.0,0.0,0.937473707071899,0,0
74,78000,0.0,0.0,0.9910698248635139,0,0
75,79040,0.0,0.0,0.9915080504535831,0,0
76,80080,0.0,0.0,0.9921691110173594,0,0
77,81120,0.0,0.0,0.9921691110173594,0,0
78,82160,0.0,0.0,0.9921691110173594,0,0
79,83200,0.0,0.0,0.9917307368355642,0,0
80,84240,0.0,0.0,0.945387888678421,0,0
81,85280,0.0,0.0,0.9908797652964718,0,0
82,86320,0.0,0.0,0.9910284235802228,0,0
83,87360,0.0,0.0,0.9908094422338507,0,0
84,88400,0.0,0.0,0.9897569119824293,0,0
85,89440,0.0,0.0,0.9297709655846798,0,0
86,90480,0.0,0.0,0.8862002569038268,0,0
87,91520,0.0,0.0,0.8503439020486699,0,0
88,92560,0.0,0.0,0.9918755575684484,0,0
89,93600,0.0,0.0,0.834448033396835,0,0
90,94640,0.0,0.0,0.9930038946796821,0,0
91,95680,0.0,0.0,0.9930303349445764,0,0
92,96720,0.0,0.0,0.9107751364906258,0,0
93,97760,0.0,0.0,0.9918759982344827,0,0
94,98800,0.0,0.0,0.9243230279091197,0,0
95,99840,0.0,0.0,0.8691158570228372,0,0
96,100880,0.0,0.0,0.7500398481497357,0,0
97,101920,0.0,0.0,0.9414164073078557,0,0
98,102960,0.0,0.0,0.9923178439620828,0,0
99,104000,0.0,0.0,0.9914666060725303,0,0
