t,src,dst,bytes,kind,action,cos,reason
0,S6,ORCH,1040,model,send,,
0,S4,ORCH,1040,model,send,,
0,S13,ORCH,1040,model,send,,
0,S7,ORCH,1040,model,send,,
0,S8,ORCH,1040,model,send,,
0,S5,ORCH,1040,model,send,,
0,S14,ORCH,1040,model,send,,
0,S11,ORCH,1040,model,send,,
0,S3,ORCH,1040,model,send,,
0,S17,ORCH,1040,model,send,,
0,S15,ORCH,1040,model,send,,
0,S9,ORCH,1040,model,send,,
0,S16,ORCH,1040,model,send,,
0,S10,ORCH,1040,model,send,,
0,S2,ORCH,1040,model,send,,
0,S5,ORCH,1040,model,recv,,
0,S11,ORCH,1040,model,recv,,
0,S14,ORCH,1040,model,recv,,
0,S6,ORCH,1040,model,recv,,
0,S8,ORCH,1040,model,recv,,
0,S9,ORCH,1040,model,recv,,
0,S7,ORCH,1040,model,recv,,
0,S15,ORCH,1040,model,recv,,
0,S4,ORCH,1040,model,recv,,
0,S2,ORCH,1040,model,recv,,
0,S10,ORCH,1040,model,recv,,
0,S13,ORCH,1040,model,recv,,
0,S17,ORCH,1040,model,recv,,
0,S16,ORCH,1040,model,recv,,
0,S3,ORCH,1040,model,recv,,
0,S5,ORCH,1040,model,used,0.18685020506381989,included_in_mean
0,S11,ORCH,1040,model,used,0.2167099565267563,included_in_mean
0,S14,ORCH,1040,model,used,0.26243624091148376,included_in_mean
0,S6,ORCH,1040,model,used,0.26177480816841125,included_in_mean
0,S8,ORCH,1040,model,used,0.35407713055610657,included_in_mean
0,S9,ORCH,1040,model,used,0.32797300815582275,included_in_mean
0,S7,ORCH,1040,model,used,0.25971415638923645,included_in_mean
0,S15,ORCH,1040,model,used,0.25334301590919495,included_in_mean
0,S4,ORCH,1040,model,used,0.2013038545846939,included_in_mean
0,S2,ORCH,1040,model,used,0.21123719215393066,included_in_mean
0,S10,ORCH,1040,model,used,0.24349476397037506,included_in_mean
0,S13,ORCH,1040,model,used,0.17698845267295837,included_in_mean
0,S17,ORCH,1040,model,used,0.3215470016002655,included_in_mean
0,S16,ORCH,1040,model,used,0.21586616337299347,included_in_mean
0,S3,ORCH,1040,model,used,0.26681026816368103,included_in_mean
0,ORCH,S10,1040,model,send,,
0,ORCH,S10,1040,model,recv,,
0,ORCH,S11,1040,model,send,,
0,ORCH,S11,1040,model,recv,,
0,ORCH,S13,1040,model,send,,
0,ORCH,S13,1040,model,recv,,
0,ORCH,S14,1040,model,send,,
0,ORCH,S14,1040,model,recv,,
0,ORCH,S15,1040,model,send,,
0,ORCH,S15,1040,model,recv,,
0,ORCH,S16,1040,model,send,,
0,ORCH,S16,1040,model,recv,,
0,ORCH,S17,1040,model,send,,
0,ORCH,S17,1040,model,recv,,
0,ORCH,S2,1040,model,send,,
0,ORCH,S2,1040,model,recv,,
0,ORCH,S3,1040,model,send,,
0,ORCH,S3,1040,model,recv,,
0,ORCH,S4,1040,model,send,,
0,ORCH,S4,1040,model,recv,,
0,ORCH,S5,1040,model,send,,
0,ORCH,S5,1040,model,recv,,
0,ORCH,S6,1040,model,send,,
0,ORCH,S6,1040,model,recv,,
0,ORCH,S7,1040,model,send,,
0,ORCH,S7,1040,model,recv,,
0,ORCH,S8,1040,model,send,,
0,ORCH,S8,1040,model,recv,,
0,ORCH,S9,1040,model,send,,
0,ORCH,S9,1040,model,recv,,
1,S8,ORCH,1040,model,send,,
1,S11,ORCH,1040,model,send,,
1,S9,ORCH,1040,model,send,,
1,S13,ORCH,1040,model,send,,
1,S17,ORCH,1040,model,send,,
1,S14,ORCH,1040,model,send,,
1,S15,ORCH,1040,model,send,,
1,S16,ORCH,1040,model,send,,
1,S2,ORCH,1040,model,send,,
1,S5,ORCH,1040,model,send,,
1,S6,ORCH,1040,model,send,,
1,S7,ORCH,1040,model,send,,
1,S3,ORCH,1040,model,send,,
1,S4,ORCH,1040,model,send,,
1,S10,ORCH,1040,model,send,,
1,S16,ORCH,1040,model,recv,,
1,S3,ORCH,1040,model,recv,,
1,S2,ORCH,1040,model,recv,,
1,S11,ORCH,1040,model,recv,,
1,S4,ORCH,1040,model,recv,,
1,S5,ORCH,1040,model,recv,,
1,S10,ORCH,1040,model,recv,,
1,S15,ORCH,1040,model,recv,,
1,S9,ORCH,1040,model,recv,,
1,S13,ORCH,1040,model,recv,,
1,S14,ORCH,1040,model,recv,,
1,S8,ORCH,1040,model,recv,,
1,S17,ORCH,1040,model,recv,,
1,S7,ORCH,1040,model,recv,,
1,S6,ORCH,1040,model,recv,,
1,S16,ORCH,1040,model,used,0.983189046382904,included_in_mean
1,S3,ORCH,1040,model,used,0.9824502468109131,included_in_mean
1,S2,ORCH,1040,model,used,0.9825589060783386,included_in_mean
1,S11,ORCH,1040,model,used,0.9824841618537903,included_in_mean
1,S4,ORCH,1040,model,used,0.982261061668396,included_in_mean
1,S5,ORCH,1040,model,used,0.9818729758262634,included_in_mean
1,S10,ORCH,1040,model,used,0.9811480641365051,included_in_mean
1,S15,ORCH,1040,model,used,0.9814508557319641,included_in_mean
1,S9,ORCH,1040,model,used,0.9772710204124451,included_in_mean
1,S13,ORCH,1040,model,used,0.9833446145057678,included_in_mean
1,S14,ORCH,1040,model,used,0.9820722341537476,included_in_mean
1,S8,ORCH,1040,model,used,0.9809161424636841,included_in_mean
1,S17,ORCH,1040,model,used,0.98250812292099,included_in_mean
1,S7,ORCH,1040,model,used,0.9820152521133423,included_in_mean
1,S6,ORCH,1040,model,used,0.9790859222412109,included_in_mean
1,ORCH,S10,1040,model,send,,
1,ORCH,S10,1040,model,recv,,
1,ORCH,S11,1040,model,send,,
1,ORCH,S11,1040,model,recv,,
1,ORCH,S13,1040,model,send,,
1,ORCH,S13,1040,model,recv,,
1,ORCH,S14,1040,model,send,,
1,ORCH,S14,1040,model,recv,,
1,ORCH,S15,1040,model,send,,
1,ORCH,S15,1040,model,recv,,
1,ORCH,S16,1040,model,send,,
1,ORCH,S16,1040,model,recv,,
1,ORCH,S17,1040,model,send,,
1,ORCH,S17,1040,model,recv,,
1,ORCH,S2,1040,model,send,,
