t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,4160,0.0,0.0,0.10265544041450778,0,0
1,8320,0.0,0.0,0.1329740833771443,0,0
2,12480,0.0,0.0,0.13862163754172394,0,0
3,16640,0.0,0.0,0.13862163754172394,0,0
4,20800,0.0,0.0,0.13862163754172394,0,0
5,24960,0.0,0.0,0.13862163754172394,0,0
6,29120,0.0,0.0,0.13862163754172394,0,0
7,33280,0.0,0.0,0.13862163754172394,0,0
8,37440,0.0,0.0,0.13862163754172394,0,0
9,41600,0.0,0.0,0.13862163754172394,0,0
10,45760,0.0,0.0,0.1515272834916446,0,0
11,49920,0.0,0.0,0.4171553117234075,0,0
12,54080,0.0,0.0,0.3991206812784593,0,0
13,58240,0.0,0.0,0.38818870312900977,0,0
14,62400,0.0,0.0,0.5995461110093225,0,0
15,66560,0.0,0.0,0.5822277042014364,0,0
16,70720,0.0,0.0,0.701734732921673,0,0
17,74880,0.0,0.0,0.701544633663023,0,0
18,79040,0.0,0.0,0.6999338133859518,0,0
19,83200,0.0,0.0,0.7012746546573891,0,0
20,87360,0.0,0.0,0.6996640466857562,0,0
21,91520,0.0,0.0,0.7012347983485312,0,0
22,95680,0.0,0.0,0.43651768561327836,0,0
23,99840,0.0,0.0,0.7000134762741985,0,0
24,104000,0.0,0.0,0.70100473150176,0,0
25,108160,0.0,0.0,0.6978563137764191,0,0
26,112320,0.0,0.0,0.9578657697314703,0,0
27,116480,0.0,0.0,0.9926821442650705,0,0
28,120640,0.0,0.0,0.9953300781987324,0,0
29,124800,0.0,0.0,0.9953231205637304,0,0
30,128960,0.0,0.0,0.9951878390193748,0,0
31,133120,0.0,0.0,0.9951878390193748,0,0
32,137280,0.0,0.0,0.9823088499914017,0,0
33,141440,0.0,0.0,0.9951878390193748,0,0
34,145600,0.0,0.0,0.9953231205637304,0,0
35,149760,0.0,0.0,0.9951878390193748,0,0
36,153920,0.0,0.0,0.9953231205637304,0,0
37,158080,0.0,0.0,0.9957455607450773,0,0
38,162240,0.0,0.0,0.9953231205637304,0,0
39,166400,0.0,0.0,0.9951878390193748,0,0
40,170560,0.0,0.0,0.9953231205637304,0,0
41,174720,0.0,0.0,0.9953231205637304,0,0
42,178880,0.0,0.0,0.9951878390193748,0,0
43,183040,0.0,0.0,0.9953231205637304,0,0
44,187200,0.0,0.0,0.9953231205637304,0,0
45,191360,0.0,0.0,0.9951878390193748,0,0
46,195520,0.0,0.0,0.9951878390193748,0,0
47,199680,0.0,0.0,0.9953231205637304,0,0
48,203840,0.0,0.0,0.9931165360596192,0,0
49,208000,0.0,0.0,0.9953231205637304,0,0
