t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.22253073883986266,0,0
1,2080,0.0,0.0,0.14205682272909165,0,0
2,3120,0.0,0.0,0.14205682272909165,0,0
3,4160,0.0,0.0,0.14205682272909165,0,0
4,5200,0.0,0.0,0.14205682272909165,0,0
5,6240,0.0,0.0,0.14205682272909165,0,0
6,7280,0.0,0.0,0.14205682272909165,0,0
7,8320,0.0,0.0,0.14205682272909165,0,0
8,9360,0.0,0.0,0.14205682272909165,0,0
9,10400,0.0,0.0,0.14205682272909165,0,0
10,11440,0.0,0.0,0.14205682272909165,0,0
11,12480,0.0,0.0,0.14205682272909165,0,0
12,13520,0.0,0.0,0.4170778520170104,0,0
13,14560,0.0,0.0,0.41703542715461484,0,0
14,15600,0.0,0.0,0.4169130971024577,0,0
15,16640,0.0,0.0,0.41683246609844005,0,0
16,17680,0.0,0.0,0.6998304928244784,0,0
17,18720,0.0,0.0,0.6091808520643,0,0
18,19760,0.0,0.0,0.45225710387787055,0,0
19,20800,0.0,0.0,0.6330520566621337,0,0
20,21840,0.0,0.0,0.49502318905427056,0,0
21,22880,0.0,0.0,0.6826756192027412,0,0
22,23920,0.0,0.0,0.47988216038657705,0,0
23,24960,0.0,0.0,0.4599185048374098,0,0
24,26000,0.0,0.0,0.6837281475630944,0,0
25,27040,0.0,0.0,0.41915075109093014,0,0
26,28080,0.0,0.0,0.6980043072089673,0,0
27,29120,0.0,0.0,0.5994804261157274,0,0
28,30160,0.0,0.0,0.38916705159343545,0,0
29,31200,0.0,0.0,0.6307153422232527,0,0
30,32240,0.0,0.0,0.4958176137214649,0,0
31,33280,0.0,0.0,0.6733127784163654,0,0
32,34320,0.0,0.0,0.6171137484448543,0,0
33,35360,0.0,0.0,0.4960761519695742,0,0
34,36400,0.0,0.0,0.5225560150935926,0,0
35,37440,0.0,0.0,0.5923162429001674,0,0
36,38480,0.0,0.0,0.39710662944157815,0,0
37,39520,0.0,0.0,0.6126100209111152,0,0
38,40560,0.0,0.0,0.4563188607836769,0,0
39,41600,0.0,0.0,0.6221163081097935,0,0
40,42640,0.0,0.0,0.4165320676873048,0,0
41,43680,0.0,0.0,0.5448361927201288,0,0
42,44720,0.0,0.0,0.6724399924895093,0,0
43,45760,0.0,0.0,0.4960507859624996,0,0
44,46800,0.0,0.0,0.5438551237825149,0,0
45,47840,0.0,0.0,0.5401624183884541,0,0
46,48880,0.0,0.0,0.63016914603915,0,0
47,49920,0.0,0.0,0.3813521055557033,0,0
48,50960,0.0,0.0,0.6439240618638787,0,0
49,52000,0.0,0.0,0.6687551938533673,0,0
