block,label,method,round,f1_mean,f1_std,f1_sem,ci_low,ci_high,n
heterogeneous,fast25,ASILO,0,0.17057263277438459,0.029652933830740337,0.009377081021140132,0.15219355397294992,0.18895171157581925,10
heterogeneous,fast25,ASILO,1,0.17956861226219373,0.016842239403686468,0.005325983741348532,0.1691296841291506,0.19000754039523685,10
heterogeneous,fast25,ASILO,2,0.15888823053881992,0.016759141734401097,0.005299705951029213,0.14850080687480266,0.1692756542028372,10
heterogeneous,fast25,ASILO,3,0.1918301527897017,0.0266186454443613,0.008417554783264653,0.17533174541450297,0.20832856016490042,10
heterogeneous,fast25,ASILO,4,0.23333655649155083,0.023506344567147737,0.007433358829691164,0.21876717318535616,0.2479059397977455,10
heterogeneous,fast25,ASILO,5,0.3130503645621449,0.027912952469328636,0.008826850602309973,0.29574973738161736,0.33035099174267246,10
heterogeneous,fast25,ASILO,6,0.42488865754191874,0.035438258494400236,0.011206561315211416,0.40292379736410433,0.44685351771973314,10
heterogeneous,fast25,ASILO,7,0.47861157144695843,0.03173020880782634,0.010033973046546718,0.4589449842757269,0.49827815861818997,10
heterogeneous,fast25,ASILO,8,0.5285226441609618,0.03985789568403294,0.012604173310293901,0.5038184644727858,0.5532268238491379,10
heterogeneous,fast25,ASILO,9,0.5837073718604623,0.031117275445043377,0.009840146498516673,0.5644206847233696,0.602994058997555,10
heterogeneous,fast25,ASILO,10,0.6188089978734029,0.02633964785165942,0.008329327997800463,0.602483514997714,0.6351344807490918,10
heterogeneous,fast25,ASILO,11,0.6387080871874354,0.03695812657728443,0.011687185803702179,0.6158012030121791,0.6616149713626918,10
heterogeneous,fast25,ASILO,12,0.6628774851271395,0.040025473405580395,0.012657166038813046,0.6380694396910659,0.6876855305632131,10
heterogeneous,fast25,ASILO,13,0.6971049433341105,0.04292926411483379,0.013575425287780695,0.6704971097700604,0.7237127768981607,10
heterogeneous,fast25,ASILO,14,0.7072119397029228,0.03379248532880514,0.01068612214368482,0.6862671403013006,0.728156739104545,10
heterogeneous,fast25,ASILO,15,0.7477260923153257,0.02741815062340197,0.008670380519951577,0.7307321464962206,0.7647200381344308,10
heterogeneous,fast25,ASILO,16,0.7732338860055122,0.03762049290066034,0.01189664442642813,0.7499164629297131,0.7965513090813113,10
heterogeneous,fast25,ASILO,17,0.7975039008287392,0.03249168150473153,0.010274771856371863,0.7773653479902504,0.8176424536672281,10
heterogeneous,fast25,ASILO,18,0.800060244616138,0.029797679457384978,0.009422853607294675,0.7815914515458404,0.8185290376864356,10
heterogeneous,fast25,ASILO,19,0.8146951423465026,0.03902907811626533,0.012342078182403243,0.7905046691089923,0.838885615584013,10
heterogeneous,fast25,ASILO,20,0.8142261627108691,0.022479020682245117,0.007108490492592669,0.8002935213453874,0.8281588040763508,10
heterogeneous,fast25,ASILO,21,0.8354394167852238,0.01739697781836402,0.005501407430945736,0.8246566582205702,0.8462221753498774,10
heterogeneous,fast25,ASILO,22,0.818735472582488,0.024675628399368932,0.007803118843794079,0.8034413596486516,0.8340295855163244,10
heterogeneous,fast25,ASILO,23,0.8345917669258738,0.016311901063017466,0.005158276032645697,0.8244815459018882,0.8447019879498594,10
heterogeneous,fast25,ASILO,24,0.8430876125500102,0.008676989193089575,0.0027439049082829616,0.8377095589297756,0.8484656661702448,10
heterogeneous,fast25,ASILO,25,0.8413411008346413,0.0156133088093996,0.004937361764927451,0.8316638717753835,0.8510183298938991,10
heterogeneous,fast25,ASILO,26,0.8329992192162591,0.023556298097605538,0.007449155523032488,0.8183988743911154,0.8475995640414028,10
heterogeneous,fast25,ASILO,27,0.8476289643686756,0.017106923538714472,0.005409684214068537,0.8370259833091013,0.85823194542825,10
heterogeneous,fast25,ASILO,28,0.851628331466643,0.0165558286915654,0.005235412721691196,0.8413669225321282,0.8618897404011577,10
heterogeneous,fast25,ASILO,29,0.8543656643147755,0.014788508568604355,0.00467653702737062,0.845199651741129,0.8635316768884219,10
heterogeneous,fast25,ASILO,30,0.8517778609781838,0.018457028822397657,0.0058366249918152,0.8403380759942259,0.8632176459621416,10
heterogeneous,fast25,ASILO,31,0.8603413628779812,0.021772909116631343,0.006885198409639973,0.8468463739950869,0.8738363517608756,10
heterogeneous,fast25,ASILO,32,0.8592499028485644,0.02329666488880261,0.0073670522934289545,0.8448104803534436,0.8736893253436852,10
heterogeneous,fast25,ASILO,33,0.8516558606753337,0.02399448323245982,0.0075877218293292446,0.8367839258898484,0.866527795460819,10
heterogeneous,fast25,ASILO,34,0.8476487079439746,0.024432822079092507,0.007726336743558297,0.8325050879266004,0.8627923279613489,10
heterogeneous,fast25,ASILO,35,0.8579458398154584,0.028085039797140852,0.008881269393543839,0.8405385518041124,0.8753531278268043,10
heterogeneous,fast25,ASILO,36,0.8604943487102708,0.009659263990739795,0.003054527473158532,0.85450747486288,0.8664812225576615,10
heterogeneous,fast25,ASILO,37,0.8646913173138536,0.013039610502441212,0.0041234868989166815,0.8566092829919769,0.8727733516357303,10
heterogeneous,fast25,ASILO,38,0.8650525082524686,0.021918662394713732,0.0069312896431575986,0.8514671805518798,0.8786378359530574,10
heterogeneous,fast25,ASILO,39,0.8639551640796306,0.011889153923467594,0.0037596805850484806,0.8565861901329356,0.8713241380263256,10
heterogeneous,fast25,ASILO,40,0.8651847614912578,0.022377908010476004,0.007076515858283129,0.8513147904090228,0.8790547325734928,10
heterogeneous,fast25,ASILO,41,0.86641089983951,0.022959149364563267,0.007260320513202746,0.8521806716336326,0.8806411280453874,10
heterogeneous,fast25,ASILO,42,0.863947228728548,0.020933866851473016,0.006619869948535248,0.8509722836294189,0.8769221738276771,10
heterogeneous,fast25,ASILO,43,0.8622236327579426,0.015602394753042426,0.00493391043726744,0.8525531683008983,0.8718940972149868,10
heterogeneous,fast25,ASILO,44,0.8691836132109927,0.020264219407076147,0.006408108833174742,0.8566237198979701,0.8817435065240152,10
heterogeneous,fast25,ASILO,45,0.8668268597470155,0.023665080970145164,0.007483555687796588,0.8521590905989341,0.8814946288950968,10
heterogeneous,fast25,ASILO,46,0.87350321562835,0.018430368994731796,0.005828194414070031,0.8620799545767728,0.8849264766799272,10
heterogeneous,fast25,ASILO,47,0.862567719084858,0.021301910193834594,0.00673625547248762,0.8493646583587823,0.8757707798109337,10
heterogeneous,fast25,ASILO,48,0.8741272071512893,0.020058027871999836,0.006342905344665977,0.8616951126757441,0.8865593016268346,10
heterogeneous,fast25,ASILO,49,0.8717941071465368,0.015153551683222655,0.004791973796006194,0.8624018385063646,0.881186375786709,10
heterogeneous,fast25,DFedSAM,0,0.17114186102622603,0.03337944845655963,0.01055550841629204,0.15045306453029364,0.19183065752215842,10
heterogeneous,fast25,DFedSAM,1,0.1788822682378711,0.042298471692472035,0.013375951209236889,0.15266540386776678,0.2050991326079754,10
heterogeneous,fast25,DFedSAM,2,0.17648296817145645,0.048739988457261144,0.015412937665526158,0.14627361034702518,0.20669232599588772,10
heterogeneous,fast25,DFedSAM,3,0.16412709789348842,0.04720781821281692,0.01492842289196809,0.13486738902523096,0.19338680676174588,10
heterogeneous,fast25,DFedSAM,4,0.1512686425955026,0.022412283780595475,0.007087386431273117,0.1373773651902073,0.1651599200007979,10
heterogeneous,fast25,DFedSAM,5,0.14405117810902038,0.007551507838131505,0.002387996453710967,0.13937070505974689,0.14873165115829387,10
heterogeneous,fast25,DFedSAM,6,0.1441806325417156,0.0074054788728774275,0.00234181804025492,0.13959066918281596,0.14877059590061523,10
heterogeneous,fast25,DFedSAM,7,0.1407358405176573,0.00020993930030817066,6.638863593559086e-05,0.14060571879122355,0.14086596224409106,10
heterogeneous,fast25,DFedSAM,8,0.140682373205467,4.086081341951862e-05,1.2921323745285206e-05,0.14065704741092624,0.14070769900000776,10
heterogeneous,fast25,DFedSAM,9,0.18515735810162315,0.022805173744952254,0.007211629146992097,0.17102256497351864,0.19929215122972765,10
heterogeneous,fast25,DFedSAM,10,0.26490146643481655,0.03691485003593758,0.01167350055971113,0.24202140533778274,0.2877815275318504,10
heterogeneous,fast25,DFedSAM,11,0.33069228095626124,0.03341220122140479,0.010565865749949901,0.30998318408635944,0.35140137782616304,10
heterogeneous,fast25,DFedSAM,12,0.4005916257110015,0.03953427402509284,0.012501835156052611,0.37608802880513836,0.4250952226168646,10
heterogeneous,fast25,DFedSAM,13,0.43683045025475825,0.03279342318964187,0.010370190955305215,0.41650487598236,0.4571560245271565,10
heterogeneous,fast25,DFedSAM,14,0.47035768384748666,0.035619877663984466,0.011263994339474871,0.44828025494211593,0.4924351127528574,10
heterogeneous,fast25,DFedSAM,15,0.5197284607273395,0.03267711338271956,0.010333410564896324,0.4994749760201427,0.5399819454345363,10
heterogeneous,fast25,DFedSAM,16,0.5570388078061326,0.032754519125056517,0.010357888409872415,0.5367373465227826,0.5773402690894825,10
heterogeneous,fast25,DFedSAM,17,0.594701826417627,0.03658071317213202,0.011567837205726024,0.572028865494404,0.61737478734085,10
heterogeneous,fast25,DFedSAM,18,0.6266434307648291,0.026317985415829206,0.008322477734111391,0.6103313744059707,0.6429554871236874,10
heterogeneous,fast25,DFedSAM,19,0.6411460839131548,0.023229138844715155,0.007345698683359225,0.6267485144937707,0.6555436533325388,10
heterogeneous,fast25,DFedSAM,20,0.6598327424453928,0.021321892789509477,0.006742574524077107,0.6466172963782016,0.673048188512584,10
heterogeneous,fast25,DFedSAM,21,0.6677509261140449,0.01781554559660872,0.005633770184386689,0.6567087365526469,0.6787931156754428,10
heterogeneous,fast25,DFedSAM,22,0.6755880332641723,0.03443345388897178,0.010888814199553346,0.6542459574330477,0.6969301090952968,10
