src,dst,sent_count,received_count,buffered_count,drop_cos_count,buffered_lowcos_count,sent_bytes,received_bytes,buffered_bytes,dropped_bytes,buffered_lowcos_bytes
S10,S11,6,6,5,1,0,10778,10778,8982,1796,0
S10,S13,16,16,15,1,0,28789,28789,26993,1796,0
S10,S14,42,42,42,0,0,75616,75616,75616,0,0
S10,S15,4,4,4,0,0,7184,7184,7184,0,0
S10,S16,1,1,0,1,0,1790,1790,0,1790,0
S10,S3,15,15,15,0,0,26952,26952,26952,0,0
S10,S4,20,20,19,1,0,36017,36017,34227,1790,0
S10,S5,31,31,30,1,0,55735,55735,53941,1794,0
S10,S7,47,47,18,29,0,84494,84494,32327,52167,0
S10,S8,23,23,23,0,0,41369,41369,41369,0,0
S10,S9,16,16,7,9,0,28754,28754,12595,16159,0
S11,S10,23,23,23,0,0,41313,41313,41313,0,0
S11,S13,15,15,13,2,0,26952,26952,23352,3600,0
S11,S14,37,37,36,1,0,66541,66541,64742,1799,0
S11,S15,21,21,20,1,0,37752,37752,35963,1789,0
S11,S16,15,15,15,0,0,26982,26982,26982,0,0
S11,S17,1,1,0,1,0,1792,1792,0,1792,0
S11,S2,31,31,1,30,0,55739,55739,1792,53947,0
S11,S3,16,16,16,0,0,28806,28806,28806,0,0
S11,S4,16,16,15,1,0,28711,28711,26916,1795,0
S11,S6,15,15,15,0,0,26972,26972,26972,0,0
S11,S7,23,23,23,0,0,41418,41418,41418,0,0
S11,S8,21,21,20,1,0,37790,37790,35999,1791,0
S11,S9,30,30,14,16,0,53908,53908,25146,28762,0
S13,S10,32,32,32,0,0,57526,57526,57526,0,0
S13,S11,3,3,3,0,0,5396,5396,5396,0,0
S13,S14,2,2,2,0,0,3595,3595,3595,0,0
S13,S15,16,16,16,0,0,28769,28769,28769,0,0
S13,S16,24,24,17,7,0,43174,43174,30607,12567,0
S13,S17,6,6,5,1,0,10769,10769,8976,1793,0
S13,S2,14,14,14,0,0,25173,25173,25173,0,0
S13,S4,12,12,12,0,0,21592,21592,21592,0,0
S13,S5,1,1,1,0,0,1800,1800,1800,0,0
S13,S6,2,2,1,1,0,3588,3588,1796,1792,0
S13,S7,12,12,12,0,0,21554,21554,21554,0,0
S13,S8,1,1,1,0,0,1796,1796,1796,0,0
S13,S9,27,27,27,0,0,48608,48608,48608,0,0
S14,S10,11,11,11,0,0,19775,19775,19775,0,0
S14,S11,41,41,41,0,0,73756,73756,73756,0,0
S14,S13,19,19,17,2,0,34193,34193,30605,3588,0
S14,S15,31,31,30,1,0,55789,55789,53999,1790,0
S14,S16,10,10,1,9,0,17979,17979,1784,16195,0
S14,S17,8,8,7,1,0,14398,14398,12607,1791,0
S14,S2,2,2,2,0,0,3571,3571,3571,0,0
