src,dst,accepted_count,dropped_in_agg_count
S10,S11,5,0
S10,S13,15,0
S10,S14,41,0
S10,S15,4,0
S10,S3,15,0
S10,S4,19,0
S10,S5,30,0
S10,S7,18,0
S10,S8,23,0
S10,S9,7,0
S11,S10,23,0
S11,S13,13,0
S11,S14,36,0
S11,S15,20,0
S11,S16,15,0
S11,S2,1,0
S11,S3,15,0
S11,S4,15,0
S11,S6,15,0
S11,S7,23,0
S11,S8,20,0
S11,S9,14,0
S13,S10,31,0
S13,S11,3,0
S13,S14,2,0
S13,S15,16,0
S13,S16,17,0
S13,S17,5,0
S13,S2,14,0
S13,S4,12,0
S13,S5,1,0
S13,S6,1,0
S13,S7,12,0
S13,S8,1,0
S13,S9,27,0
S14,S10,11,0
S14,S11,40,0
S14,S13,17,0
S14,S15,30,0
S14,S16,1,0
S14,S17,7,0
S14,S2,2,0
S14,S4,19,0
S14,S5,9,0
S14,S7,23,0
S14,S8,14,0
S15,S10,17,0
S15,S11,12,0
S15,S13,13,0
S15,S14,24,0
S15,S16,19,0
S15,S17,13,0
S15,S2,6,0
S15,S5,11,0
S15,S6,3,0
S15,S7,15,0
S15,S8,3,0
S15,S9,20,0
S16,S10,2,0
S16,S14,12,0
S16,S15,22,0
S16,S17,16,0
S16,S2,1,0
S16,S4,16,0
S16,S5,16,0
S16,S6,3,0
S16,S7,22,0
S16,S8,3,0
S16,S9,1,0
S17,S11,1,0
S17,S13,12,0
S17,S14,26,0
S17,S15,12,0
S17,S16,2,0
S17,S3,33,0
S17,S4,1,0
S17,S5,11,0
S17,S6,13,0
S17,S7,1,0
S17,S8,18,0
S17,S9,20,0
S2,S10,13,0
S2,S13,16,0
S2,S15,16,0
S2,S17,12,0
S2,S3,4,0
S2,S4,1,0
S2,S5,10,0
S2,S6,24,0
S2,S8,19,0
S3,S10,1,0
S3,S11,25,0
S3,S13,1,0
S3,S14,13,0
S3,S15,15,0
S3,S16,2,0
S3,S17,22,0
S3,S2,24,0
S3,S5,12,0
S3,S6,21,0
S3,S7,4,0
S3,S8,6,0
S3,S9,16,0
S4,S10,13,0
S4,S11,27,0
S4,S13,2,0
S4,S14,30,0
S4,S15,1,0
S4,S16,3,0
S4,S17,1,0
S4,S2,19,0
S4,S5,13,0
S4,S7,5,0
S4,S8,17,0
S4,S9,5,0
S5,S11,13,0
S5,S16,45,0
S5,S2,6,0
S5,S3,25,0
S5,S8,3,0
S5,S9,29,0
S6,S11,32,0
S6,S13,1,0
S6,S15,13,0
S6,S16,3,0
S6,S17,27,0
S6,S2,1,0
S6,S3,4,0
S6,S7,31,0
S6,S8,39,0
S7,S10,1,0
S7,S13,10,0
S7,S14,29,0
S7,S15,21,0
S7,S16,6,0
S7,S17,12,0
S7,S3,9,0
S7,S4,16,0
S7,S6,15,0
S7,S8,23,0
S7,S9,1,0
S8,S10,3,0
S8,S13,1,0
S8,S15,15,0
S8,S16,17,0
S8,S17,19,0
S8,S2,12,0
S8,S3,18,0
S8,S5,17,0
S8,S6,27,0
S8,S7,18,0
S8,S9,6,0
S9,S13,14,0
S9,S14,26,0
S9,S15,10,0
S9,S16,32,0
S9,S17,29,0
S9,S2,1,0
S9,S3,23,0
S9,S5,3,0
S9,S7,7,0
S9,S8,13,0
