block,label,method,round,n,f1_mean,f1_std,f1_var,f1_sem,ci_low,ci_high,bytes_cum_mean,ref_bytes,comm_norm
heterogeneous,fast25,ASILO,0,10,0.8513979037823596,0.015805177035830623,0.0002498036211339477,0.004998035825541346,0.8416017535642986,0.8611940540004206,0.0,15600.0,0.0
heterogeneous,fast25,ASILO,1,10,0.8703701545810254,0.012312140103855385,0.0001515887939369641,0.0038934405599285074,0.8627390110835655,0.8780012980784853,17623.1,46800.0,0.37656196581196577
heterogeneous,fast25,ASILO,2,10,0.8872135848309485,0.018224959509957974,0.00033214914913960757,0.005763238231581335,0.875917637897049,0.8985095317648479,51783.0,93600.0,0.5532371794871795
heterogeneous,fast25,ASILO,3,10,0.8863242202539636,0.022555518451254586,0.0005087514126048861,0.0071326812111918055,0.8723441650800277,0.9003042754278996,101039.2,156000.0,0.6476871794871795
heterogeneous,fast25,ASILO,4,10,0.8912479024983044,0.019171644104519703,0.0003675519376703651,0.006062606186042147,0.8793651943736618,0.9031306106229471,163948.1,234000.0,0.7006329059829061
heterogeneous,fast25,ASILO,5,10,0.8917746230597402,0.01587412147467398,0.0002519877325927056,0.005019837971416065,0.8819357406357647,0.9016135054837157,239794.1,327600.0,0.7319722222222222
heterogeneous,fast25,ASILO,6,10,0.8969877694438688,0.014065225989238104,0.000197830582128339,0.004447814993098735,0.8882700520573953,0.9057054868303424,328212.8,436800.0,0.7514029304029304
heterogeneous,fast25,ASILO,7,10,0.8992925334270959,0.009292199105753796,8.634496422097163e-05,0.0029384513645961817,0.8935331687524874,0.9050518981017044,430637.3,561600.0,0.7668043091168091
heterogeneous,fast25,ASILO,8,10,0.8993808717613734,0.007621333178689543,5.8084719420594056e-05,0.0024100771651670004,0.894657120517646,0.9041046230051007,546173.4,702000.0,0.7780247863247863
heterogeneous,fast25,ASILO,9,10,0.8953467376709261,0.011751960214105732,0.00013810856887392403,0.0037162961248254156,0.8880627972662682,0.902630678075584,673555.1,858000.0,0.7850292540792541
heterogeneous,fast25,ASILO,10,10,0.8944755763246682,0.013230669999452894,0.00017505062863442284,0.004183905216832987,0.8862751220996756,0.9026760305496608,810269.0,1029600.0,0.7869745532245532
heterogeneous,fast25,ASILO,11,10,0.8970633602365521,0.01475421703062515,0.0002176869201867892,0.0046656930909221754,0.8879186017783446,0.9062081186947596,958652.0,1216800.0,0.7878468113083498
heterogeneous,fast25,ASILO,12,10,0.89261506317725,0.017901355089131918,0.0003204585140271892,0.005660905528510339,0.8815196883413697,0.9037104380131303,1117441.8,1419600.0,0.7871525781910398
heterogeneous,fast25,ASILO,13,10,0.8933916559035125,0.014303446253579077,0.00020458857472902534,0.004523146855111221,0.8845262880674946,0.9022570237395305,1287172.8,1638000.0,0.7858197802197803
heterogeneous,fast25,ASILO,14,10,0.894339067654704,0.015457632507312712,0.00023893840273113068,0.004888132595696751,0.8847583277671384,0.9039198075422695,1467852.8,1872000.0,0.7841094017094017
heterogeneous,fast25,ASILO,15,10,0.8777769722771657,0.027921193131521534,0.0007795930258877253,0.008829456528505733,0.8604712374812944,0.8950827070730369,1655529.4,2121600.0,0.7803211726998491
heterogeneous,fast25,ASILO,16,10,0.8873156110499488,0.012660432509329208,0.00016028655132327988,0.004003580289232125,0.8794685936830539,0.8951626284168438,1852896.2,2386800.0,0.7763097871627284
heterogeneous,fast25,ASILO,17,10,0.889343507042765,0.021826315177416136,0.000476388034223906,0.006902086888933708,0.8758154167404549,0.902871597345075,2060312.1,2667600.0,0.7723467161493478
heterogeneous,fast25,ASILO,18,10,0.8916314109257814,0.011365335515704029,0.00012917085138452336,0.0035940346601629116,0.884587102991862,0.8986757188597007,2275622.1,2964000.0,0.7677537449392713
heterogeneous,fast25,ASILO,19,10,0.8891331913840469,0.019693788965295222,0.00038784532380958385,0.006227722888902362,0.8769268545217983,0.9013395282462955,2500265.5,3276000.0,0.7632068070818071
heterogeneous,fast25,ASILO,20,10,0.8934226160011803,0.017204378241445877,0.00029599063067473633,0.005440502097001124,0.8827592318910581,0.9040860001113026,2737112.9,3603600.0,0.7595495892995893
heterogeneous,fast25,ASILO,21,10,0.885663358116674,0.012262125119016316,0.00015035971243441092,0.0038776244330054823,0.8780632142279832,0.8932635020053648,2983649.2,3946800.0,0.755966656531874
heterogeneous,fast25,ASILO,22,10,0.8859030693444581,0.015093579521454242,0.00022781614277046287,0.0047730089332669685,0.8765479718352548,0.8952581668536613,3241492.9,4305600.0,0.7528550956893348
heterogeneous,fast25,ASILO,23,10,0.8867623093053034,0.014896904773464876,0.00022191777182968062,0.004710814917078367,0.8775291120678298,0.895995506542777,3507406.7,4680000.0,0.7494458760683761
heterogeneous,fast25,ASILO,24,10,0.889165158053741,0.016560513963839032,0.00027425062274650754,0.0052368943348754665,0.8789008451573851,0.8994294709500968,3782112.4,5070000.0,0.7459787771203156
heterogeneous,fast25,ASILO,25,10,0.8880112515112634,0.012295127829691513,0.00015117016834845473,0.0038880608064747997,0.8803906523305728,0.895631850691954,4064891.1,5475600.0,0.7423645079991233
heterogeneous,fast25,ASILO,26,10,0.8831963841304189,0.018001369732015927,0.00032404931222873915,0.005692532935598521,0.8720390195766458,0.894353748684192,4354848.1,5896800.0,0.7385103954687288
heterogeneous,fast25,ASILO,27,10,0.8838662656672372,0.018994247297343166,0.0003607814303926282,0.006006508390010191,0.8720935092228173,0.8956390221116572,4653237.1,6333600.0,0.7346907130226095
heterogeneous,fast25,ASILO,28,10,0.88594887847859,0.015883792133913836,0.00025229485255338305,0.005022896102383395,0.8761040021179186,0.8957937548392615,4960598.2,6786000.0,0.7310047450633658
heterogeneous,fast25,ASILO,29,10,0.8863140052332161,0.013663721427219276,0.00018669728324065117,0.004320848102405952,0.8778451429525005,0.8947828675139318,5275320.3,7254000.0,0.7272291563275434
heterogeneous,fast25,ASILO,30,10,0.8852120753813132,0.012185361528371293,0.00014848303557711117,0.003853349654224376,0.8776595100590334,0.892764640703593,5596860.0,7737600.0,0.7233328163771712
heterogeneous,fast25,ASILO,31,10,0.8813147336289389,0.01558702692747794,0.0002429554084379224,0.004929050704120646,0.8716537942488624,0.8909756730090154,5925403.1,8236800.0,0.7193816894910644
heterogeneous,fast25,ASILO,32,10,0.8834962487163024,0.011838495290242654,0.0001401499707370975,0.0037436609186342917,0.8761586733157791,0.8908338241168257,6263635.2,8751600.0,0.7157131495955026
heterogeneous,fast25,ASILO,33,10,0.883466846528816,0.011965415529267446,0.00014317116878803456,0.0037837966222834247,0.8760506051491405,0.8908830879084916,6611559.7,9282000.0,0.7122990411549235
heterogeneous,fast25,ASILO,34,10,0.8827009652457344,0.012461272843945046,0.00015528332089124227,0.0039406004731670306,0.874977388318327,0.8904245421731417,6967562.1,9828000.0,0.7089501526251526
heterogeneous,fast25,ASILO,35,10,0.8835004946894955,0.012613616912748296,0.00015910333162156987,0.003988775897710598,0.8756824939299828,0.8913184954490083,7333621.0,10389600.0,0.7058617271117271
heterogeneous,fast25,ASILO,36,10,0.8811767310251092,0.010164855945584491,0.00010332429639448438,0.003214409687555156,0.8748764880375011,0.8874769740127173,7707398.2,10966800.0,0.7027937228726703
heterogeneous,fast25,ASILO,37,10,0.8884537179410538,0.011596075026681283,0.00013446895602442133,0.003667000900251066,0.8812663961765617,0.8956410397055459,8091051.5,11559600.0,0.6999421692792138
heterogeneous,fast25,ASILO,38,10,0.8860498751335667,0.010583935564855509,0.0001120196920410133,0.0033469342993404172,0.8794898839068594,0.892609866360274,8482609.3,12168000.0,0.6971243671926365
heterogeneous,fast25,ASILO,39,10,0.8824505698348354,0.010416715183604005,0.00010850795521632623,0.0032940545717447703,0.8759942228742157,0.8889069167954551,8880268.8,12792000.0,0.6942048780487805
heterogeneous,fast25,ASILO,40,10,0.8818439925831868,0.007680210416479771,5.8985632041404374e-05,0.0024286957825426464,0.8770837488494032,0.8866042363169704,9286189.9,13431600.0,0.6913688540456834
heterogeneous,fast25,ASILO,41,10,0.8837903218311313,0.009162817387033624,8.395722246812569e-05,0.002897537272721883,0.8781111487765964,0.8894694948856662,9701809.9,14086800.0,0.6887163798733567
heterogeneous,fast25,ASILO,42,10,0.8834557268202987,0.007992693002454533,6.388314143148566e-05,0.0025275114526246097,0.8785018043731545,0.8884096492674429,10125511.3,14757600.0,0.6861218152003036
heterogeneous,fast25,ASILO,43,10,0.8816349089960582,0.011845576597282853,0.00014031768492209521,0.003745900224540093,0.8742929445559596,0.8889768734361568,10558193.6,15444000.0,0.6836437192437193
heterogeneous,fast25,ASILO,44,10,0.8793250386123427,0.012630574051690446,0.000159531400875236,0.00399413821587631,0.8714965277092251,0.8871535495154602,10999492.6,16146000.0,0.6812518642388208
heterogeneous,fast25,ASILO,45,10,0.8817018245646251,0.009400695777323512,8.83730810977881e-05,0.0029727610246669356,0.8758752129562779,0.8875284361729723,11448335.3,16863600.0,0.6788784897649376
heterogeneous,fast25,ASILO,46,10,0.8799345209516926,0.010479869779795517,0.00010982767060147134,0.0033140258086121074,0.8734390303668128,0.8864300115365723,11905442.9,17596800.0,0.6765686317966904
heterogeneous,fast25,ASILO,47,10,0.8839863631594727,0.008501002426180978,7.226704224993488e-05,0.0026882530061349296,0.8787173872674482,0.8892553390514971,12369916.2,18345600.0,0.67427155285191
heterogeneous,fast25,ASILO,48,10,0.8836773768129321,0.008723733641370196,7.610352864557409e-05,0.002758686800736432,0.8782703506834887,0.8890844029423756,12842119.4,19110000.0,0.6720104343275772
heterogeneous,fast25,ASILO,49,10,0.8816358999757957,0.010982644689159533,0.0001206184843683241,0.0034730171950096084,0.8748287862735769,0.8884430136780146,13321692.8,19890000.0,0.6697683660130719
heterogeneous,fast25,DFedSAM,0,10,0.8123304828416871,0.026895909641051458,0.0007233899554196047,0.008505233420780436,0.7956602253369575,0.8290007403464167,15600.0,15600.0,1.0
heterogeneous,fast25,DFedSAM,1,10,0.835987028767717,0.01841043590585745,0.00033894415024368526,0.005821891017905481,0.8245761223726222,0.8473979351628118,46800.0,46800.0,1.0
heterogeneous,fast25,DFedSAM,2,10,0.8588106513166943,0.02279094972550612,0.0005194273893905474,0.007207131117098865,0.8446846743271805,0.8729366283062081,93600.0,93600.0,1.0
heterogeneous,fast25,DFedSAM,3,10,0.8789478846505803,0.021852698288201407,0.00047754042247516074,0.006910429961117909,0.8654034419267892,0.8924923273743713,156000.0,156000.0,1.0
heterogeneous,fast25,DFedSAM,4,10,0.8851239240432396,0.007731096110033255,5.976984706257133e-05,0.002444787251737282,0.8803321410298345,0.8899157070566447,234000.0,234000.0,1.0
heterogeneous,fast25,DFedSAM,5,10,0.878664532626385,0.01959164523897141,0.00038383256316971114,0.006195422206514347,0.8665215051016169,0.8908075601511531,327600.0,327600.0,1.0
heterogeneous,fast25,DFedSAM,6,10,0.8940846121188342,0.021545791474112945,0.0004642211302459581,0.006813377504923369,0.8807303922091844,0.907438832028484,436800.0,436800.0,1.0
heterogeneous,fast25,DFedSAM,7,10,0.8963282951572269,0.019464344979237606,0.0003788607254707722,0.0061551663297653636,0.8842641691508868,0.908392421163567,561600.0,561600.0,1.0
heterogeneous,fast25,DFedSAM,8,10,0.8939426452777791,0.021679162918492156,0.0004699861048465253,0.006855553258829847,0.8805057608904726,0.9073795296650856,702000.0,702000.0,1.0
heterogeneous,fast25,DFedSAM,9,10,0.8998526186029558,0.015600560543668172,0.0002433774892766562,0.004933330409334613,0.89018329100066,0.9095219462052517,858000.0,858000.0,1.0
heterogeneous,fast25,DFedSAM,10,10,0.8949106983794233,0.012503694159642219,0.00015634236763787093,0.003954015271061442,0.8871608284481428,0.9026605683107037,1029600.0,1029600.0,1.0
heterogeneous,fast25,DFedSAM,11,10,0.9014765344894009,0.01576329082079778,0.00024848133750104756,0.004984790241334609,0.8917063456163851,0.9112467233624167,1216800.0,1216800.0,1.0
heterogeneous,fast25,DFedSAM,12,10,0.8959166583971021,0.014531152717807652,0.0002111543993082487,0.004595153961601817,0.8869101566323625,0.9049231601618417,1419600.0,1419600.0,1.0
heterogeneous,fast25,DFedSAM,13,10,0.9057070322391907,0.011094876645775372,0.00012309628778497177,0.003508508055925934,0.8988303564495759,0.9125837080288055,1638000.0,1638000.0,1.0
heterogeneous,fast25,DFedSAM,14,10,0.9019713763621559,0.012049808760028397,0.00014519789115325708,0.0038104841051139035,0.8945028275161326,0.9094399252081791,1872000.0,1872000.0,1.0
